County,2000 Live Births,2000 Infant Deaths,2000 Rate,2010 Live Births,2010 Infant Deaths,2010 Rate,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,0,0,69,0,0,0.00%,19_001,19,2,4,,
Adams,35,0,0,48,0,0,0.00%,19_002,19,2,4,,
Allamakee,158,0,0,169,C,N/A,N/A,19_003,19,2,4,,
Appanoose,142,0,0,143,C,N/A,N/A,19_004,19,2,4,,
Audubon,47,1,21.3,57,0,0,-100.00%,19_005,19,2,4,,
Benton,325,2,6.2,301,C,N/A,N/A,19_006,19,2,4,,
Black Hawk,"1,551",11,7.1,"1,688",10,5.9,-16.50%,19_007,19,2,4,,
Boone,317,4,12.6,284,C,N/A,N/A,19_008,19,2,4,,
Bremer,250,2,8,209,C,N/A,N/A,19_009,19,2,4,,
Buchanan,301,0,0,290,C,N/A,N/A,19_010,19,2,4,,
Buena Vista,233,0,0,313,0,0,0.00%,19_011,19,2,4,,
Butler,170,1,5.9,151,C,N/A,N/A,19_012,19,2,4,,
Calhoun,107,0,0,103,C,N/A,N/A,19_013,19,2,4,,
Carroll,262,0,0,249,0,0,0.00%,19_014,19,2,4,,
Cass,158,1,6.3,163,C,N/A,N/A,19_015,19,2,4,,
Cedar,206,0,0,183,0,0,0.00%,19_016,19,2,4,,
Cerro Gordo,530,4,7.5,486,C,N/A,N/A,19_017,19,2,4,,
Cherokee,146,0,0,101,C,N/A,N/A,19_018,19,2,4,,
Chickasaw,169,0,0,142,0,0,0.00%,19_019,19,2,4,,
Clarke,97,1,10.3,116,C,N/A,N/A,19_020,19,2,4,,
Clay,204,1,4.9,203,C,N/A,N/A,19_021,19,2,4,,
Clayton,194,1,5.2,184,C,N/A,N/A,19_022,19,2,4,,
Clinton,591,4,6.8,641,5,7.8,15.20%,19_023,19,2,4,,
Crawford,189,1,5.3,258,0,0,-100.00%,19_024,19,2,4,,
Dallas,566,4,7.1,"1,029",C,N/A,N/A,19_025,19,2,4,,
Davis,129,1,7.8,142,C,N/A,N/A,19_026,19,2,4,,
Decatur,101,1,9.9,94,C,N/A,N/A,19_027,19,2,4,,
Delaware,227,1,4.4,192,0,0,-100.00%,19_028,19,2,4,,
Des Moines,555,4,7.2,468,C,N/A,N/A,19_029,19,2,4,,
Dickinson,159,0,0,145,0,0,0.00%,19_030,19,2,4,,
Dubuque,"1,221",9,7.4,"1,193",6,5,-31.80%,19_031,19,2,4,,
Emmet,126,2,15.9,114,0,0,-100.00%,19_032,19,2,4,,
Fayette,233,0,0,218,C,N/A,N/A,19_033,19,2,4,,
Floyd,199,0,0,177,C,N/A,N/A,19_034,19,2,4,,
Franklin,113,1,8.8,140,0,0,-100.00%,19_035,19,2,4,,
Fremont,82,1,12.2,82,C,N/A,N/A,19_036,19,2,4,,
Greene,92,1,10.9,108,0,0,-100.00%,19_037,19,2,4,,
Grundy,133,2,15,144,0,0,-100.00%,19_038,19,2,4,,
Guthrie,134,0,0,86,0,0,0.00%,19_039,19,2,4,,
Hamilton,192,2,10.4,157,0,0,-100.00%,19_040,19,2,4,,
Hancock,131,1,7.6,108,C,N/A,N/A,19_041,19,2,4,,
Hardin,208,3,14.4,199,0,0,-100.00%,19_042,19,2,4,,
Harrison,193,0,0,154,C,N/A,N/A,19_043,19,2,4,,
Henry,264,2,7.6,240,0,0,-100.00%,19_044,19,2,4,,
