Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	161	71.6	0	0	161	71.6	4	1.8	DS	0.9	6	2.7	16	7.1	133	59.1	0	0	0	0	DS	0.9	"2,077"	27	2	4
Corporal punishment on females	64	28.4	0	0	64	28.4	DS	0.9	0	0	DS	0.9	10	4.4	50	22.2	0	0	0	0	0	0	"2,077"	27	2	4
Corporal punishment total	225	100	0	0	225	100	6	2.7	DS	0.9	8	3.6	26	11.6	183	81.3	0	0	0	0	DS	0.9	"2,077"	27	2	4
One or more in-school suspensions on males	"21,849"	70.6	114	0.4	"21,735"	70.2	890	2.9	585	1.9	"2,014"	6.5	"5,189"	16.8	"12,507"	40.6	25	0.1	525	1.7	"1,541"	5	"2,077"	27	2	4
One or more in-school suspensions on females	"9,103"	29.4	31	0.1	"9,072"	29.3	491	1.6	229	0.7	879	2.9	"2,843"	9.2	"4,351"	14.1	4	0	275	0.9	648	2.1	"2,077"	27	2	4
One or more in-school suspensions total	"30,952"	100	145	0.5	"30,807"	99.5	"1,381"	4.5	814	2.6	"2,893"	9.4	"8,032"	26.1	"16,858"	54.7	29	0.1	800	2.6	"2,189"	7.1	"2,077"	27	2	4
Only one out-of-school suspension on males	"14,015"	70.6	70	0.4	"13,945"	70.2	614	3.1	441	2.2	"1,343"	6.8	"4,168"	21.1	"7,051"	35.7	10	0.1	318	1.6	969	4.9	"2,077"	27	2	4
Only one out-of-school suspension on females	"5,843"	29.4	19	0.1	"5,824"	29.3	342	1.7	151	0.8	606	3.1	"2,281"	11.5	"2,260"	11.4	DS	0	182	0.9	336	1.7	"2,077"	27	2	4
Only one out-of-school suspension total	"19,858"	100	89	0.4	"19,769"	99.6	956	4.8	592	3	"1,949"	9.9	"6,449"	32.6	"9,311"	47.1	12	0.1	500	2.5	"1,305"	6.6	"2,077"	27	2	4
More than one out-of-school suspension on males	"8,795"	73.1	21	0.2	"8,774"	73	493	4.1	251	2.1	754	6.3	"3,411"	28.4	"3,678"	30.6	DS	0	185	1.5	520	4.3	"2,077"	27	2	4
More than one out-of-school suspension on females	"3,231"	26.9	DS	0	"3,229"	26.9	261	2.2	71	0.6	257	2.1	"1,512"	12.6	"1,033"	8.6	4	0	91	0.8	178	1.5	"2,077"	27	2	4
More than one out-of-school suspension total	"12,026"	100	23	0.2	"12,003"	99.8	754	6.3	322	2.7	"1,011"	8.4	"4,923"	41	"4,711"	39.2	6	0	276	2.3	698	5.8	"2,077"	27	2	4
One or more out-of-school suspensions on males	"22,801"	71.5	92	0.3	"22,709"	71.2	"1,107"	3.5	691	2.2	"2,093"	6.6	"7,589"	23.9	"10,714"	33.7	12	0	503	1.6	"1,490"	4.7	"2,077"	27	2	4
One or more out-of-school suspensions on females	"9,079"	28.5	21	0.1	"9,058"	28.4	602	1.9	222	0.7	858	2.7	"3,804"	12	"3,291"	10.4	6	0	275	0.9	523	1.6	"2,077"	27	2	4
One or more out-of-school suspensions total	"31,880"	100	113	0.4	"31,767"	99.6	"1,709"	5.4	913	2.9	"2,951"	9.3	"11,393"	35.9	"14,005"	44.1	18	0.1	778	2.4	"2,013"	6.3	"2,077"	27	2	4
Expulsions with educational services on males	798	58.2	8	0.6	790	57.6	24	1.8	4	0.3	46	3.4	478	35	234	17.2	0	0	4	0.3	24	1.7	"2,077"	27	2	4
Expulsions with educational services on females	574	41.8	0	0	574	41.8	27	2	DS	0.1	29	2.1	416	30.5	91	6.7	0	0	9	0.7	8	0.6	"2,077"	27	2	4
Expulsions with educational services total	"1,372"	100	8	0.6	"1,364"	99.4	51	3.7	6	0.4	75	5.5	894	65.5	325	23.8	0	0	13	1	32	2.3	"2,077"	27	2	4
Expulsions without educational services on males	178	73	0	0	178	73	5	2	DS	0.8	26	10.7	24	9.8	114	46.7	0	0	7	2.9	13	5.3	"2,077"	27	2	4
