Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2007,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 3-5                                          ,292,14,306,          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 6-21                                         ,"4,876.00",552,"5,429.00",          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Total Special Education Teachers                                                 ,"5,169.00",566,"5,735.00",          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 3-5                                 ,325,26,351,          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 6-21                                ,"3,890.00",527,"4,417.00",          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Total Special Education Paraprofessionals                                        ,"4,215.00",553,"4,768.00",          N/V,          N/V,          N/V
2007,Alabama                                      ,,1,3,6,Audiologists                                                                     ,          N/V,          N/V,          N/V,13,0,13
2007,Alabama                                      ,,1,3,6,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,721,64,785
2007,Alabama                                      ,,1,3,6,Interpreters                                                                     ,          N/V,          N/V,          N/V,78,5,83
2007,Alabama                                      ,,1,3,6,Psychologists                                                                    ,          N/V,          N/V,          N/V,117,2,119
2007,Alabama                                      ,,1,3,6,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,151,0,152
2007,Alabama                                      ,,1,3,6,Physical Therapists                                                              ,          N/V,          N/V,          N/V,97,0,97
2007,Alabama                                      ,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,180,17,197
2007,Alabama                                      ,,1,3,6,Social Workers                                                                   ,          N/V,          N/V,          N/V,100,6,106
2007,Alabama                                      ,,1,3,6,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,660,37,697
2007,Alabama                                      ,,1,3,6,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,392,19,411
2007,Alabama                                      ,,1,3,6,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,23,2,25
2007,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 3-5                                          ,66,6,71,          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 6-21                                         ,816,138,954,          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Total Special Education Teachers                                                 ,881,144,"1,025.00",          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 3-5                                 ,127,3,130,          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 6-21                                ,"1,217.00",53,"1,270.00",          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Total Special Education Paraprofessionals                                        ,"1,344.00",56,"1,400.00",          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Audiologists                                                                     ,          N/V,          N/V,          N/V,3,2,5
2007,Alaska                                       ,,2,4,9,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,151,9,160
2007,Alaska                                       ,,2,4,9,Interpreters                                                                     ,          N/V,          N/V,          N/V,11,0,11
2007,Alaska                                       ,,2,4,9,Psychologists                                                                    ,          N/V,          N/V,          N/V,73,5,78
2007,Alaska                                       ,,2,4,9,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,44,1,45
2007,Alaska                                       ,,2,4,9,Physical Therapists                                                              ,          N/V,          N/V,          N/V,13,0,13
2007,Alaska                                       ,,2,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,16,1,16
2007,Alaska                                       ,,2,4,9,Social Workers                                                                   ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2007,Alaska                                       ,,2,4,9,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,0,0
2007,Alaska                                       ,,2,4,9,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,0,0,0
2007,Alaska                                       ,,2,4,9,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,8,0,8
2007,American Samoa                               ,,60,,,Special Education Teachers for Ages 3-5                                          ,3,16,19,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Special Education Teachers for Ages 6-21                                         ,65,95,160,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Total Special Education Teachers                                                 ,68,111,179,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Special Education Paraprofessionals for Ages 3-5                                 ,0,0,0,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Special Education Paraprofessionals for Ages 6-21                                ,0,7,7,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Total Special Education Paraprofessionals                                        ,0,7,7,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Audiologists                                                                     ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,3,2,5
2007,American Samoa                               ,,60,,,Interpreters                                                                     ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Psychologists                                                                    ,          N/V,          N/V,          N/V,6,2,8
2007,American Samoa                               ,,60,,,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,0,0,0
2007,American Samoa                               ,,60,,,Physical Therapists                                                              ,          N/V,          N/V,          N/V,1,0,1
2007,American Samoa                               ,,60,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2007,American Samoa                               ,,60,,,Social Workers                                                                   ,          N/V,          N/V,          N/V,1,0,1
2007,American Samoa                               ,,60,,,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,2,2
2007,American Samoa                               ,,60,,,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,1,3,4
2007,American Samoa                               ,,60,,,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,0,3,3
2007,Arizona                                      ,,4,4,8,Special Education Teachers for Ages 3-5                                          ,577,131,708,          N/V,          N/V,          N/V
2007,Arizona                                      ,,4,4,8,Special Education Teachers for Ages 6-21                                         ,"5,722.00",826,"6,548.00",          N/V,          N/V,          N/V
2007,Arizona                                      ,,4,4,8,Total Special Education Teachers                                                 ,"6,299.00",957,"7,255.00",          N/V,          N/V,          N/V
2007,Arizona                                      ,,4,4,8,Special Education Paraprofessionals for Ages 3-5                                 ,794,286,"1,080.00",          N/V,          N/V,          N/V
