Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"34,988","32,107","29,404","33,317","30,113","31,080","32,086",41,4,9
Violent Crime Index,683,561,582,898,815,795,890,41,4,9
Murder/nonneg. mans.,13,5,3,21,22,7,7,41,4,9
Rape,48,35,38,32,24,33,32,41,4,9
Robbery,204,167,138,278,172,210,244,41,4,9
Aggravated assault,418,354,403,567,597,545,607,41,4,9
Property Crime Index,"8,326","7,768","6,913","8,359","7,175","7,074","7,268",41,4,9
Burglary,"1,204","1,229","1,021","1,087",915,836,944,41,4,9
Larceny-theft,"6,298","5,781","5,178","6,396","5,605","5,618","5,765",41,4,9
Motor vehicle theft,597,559,466,639,491,371,373,41,4,9
Arson,227,199,248,237,164,249,186,41,4,9
Other assaults,"2,453","2,147","2,013","2,607","2,352","2,454","2,472",41,4,9
Forgery and counterfeiting,147,104,120,116,75,51,52,41,4,9
Fraud,83,99,76,120,99,130,90,41,4,9
Embezzlement,3,3,3,6,12,2,1,41,4,9
Stolen property,82,93,69,99,85,79,103,41,4,9
Vandalism,"1,887","1,849","1,995","1,990","1,779","2,176","2,221",41,4,9
Weapons,329,253,206,313,342,343,367,41,4,9
Prostitution/<br>commercialized vice,10,12,1,29,19,18,22,41,4,9
Sex offenses (other),317,286,277,242,234,217,227,41,4,9
Drug abuse violations,"2,265","2,223","2,026","2,603","2,406","2,347","2,464",41,4,9
Gambling,1,0,0,0,6,3,5,41,4,9
Offenses against family,18,11,19,15,8,9,12,41,4,9
Driving under influence,232,199,216,204,180,181,206,41,4,9
Liquor laws,"4,848","4,568","4,209","4,603","4,388","4,699","5,299",41,4,9
Drunkenness,0,0,0,0,0,0,0,41,4,9
Disorderly conduct,"1,441","1,491","1,452","1,707","1,391","1,588","1,529",41,4,9
Vagrancy,0,0,0,0,0,0,0,41,4,9
All other offenses,"5,636","4,932","4,352","4,066","3,719","4,011","3,813",41,4,9
Curfew and loitering,"3,287","2,748","2,326","2,693","2,520","2,710","2,813",41,4,9
Runaways,"2,940","2,760","2,549","2,647","2,508","2,193","2,232",41,4,9
Population Ages 10 to 17,"394,400","397,700","398,700","398,600","399,200","401,500","400,400",41,4,9
