County,2003 Age 0-4 Population,2003 Receiving WIC,2003 Percentage,2009 Age 0-4 Population,2009 Receiving WIC,2009 Percentage,2003-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,366,138,37.70%,418,159,38.00%,0.90%,19_001,19,2,4,,
Adams,218,71,32.60%,203,97,47.80%,46.70%,19_002,19,2,4,,
Allamakee,836,371,44.40%,"1,001",361,36.10%,-18.70%,19_003,19,2,4,,
Appanoose,732,271,37.00%,816,277,33.90%,-8.30%,19_004,19,2,4,,
Audubon,290,77,26.60%,314,83,26.40%,-0.40%,19_005,19,2,4,,
Benton,"1,541",228,14.80%,"1,614",265,16.40%,11.00%,19_006,19,2,4,,
Black Hawk,"7,292","2,791",38.30%,"8,649","3,434",39.70%,3.70%,19_007,19,2,4,,
Boone,"1,435",359,25.00%,"1,555",281,18.10%,-27.80%,19_008,19,2,4,,
Bremer,"1,178",197,16.70%,"1,433",225,15.70%,-6.10%,19_009,19,2,4,,
Buchanan,"1,441",281,19.50%,"1,593",275,17.30%,-11.50%,19_010,19,2,4,,
Buena Vista,"1,145",516,45.10%,"1,476",720,48.80%,8.20%,19_011,19,2,4,,
Butler,739,94,12.70%,895,127,14.20%,11.60%,19_012,19,2,4,,
Calhoun,465,123,26.50%,515,92,17.90%,-32.50%,19_013,19,2,4,,
Carroll,"1,190",288,24.20%,"1,421",332,23.40%,-3.50%,19_014,19,2,4,,
Cass,740,270,36.50%,876,314,35.80%,-1.80%,19_015,19,2,4,,
Cedar,992,155,15.60%,"1,111",137,12.30%,-21.10%,19_016,19,2,4,,
Cerro Gordo,"2,480",777,31.30%,"2,534",982,38.80%,23.70%,19_017,19,2,4,,
Cherokee,602,206,34.20%,593,226,38.10%,11.40%,19_018,19,2,4,,
Chickasaw,689,139,20.20%,818,126,15.40%,-23.60%,19_019,19,2,4,,
Clarke,576,229,39.80%,666,282,42.30%,6.50%,19_020,19,2,4,,
Clay,952,352,37.00%,"1,067",452,42.40%,14.60%,19_021,19,2,4,,
Clayton,989,238,24.10%,"1,076",241,22.40%,-6.90%,19_022,19,2,4,,
Clinton,"2,954",920,31.10%,"3,129",915,29.20%,-6.10%,19_023,19,2,4,,
Crawford,"1,054",474,45.00%,"1,225",641,52.30%,16.40%,19_024,19,2,4,,
Dallas,"3,058",589,19.30%,"4,941",742,15.00%,-22.00%,19_025,19,2,4,,
Davis,544,91,16.70%,697,78,11.20%,-33.10%,19_026,19,2,4,,
Decatur,450,194,43.10%,555,252,45.40%,5.30%,19_027,19,2,4,,
Delaware,"1,033",166,16.10%,"1,041",187,18.00%,11.80%,19_028,19,2,4,,
Des Moines,"2,460",798,32.40%,"2,720",953,35.00%,8.00%,19_029,19,2,4,,
Dickinson,824,178,21.60%,910,167,18.40%,-15.00%,19_030,19,2,4,,
