,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Connecticut,,Male,923 ,61.2 ,5 ,0.3 ,24 ,1.6 ,332 ,22.0 ,179 ,11.9 ,341 ,22.6 ,1-3 ,0.1 ,40 ,2.7 ,132 ,8.8 ,5 ,0.3 ,120 ,8.0 ,579 ,100.0 
Retention of students,Connecticut,Kindergarten,Female,584 ,38.8 ,1-3 ,0.1 ,8 ,0.5 ,233 ,15.5 ,127 ,8.4 ,190 ,12.6 ,1-3 ,0.1 ,22 ,1.5 ,72 ,4.8 ,1-3 ,0.1 ,94 ,6.2 ,579 ,100.0 
Retention of students,Connecticut,,Total,"1,507 ",100.0 ,7 ,0.5 ,32 ,2.1 ,565 ,37.5 ,306 ,20.3 ,531 ,35.2 ,4 ,0.3 ,62 ,4.1 ,204 ,13.5 ,7 ,0.5 ,214 ,14.2 ,579 ,100.0 
Retention of students,Connecticut,,Male,607 ,57.5 ,1-3 ,0.2 ,15 ,1.4 ,231 ,21.9 ,150 ,14.2 ,196 ,18.6 ,0 ,0.0 ,13 ,1.2 ,81 ,7.7 ,1-3 ,0.2 ,96 ,9.1 ,589 ,100.0 
Retention of students,Connecticut,1,Female,449 ,42.5 ,1-3 ,0.2 ,8 ,0.8 ,197 ,18.7 ,91 ,8.6 ,143 ,13.5 ,1-3 ,0.2 ,6 ,0.6 ,26 ,2.5 ,4 ,0.4 ,83 ,7.9 ,589 ,100.0 
Retention of students,Connecticut,,Total,"1,056 ",100.0 ,4 ,0.4 ,23 ,2.2 ,428 ,40.5 ,241 ,22.8 ,339 ,32.1 ,1-3 ,0.2 ,19 ,1.8 ,107 ,10.1 ,6 ,0.6 ,179 ,17.0 ,589 ,100.0 
Retention of students,Connecticut,,Male,259 ,54.5 ,1-3 ,0.4 ,11 ,2.3 ,96 ,20.2 ,68 ,14.3 ,77 ,16.2 ,0 ,0.0 ,5 ,1.1 ,34 ,7.2 ,5 ,1.1 ,36 ,7.6 ,586 ,100.0 
