County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2008 Age 15-19 Population,2008 Deaths,2008 Rate,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,602,1,166,470,0,0,-100.00%,19_001,19,2,4,,
Adams,283,0,0,273,0,0,0.00%,19_002,19,2,4,,
Allamakee,"1,043",2,192,961,0,0,-100.00%,19_003,19,2,4,,
Appanoose,945,0,0,814,0,0,0.00%,19_004,19,2,4,,
Audubon,459,0,0,439,0,0,0.00%,19_005,19,2,4,,
Benton,"1,801",0,0,"1,906",C,N/A,N/A,19_006,19,2,4,,
Black Hawk,"11,096",0,0,"9,820",5,51,N/A,19_007,19,2,4,,
Boone,"1,936",1,52,"1,803",C,N/A,N/A,19_008,19,2,4,,
Bremer,"2,175",0,0,"2,044",C,N/A,N/A,19_009,19,2,4,,
Buchanan,"1,736",1,58,"1,497",C,N/A,N/A,19_010,19,2,4,,
Buena Vista,"1,852",1,54,"1,699",0,0,-100.00%,19_011,19,2,4,,
Butler,"1,098",3,273,937,0,0,-100.00%,19_012,19,2,4,,
Calhoun,801,0,0,605,0,0,0.00%,19_013,19,2,4,,
Carroll,"1,723",1,58,"1,383",0,0,-100.00%,19_014,19,2,4,,
Cass,"1,072",2,187,845,C,N/A,N/A,19_015,19,2,4,,
Cedar,"1,366",0,0,"1,228",C,N/A,N/A,19_016,19,2,4,,
Cerro Gordo,"3,526",1,28,"3,036",C,N/A,N/A,19_017,19,2,4,,
Cherokee,"1,000",0,0,749,0,0,0.00%,19_018,19,2,4,,
Chickasaw,"1,011",0,0,839,0,0,0.00%,19_019,19,2,4,,
Clarke,688,0,0,607,0,0,0.00%,19_020,19,2,4,,
Clay,"1,224",2,163,"1,014",0,0,-100.00%,19_021,19,2,4,,
Clayton,"1,399",1,71,"1,161",0,0,-100.00%,19_022,19,2,4,,
Clinton,"3,714",1,27,"3,335",C,N/A,N/A,19_023,19,2,4,,
Crawford,"1,421",0,0,"1,252",0,0,0.00%,19_024,19,2,4,,
Dallas,"2,816",3,107,"3,629",C,N/A,N/A,19_025,19,2,4,,
Davis,643,0,0,532,C,N/A,N/A,19_026,19,2,4,,
Decatur,886,1,113,796,0,0,-100.00%,19_027,19,2,4,,
Delaware,"1,536",6,391,"1,288",C,N/A,N/A,19_028,19,2,4,,
Des Moines,"3,124",0,0,"2,838",C,N/A,N/A,19_029,19,2,4,,
Dickinson,"1,020",0,0,954,C,N/A,N/A,19_030,19,2,4,,
Dubuque,"7,075",3,42,"7,080",C,N/A,N/A,19_031,19,2,4,,
Emmet,"1,039",0,0,858,0,0,0.00%,19_032,19,2,4,,
Fayette,"1,701",2,118,"1,421",0,0,-100.00%,19_033,19,2,4,,
Floyd,"1,200",0,0,"1,039",0,0,0.00%,19_034,19,2,4,,
Franklin,847,0,0,705,0,0,0.00%,19_035,19,2,4,,
Fremont,557,0,0,503,C,N/A,N/A,19_036,19,2,4,,
Greene,779,1,128,605,C,N/A,N/A,19_037,19,2,4,,
Grundy,893,0,0,837,0,0,0.00%,19_038,19,2,4,,
Guthrie,761,0,0,661,0,0,0.00%,19_039,19,2,4,,
Hamilton,"1,128",1,89,"1,025",0,0,-100.00%,19_040,19,2,4,,
Hancock,961,0,0,755,0,0,0.00%,19_041,19,2,4,,
Hardin,"1,737",0,0,"1,436",C,N/A,N/A,19_042,19,2,4,,
Harrison,"1,119",1,89,"1,105",0,0,-100.00%,19_043,19,2,4,,
Henry,"1,536",2,130,"1,374",0,0,-100.00%,19_044,19,2,4,,
Howard,741,1,135,643,C,N/A,N/A,19_045,19,2,4,,
Humboldt,832,0,0,657,C,N/A,N/A,19_046,19,2,4,,
Ida,586,0,0,440,C,N/A,N/A,19_047,19,2,4,,
Iowa,"1,070",0,0,"1,149",C,N/A,N/A,19_048,19,2,4,,
Jackson,"1,498",1,67,"1,350",C,N/A,N/A,19_049,19,2,4,,
Jasper,"2,442",2,82,"2,351",C,N/A,N/A,19_050,19,2,4,,
Jefferson,"1,213",0,0,938,0,0,0.00%,19_051,19,2,4,,
