,"Number and percentage of public school students retained in grade 12, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 12,United States,"141,406 ","2,220 ",1.6 ,"5,008 ",3.5 ,"44,031 ",31.1 ,"34,177 ",24.2 ,"51,985 ",36.8 ,556 ,0.4 ,"3,429 ",2.4 ,"42,618 ",30.1 ,"3,783 ",2.7 ,"15,557 ",11.0 ,"11,097 ",100.0 
Retained in grade 12,Alabama,"1,459 ",9 ,0.6 ,17 ,1.2 ,61 ,4.2 ,778 ,53.3 ,579 ,39.7 ,1 to 3,0.1 ,13 ,0.9 ,341 ,23.4 ,18 ,1.2 ,33 ,2.3 ,183 ,100.0 
Retained in grade 12,Alaska,794 ,207 ,26.1 ,38 ,4.8 ,65 ,8.2 ,46 ,5.8 ,320 ,40.3 ,32 ,4.0 ,86 ,10.8 ,254 ,32.0 ,17 ,2.1 ,77 ,9.7 ,108 ,100.0 
Retained in grade 12,Arizona,"5,625 ",388 ,6.9 ,106 ,1.9 ,"3,239 ",57.6 ,381 ,6.8 ,"1,418 ",25.2 ,26 ,0.5 ,67 ,1.2 ,"1,099 ",19.5 ,477 ,8.5 ,329 ,5.8 ,203 ,100.0 
Retained in grade 12,Arkansas,271 ,0 ,0.0 ,7 ,2.6 ,55 ,20.3 ,75 ,27.7 ,125 ,46.1 ,4 ,1.5 ,5 ,1.8 ,39 ,14.4 ,8 ,3.0 ,35 ,12.9 ,75 ,100.0 
Retained in grade 12,California,"14,251 ",110 ,0.8 ,767 ,5.4 ,"9,129 ",64.1 ,"1,755 ",12.3 ,"2,139 ",15.0 ,110 ,0.8 ,241 ,1.7 ,"3,756 ",26.4 ,188 ,1.3 ,"4,507 ",31.6 ,765 ,100.0 
Retained in grade 12,Colorado,"6,698 ",107 ,1.6 ,184 ,2.7 ,"3,004 ",44.8 ,486 ,7.3 ,"2,721 ",40.6 ,17 ,0.3 ,179 ,2.7 ,"1,943 ",29.0 ,108 ,1.6 ,"1,120 ",16.7 ,320 ,100.0 
Retained in grade 12,Connecticut,"1,281 ",6 ,0.5 ,36 ,2.8 ,292 ,22.8 ,258 ,20.1 ,672 ,52.5 ,1 to 3,0.2 ,14 ,1.1 ,538 ,42.0 ,114 ,8.9 ,83 ,6.5 ,149 ,100.0 
