County,2000 Total Population,2000 Food Assistance,Percentage,2006 Total Population,2006 Food Assistance,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"8,243",282,3.40%,"7,714",469,6.10%,77.70%,19_001,19,2,4,,
Adams,"4,482",216,4.80%,"4,192",254,6.10%,25.70%,19_002,19,2,4,,
Allamakee,"14,675",366,2.50%,"14,796",908,6.10%,146.10%,19_003,19,2,4,,
Appanoose,"13,721","1,297",9.50%,"13,422","1,857",13.80%,46.40%,19_004,19,2,4,,
Audubon,"6,830",205,3.00%,"6,278",354,5.60%,87.90%,19_005,19,2,4,,
Benton,"25,308",622,2.50%,"26,962","1,510",5.60%,127.90%,19_006,19,2,4,,
Black Hawk,"128,012","8,778",6.90%,"126,106","13,147",10.40%,52.00%,19_007,19,2,4,,
Boone,"26,224",773,2.90%,"26,584","1,520",5.70%,94.00%,19_008,19,2,4,,
Bremer,"23,325",501,2.10%,"23,837",947,4.00%,85.00%,19_009,19,2,4,,
Buchanan,"21,093",674,3.20%,"21,045","1,121",5.30%,66.70%,19_010,19,2,4,,
Buena Vista,"20,411",740,3.60%,"20,091","1,223",6.10%,67.90%,19_011,19,2,4,,
Butler,"15,305",406,2.70%,"15,073",751,5.00%,87.80%,19_012,19,2,4,,
Calhoun,"11,115",440,4.00%,"10,437",654,6.30%,58.30%,19_013,19,2,4,,
Carroll,"21,421",632,3.00%,"20,963","1,074",5.10%,73.60%,19_014,19,2,4,,
Cass,"14,684",589,4.00%,"14,124","1,146",8.10%,102.30%,19_015,19,2,4,,
Cedar,"18,187",467,2.60%,"18,326",697,3.80%,48.10%,19_016,19,2,4,,
Cerro Gordo,"46,447","2,026",4.40%,"44,384","3,727",8.40%,92.50%,19_017,19,2,4,,
Cherokee,"13,035",367,2.80%,"12,094",667,5.50%,95.90%,19_018,19,2,4,,
Chickasaw,"13,095",396,3.00%,"12,412",572,4.60%,52.40%,19_019,19,2,4,,
Clarke,"9,133",528,5.80%,"9,156",882,9.60%,66.60%,19_020,19,2,4,,
Clay,"17,372",613,3.50%,"16,801","1,046",6.20%,76.40%,19_021,19,2,4,,
Clayton,"18,678",420,2.20%,"18,251",845,4.60%,105.90%,19_022,19,2,4,,
Clinton,"50,149","3,251",6.50%,"49,782","5,699",11.40%,76.60%,19_023,19,2,4,,
Crawford,"16,942",723,4.30%,"16,948","1,406",8.30%,94.40%,19_024,19,2,4,,
Dallas,"40,750",798,2.00%,"54,525","2,054",3.80%,92.40%,19_025,19,2,4,,
Davis,"8,541",301,3.50%,"8,602",489,5.70%,61.30%,19_026,19,2,4,,
Decatur,"8,689",621,7.10%,"8,656","1,014",11.70%,63.90%,19_027,19,2,4,,
Delaware,"18,404",572,3.10%,"17,848",901,5.00%,62.40%,19_028,19,2,4,,
Des Moines,"42,351","2,905",6.90%,"40,885","5,505",13.50%,96.30%,19_029,19,2,4,,
Dickinson,"16,424",455,2.80%,"16,924",702,4.10%,49.70%,19_030,19,2,4,,
Dubuque,"89,143","3,054",3.40%,"92,384","6,241",6.80%,97.20%,19_031,19,2,4,,
Emmet,"11,027",392,3.60%,"10,479",564,5.40%,51.40%,19_032,19,2,4,,
Fayette,"22,008","1,150",5.20%,"20,996","1,841",8.80%,67.80%,19_033,19,2,4,,
Floyd,"16,900",822,4.90%,"16,441","1,353",8.20%,69.20%,19_034,19,2,4,,
Franklin,"10,704",323,3.00%,"10,708",694,6.50%,114.80%,19_035,19,2,4,,
Fremont,"8,010",463,5.80%,"7,737",687,8.90%,53.60%,19_036,19,2,4,,
Greene,"10,366",501,4.80%,"9,809",719,7.30%,51.70%,19_037,19,2,4,,
Grundy,"12,369",191,1.50%,"12,320",397,3.20%,108.70%,19_038,19,2,4,,
Guthrie,"11,353",431,3.80%,"11,344",590,5.20%,37.00%,19_039,19,2,4,,
Hamilton,"16,438",516,3.10%,"16,087","1,020",6.30%,102.00%,19_040,19,2,4,,
Hancock,"12,100",285,2.40%,"11,680",521,4.50%,89.40%,19_041,19,2,4,,
Hardin,"18,812",667,3.50%,"17,791","1,230",6.90%,95.00%,19_042,19,2,4,,
Harrison,"15,666",726,4.60%,"15,745","1,220",7.70%,67.20%,19_043,19,2,4,,
Henry,"20,336",791,3.90%,"20,405","1,632",8.00%,105.60%,19_044,19,2,4,,
Howard,"9,932",293,3.00%,"9,677",472,4.90%,65.30%,19_045,19,2,4,,
Humboldt,"10,381",333,3.20%,"9,975",648,6.50%,102.50%,19_046,19,2,4,,
Ida,"7,837",240,3.10%,"7,180",416,5.80%,89.20%,19_047,19,2,4,,
Iowa,"15,671",287,1.80%,"16,140",699,4.30%,136.50%,19_048,19,2,4,,
Jackson,"20,296",812,4.00%,"20,290","1,645",8.10%,102.60%,19_049,19,2,4,,
Jasper,"37,213","1,070",2.90%,"37,409","2,511",6.70%,133.40%,19_050,19,2,4,,
Jefferson,"16,181",862,5.30%,"15,945","1,610",10.10%,89.50%,19_051,19,2,4,,
Johnson,"111,006","2,707",2.40%,"118,038","6,334",5.40%,120.00%,19_052,19,2,4,,
Jones,"20,221",619,3.10%,"20,505","1,040",5.10%,65.70%,19_053,19,2,4,,
Keokuk,"11,400",720,6.30%,"11,081",933,8.40%,33.30%,19_054,19,2,4,,
Kossuth,"17,163",512,3.00%,"16,011",898,5.60%,88.00%,19_055,19,2,4,,
Lee,"38,052","2,533",6.70%,"36,338","4,200",11.60%,73.60%,19_056,19,2,4,,
Linn,"191,701","6,959",3.60%,"201,853","16,580",8.20%,126.30%,19_057,19,2,4,,
Louisa,"12,183",545,4.50%,"11,858","1,046",8.80%,97.20%,19_058,19,2,4,,
Lucas,"9,422",534,5.70%,"9,543",934,9.80%,72.70%,19_059,19,2,4,,
Lyon,"11,763",282,2.40%,"11,636",358,3.10%,28.30%,19_119,19,2,4,,
Madison,"14,019",347,2.50%,"15,547",719,4.60%,86.80%,19_121,19,2,4,,
Mahaska,"22,335","1,175",5.30%,"22,298","2,216",9.90%,88.90%,19_123,19,2,4,,
Marion,"32,052",981,3.10%,"32,987","1,869",5.70%,85.10%,19_125,19,2,4,,
Marshall,"39,311","2,230",5.70%,"39,555","4,232",10.70%,88.60%,19_127,19,2,4,,
Mills,"14,547",645,4.40%,"15,595",988,6.30%,42.90%,19_129,19,2,4,,
Mitchell,"10,874",212,1.90%,"10,856",368,3.40%,73.90%,19_131,19,2,4,,
Monona,"10,020",467,4.70%,"9,343",807,8.60%,85.30%,19_133,19,2,4,,
Monroe,"8,016",519,6.50%,"7,725",740,9.60%,48.00%,19_135,19,2,4,,
Montgomery,"11,771",749,6.40%,"11,365","1,257",11.10%,73.80%,19_137,19,2,4,,
