Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,RS,RS,"8,728",RS,RS,RS,RS,46,2,4
Violent Crime Index,RS,RS,93,RS,RS,RS,RS,46,2,4
Murder/nonneg. mans.,RS,RS,2,RS,RS,RS,RS,46,2,4
Rape,RS,RS,14,RS,RS,RS,RS,46,2,4
Robbery,RS,RS,1,RS,RS,RS,RS,46,2,4
Aggravated assault,RS,RS,76,RS,RS,RS,RS,46,2,4
Property Crime Index,RS,RS,"1,529",RS,RS,RS,RS,46,2,4
Burglary,RS,RS,201,RS,RS,RS,RS,46,2,4
Larceny-theft,RS,RS,"1,260",RS,RS,RS,RS,46,2,4
Motor vehicle theft,RS,RS,57,RS,RS,RS,RS,46,2,4
Arson,RS,RS,11,RS,RS,RS,RS,46,2,4
Other assaults,RS,RS,449,RS,RS,RS,RS,46,2,4
Forgery and counterfeiting,RS,RS,12,RS,RS,RS,RS,46,2,4
Fraud,RS,RS,11,RS,RS,RS,RS,46,2,4
Embezzlement,RS,RS,1,RS,RS,RS,RS,46,2,4
Stolen property,RS,RS,54,RS,RS,RS,RS,46,2,4
Vandalism,RS,RS,250,RS,RS,RS,RS,46,2,4
Weapons,RS,RS,68,RS,RS,RS,RS,46,2,4
Prostitution/<br>commercialized vice,RS,RS,0,RS,RS,RS,RS,46,2,4
Sex offenses (other),RS,RS,28,RS,RS,RS,RS,46,2,4
Drug abuse violations,RS,RS,655,RS,RS,RS,RS,46,2,4
Gambling,RS,RS,0,RS,RS,RS,RS,46,2,4
Offenses against family,RS,RS,90,RS,RS,RS,RS,46,2,4
Driving under influence,RS,RS,152,RS,RS,RS,RS,46,2,4
Liquor laws,RS,RS,"1,862",RS,RS,RS,RS,46,2,4
Drunkenness,RS,RS,19,RS,RS,RS,RS,46,2,4
Disorderly conduct,RS,RS,469,RS,RS,RS,RS,46,2,4
Vagrancy,RS,RS,0,RS,RS,RS,RS,46,2,4
All other offenses,RS,RS,"2,031",RS,RS,RS,RS,46,2,4
Curfew and loitering,RS,RS,307,RS,RS,RS,RS,46,2,4
Runaways,RS,RS,648,RS,RS,RS,RS,46,2,4
Population Ages 10 to 17,"96,100","95,300","94,000","92,600","91,100","90,300","90,000",46,2,4
