Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2008,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 3-5                                          ,226,9,235,          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 6-21                                         ,"4,821.00",282,"5,103.00",          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Total Special Education Teachers                                                 ,"5,046.00",291,"5,337.00",          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 3-5                                 ,347,12,359,          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 6-21                                ,"4,123.00",232,"4,355.00",          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Total Special Education Paraprofessionals                                        ,"4,471.00",244,"4,714.00",          N/V,          N/V,          N/V
2008,Alabama                                      ,,1,3,6,Audiologists                                                                     ,          N/V,          N/V,          N/V,15,0,15
2008,Alabama                                      ,,1,3,6,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,787,24,811
2008,Alabama                                      ,,1,3,6,Interpreters                                                                     ,          N/V,          N/V,          N/V,81,2,83
2008,Alabama                                      ,,1,3,6,Psychologists                                                                    ,          N/V,          N/V,          N/V,132,0,132
2008,Alabama                                      ,,1,3,6,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,146,6,153
2008,Alabama                                      ,,1,3,6,Physical Therapists                                                              ,          N/V,          N/V,          N/V,94,4,98
2008,Alabama                                      ,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,194,10,204
2008,Alabama                                      ,,1,3,6,Social Workers                                                                   ,          N/V,          N/V,          N/V,100,21,121
2008,Alabama                                      ,,1,3,6,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,598,78,676
2008,Alabama                                      ,,1,3,6,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,283,24,307
2008,Alabama                                      ,,1,3,6,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,20,1,21
2008,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 3-5                                          ,71,22,93,          N/V,          N/V,          N/V
2008,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 6-21                                         ,843,167,"1,010.00",          N/V,          N/V,          N/V
2008,Alaska                                       ,,2,4,9,Total Special Education Teachers                                                 ,914,189,"1,103.00",          N/V,          N/V,          N/V
2008,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 3-5                                 ,116,2,118,          N/V,          N/V,          N/V
2008,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 6-21                                ,"1,181.00",39,"1,220.00",          N/V,          N/V,          N/V
