State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"68,659"	940	1.4	"2,360"	3.4	"20,458"	29.8	"21,269"	31	"21,761"	31.7	210	0.3	"1,661"	2.4	"8,407"	12.2	"1,032"	1.5	"7,021"	10.2	"24,780"
Alabama		1	3	6	"1,553"	5	0.3	7	0.5	41	2.6	986	63.5	507	32.6	DS	0.1	5	0.3	146	9.4	11	0.7	26	1.7	433
Alaska		2	4	9	44	33	75	0	0	0	0	0	0	9	20.5	0	0	DS	4.5	8	18.2	0	0	13	29.5	276
Arizona		4	4	8	"1,580"	108	6.8	10	0.6	626	39.6	86	5.4	623	39.4	6	0.4	121	7.7	225	14.2	16	1	57	3.6	529
Arkansas		5	3	7	"1,365"	DS	0.1	39	2.9	123	9	811	59.4	369	27	11	0.8	10	0.7	97	7.1	18	1.3	104	7.6	298
California		6	4	9	"8,302"	58	0.7	"1,317"	15.9	"5,015"	60.4	728	8.8	987	11.9	75	0.9	122	1.5	756	9.1	51	0.6	"3,118"	37.6	"2,500"
Colorado		8	4	8	567	6	1.1	10	1.8	397	70	65	11.5	81	14.3	0	0	8	1.4	56	9.9	DS	0.4	128	22.6	457
Connecticut		9	1	1	568	5	0.9	7	1.2	197	34.7	120	21.1	222	39.1	DS	0.4	15	2.6	76	13.4	18	3.2	55	9.7	244
Delaware		10	3	5	235	0	0	DS	0.9	37	15.7	119	50.6	75	31.9	DS	0.9	0	0	29	12.3	4	1.7	10	4.3	65
District of Columbia		11	3	5	160	0	0	0	0	17	10.6	141	88.1	DS	1.3	0	0	0	0	35	21.9	DS	1.3	6	3.8	39
Florida		12	3	5	"4,583"	26	0.6	45	1	"1,154"	25.2	"1,511"	33	"1,698"	37	DS	0	147	3.2	492	10.7	64	1.4	343	7.5	"1,092"
Georgia		13	3	5	"4,967"	7	0.1	88	1.8	705	14.2	"2,580"	51.9	"1,444"	29.1	7	0.1	136	2.7	458	9.2	33	0.7	174	3.5	572
Hawaii		15	4	9	25	DS	8	4	16	DS	8	DS	8	5	20	10	40	0	0	DS	8	DS	8	0	0	66
Idaho		16	4	8	187	5	2.7	0	0	31	16.6	4	2.1	145	77.5	0	0	DS	1.1	9	4.8	4	2.1	DS	1.1	218
Illinois		17	2	3	"3,837"	15	0.4	54	1.4	"1,302"	33.9	"1,457"	38	932	24.3	DS	0.1	75	2	560	14.6	31	0.8	222	5.8	893
Indiana		18	2	3	312	DS	0.6	DS	0.6	21	6.7	63	20.2	206	66	0	0	18	5.8	62	19.9	DS	0.6	6	1.9	424
Iowa		19	2	4	382	14	3.7	6	1.6	64	16.8	68	17.8	210	55	0	0	20	5.2	35	9.2	6	1.6	19	5	401
Kansas		20	2	4	249	4	1.6	4	1.6	65	26.1	50	20.1	115	46.2	DS	0.8	9	3.6	31	12.4	10	4	28	11.2	380
Kentucky		21	3	6	805	DS	0.2	7	0.9	39	4.8	208	25.8	535	66.5	DS	0.2	12	1.5	73	9.1	5	0.6	18	2.2	392
Louisiana		22	3	7	852	7	0.8	8	0.9	26	3.1	540	63.4	265	31.1	0	0	6	0.7	83	9.7	34	4	20	2.3	381
Maine		23	1	1	66	DS	3	0	0	0	0	0	0	62	93.9	0	0	DS	3	14	21.2	4	6.1	0	0	127
Maryland		24	3	5	"2,460"	7	0.3	71	2.9	458	18.6	"1,403"	57	457	18.6	6	0.2	58	2.4	355	14.4	65	2.6	164	6.7	284
Massachusetts		25	1	1	900	11	1.2	24	2.7	288	32	131	14.6	412	45.8	0	0	34	3.8	217	24.1	40	4.4	90	10	378
Michigan		26	2	3	"2,552"	26	1	29	1.1	212	8.3	874	34.2	"1,346"	52.7	DS	0.1	63	2.5	325	12.7	24	0.9	110	4.3	"1,074"
Minnesota		27	2	4	450	18	4	12	2.7	54	12	31	6.9	329	73.1	0	0	6	1.3	66	14.7	7	1.6	20	4.4	760
Mississippi		28	3	6	846	DS	0.2	DS	0.2	16	1.9	563	66.5	263	31.1	0	0	0	0	72	8.5	DS	0.2	DS	0.2	314
Missouri		29	2	4	702	4	0.6	DS	0.3	38	5.4	260	37	381	54.3	DS	0.3	15	2.1	106	15.1	DS	0.3	14	2	674
Montana		30	4	8	60	39	65	0	0	0	0	DS	3.3	15	25	DS	3.3	DS	3.3	5	8.3	DS	3.3	DS	3.3	169
Nebraska		31	2	4	76	DS	2.6	DS	2.6	16	21.1	4	5.3	50	65.8	0	0	DS	2.6	14	18.4	DS	2.6	4	5.3	318
Nevada		32	4	8	"1,805"	12	0.7	59	3.3	852	47.2	326	18.1	451	25	16	0.9	89	4.9	193	10.7	15	0.8	270	15	143
New Hampshire		33	1	1	304	4	1.3	8	2.6	33	10.9	15	4.9	242	79.6	0	0	DS	0.7	63	20.7	22	7.2	14	4.6	89
New Jersey		34	1	2	"1,099"	DS	0.2	21	1.9	488	44.4	411	37.4	169	15.4	DS	0.2	6	0.5	138	12.6	15	1.4	88	8	516
New Mexico		35	4	8	930	104	11.2	10	1.1	619	66.6	28	3	158	17	0	0	11	1.2	101	10.9	7	0.8	178	19.1	209
New York		36	1	2	"1,601"	9	0.6	56	3.5	372	23.2	549	34.3	597	37.3	DS	0.1	16	1	360	22.5	23	1.4	156	9.7	"1,396"
North Carolina		37	3	5	"2,678"	64	2.4	47	1.8	383	14.3	"1,204"	45	884	33	0	0	96	3.6	344	12.8	81	3	184	6.9	613
