,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students enrolled in Advanced Placement courses, by race/ethnicity, disability status, and English proficiency, by gender and course, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Advanced Placement Courses,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,
AP,Wyoming,,Male,"1,119 ",44.5 ,7 ,0.3 ,27 ,1.1 ,69 ,2.7 ,15 ,0.6 ,976 ,38.8 ,1-3 ,0.1 ,23 ,0.9 ,13 ,0.5 ,4 ,0.2 ,27 ,100.0 
AP,Wyoming,At least one AP course,Female,"1,397 ",55.5 ,12 ,0.5 ,26 ,1.0 ,81 ,3.2 ,9 ,0.4 ,"1,235 ",49.1 ,7 ,0.3 ,27 ,1.1 ,7 ,0.3 ,4 ,0.2 ,27 ,100.0 
AP,Wyoming,,Total,"2,516 ",100.0 ,19 ,0.8 ,53 ,2.1 ,150 ,6.0 ,24 ,1.0 ,"2,211 ",87.9 ,9 ,0.4 ,50 ,2.0 ,20 ,0.8 ,8 ,0.3 ,27 ,100.0 
AP,Wyoming,,Male,460 ,49.4 ,1-3 ,0.2 ,16 ,1.7 ,29 ,3.1 ,7 ,0.8 ,393 ,42.2 ,1-3 ,0.2 ,11 ,1.2 ,8 ,0.9 ,1-3 ,0.2 ,27 ,100.0 
AP,Wyoming,AP mathematics,Female,471 ,50.6 ,8 ,0.9 ,15 ,1.6 ,40 ,4.3 ,1-3 ,0.2 ,396 ,42.5 ,1-3 ,0.2 ,8 ,0.9 ,0 ,0.0 ,1-3 ,0.2 ,27 ,100.0 
AP,Wyoming,,Total,931 ,100.0 ,10 ,1.1 ,31 ,3.3 ,69 ,7.4 ,9 ,1.0 ,789 ,84.7 ,4 ,0.4 ,19 ,2.0 ,8 ,0.9 ,4 ,0.4 ,27 ,100.0 
AP,Wyoming,,Male,426 ,46.3 ,1-3 ,0.2 ,17 ,1.8 ,31 ,3.4 ,6 ,0.7 ,361 ,39.2 ,1-3 ,0.2 ,7 ,0.8 ,5 ,0.5 ,1-3 ,0.2 ,27 ,100.0 
AP,Wyoming,AP science,Female,495 ,53.7 ,9 ,1.0 ,15 ,1.6 ,38 ,4.1 ,4 ,0.4 ,417 ,45.3 ,5 ,0.5 ,7 ,0.8 ,1-3 ,0.2 ,1-3 ,0.2 ,27 ,100.0 
AP,Wyoming,,Total,921 ,100.0 ,11 ,1.2 ,32 ,3.5 ,69 ,7.5 ,10 ,1.1 ,778 ,84.5 ,7 ,0.8 ,14 ,1.5 ,7 ,0.8 ,4 ,0.4 ,27 ,100.0 
AP,Wyoming,,Male,143 ,39.4 ,1-3 ,0.6 ,1-3 ,0.6 ,15 ,4.1 ,6 ,1.7 ,114 ,31.4 ,1-3 ,0.6 ,1-3 ,0.6 ,5 ,1.4 ,0 ,0.0 ,27 ,100.0 
AP,Wyoming,AP foreign language,Female,220 ,60.6 ,4 ,1.1 ,4 ,1.1 ,26 ,7.2 ,1-3 ,0.6 ,177 ,48.8 ,5 ,1.4 ,1-3 ,0.6 ,0 ,0.0 ,0 ,0.0 ,27 ,100.0 
AP,Wyoming,,Total,363 ,100.0 ,6 ,1.7 ,6 ,1.7 ,41 ,11.3 ,8 ,2.2 ,291 ,80.2 ,7 ,1.9 ,4 ,1.1 ,5 ,1.4 ,0 ,0.0 ,27 ,100.0 
AP,Wyoming,,Male,377 ,43.1 ,1-3 ,0.2 ,10 ,1.1 ,27 ,3.1 ,1-3 ,0.2 ,327 ,37.4 ,1-3 ,0.2 ,7 ,0.8 ,4 ,0.5 ,1-3 ,0.2 ,27 ,100.0 
AP,Wyoming,Other AP subjects,Female,498 ,56.9 ,1-3 ,0.2 ,6 ,0.7 ,24 ,2.7 ,1-3 ,0.2 ,456 ,52.1 ,0 ,0.0 ,8 ,0.9 ,4 ,0.5 ,0 ,0.0 ,27 ,100.0 
AP,Wyoming,,Total,875 ,100.0 ,4 ,0.5 ,16 ,1.8 ,51 ,5.8 ,4 ,0.5 ,783 ,89.5 ,1-3 ,0.2 ,15 ,1.7 ,8 ,0.9 ,1-3 ,0.2 ,27 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 2,516 public school students enrolled in at least one Advanced Placement course, 19 (0.8%) were American Indian or Alaska Native, and 20 (0.8%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA).",,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,
