Discipline by gender	Number Students With Disabilities	Percent Students With Disabilities 	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian of Alaska Native With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native With Disabilities Served Under IDEA	Number of Asians With Disabilities Served Under IDEA	Percent of Asians With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race With Disabilities Served Under IDEA	Number of Black or African American With Disabilities Served Under IDEA	Percent of Black or African American With Disabilities Served Under IDEA	Number of Whites With Disabilities Served Under IDEA	Percent of Whites With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander With Disabilities Served Under IDEA	Number of two or more races With Disabilities Served Under IDEA	Percent two or more races With Disabilities Served Under IDEA	Number English Language Learners With Disabilities Served Under IDEA	Percent English language learners With Disabilities Served Under IDEA	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment males	"2,493"	85.4	149	5.1	"2,344"	80.3	4	0.1	DS	0.1	80	2.9	548	20	"1,687"	61.4	0	0	23	0.8	40	1.4	"1,097"	5	3	7
Corporal punishment females	425	14.6	23	0.8	402	13.8	DS	0.1	DS	0.1	24	0.9	116	4.2	258	9.4	0	0	0	0	4	0.1	"1,097"	5	3	7
Corporal punishment total	"2,918"	100	172	5.9	"2,746"	94.1	6	0.2	4	0.1	104	3.8	664	24.2	"1,945"	70.8	0	0	23	0.8	44	1.5	"1,097"	5	3	7
One or more in-school suspensions males	"5,592"	76.3	374	5.1	"5,218"	71.2	30	0.4	17	0.2	349	5.1	"1,987"	29	"2,772"	40.4	18	0.3	45	0.7	244	3.3	"1,097"	5	3	7
One or more in-school suspensions by females	"1,734"	23.7	96	1.3	"1,638"	22.4	13	0.2	4	0.1	123	1.8	725	10.6	754	11	5	0.1	14	0.2	86	1.2	"1,097"	5	3	7
One or more in-school suspensions total	"7,326"	100	470	6.4	"6,856"	93.6	43	0.6	21	0.3	472	6.9	"2,712"	39.6	"3,526"	51.4	23	0.3	59	0.9	330	4.5	"1,097"	5	3	7
Only one out-of-school suspension males	"2,481"	77	135	4.2	"2,346"	72.9	10	0.3	5	0.2	127	4.2	906	29.8	"1,273"	41.9	7	0.2	18	0.6	66	2	"1,097"	5	3	7
Only one out-of-school suspension females	739	23	47	1.5	692	21.5	4	0.1	DS	0.1	35	1.2	339	11.2	310	10.2	0	0	DS	0.1	17	0.5	"1,097"	5	3	7
Only one out-of-school suspension total	"3,220"	100	182	5.7	"3,038"	94.3	14	0.5	7	0.2	162	5.3	"1,245"	41	"1,583"	52.1	7	0.2	20	0.7	83	2.6	"1,097"	5	3	7
More than one out-of-school suspension males	"2,141"	80.5	106	4	"2,035"	76.6	11	0.4	8	0.3	116	4.6	"1,000"	39.7	863	34.2	12	0.5	25	1	85	3.2	"1,097"	5	3	7
