,"Number and percentage of public school male students retained in grade 12, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 12,United States,"84,668 ","1,266 ",1.5 ,"3,017 ",3.6 ,"25,787 ",30.5 ,"20,274 ",23.9 ,"32,013 ",37.8 ,303 ,0.4 ,"2,008 ",2.4 ,"27,909 ",33.0 ,"2,400 ",2.8 ,"8,977 ",10.6 ,"11,097 ",100.0 
Retained in grade 12,Alabama,904 ,5 ,0.6 ,10 ,1.1 ,42 ,4.6 ,484 ,53.5 ,353 ,39.0 ,1 to 3,0.2 ,8 ,0.9 ,217 ,24.0 ,10 ,1.1 ,24 ,2.7 ,183 ,100.0 
Retained in grade 12,Alaska,484 ,129 ,26.7 ,24 ,5.0 ,40 ,8.3 ,28 ,5.8 ,194 ,40.1 ,18 ,3.7 ,51 ,10.5 ,155 ,32.0 ,7 ,1.4 ,37 ,7.6 ,108 ,100.0 
Retained in grade 12,Arizona,"3,450 ",243 ,7.0 ,54 ,1.6 ,"1,961 ",56.8 ,243 ,7.0 ,894 ,25.9 ,11 ,0.3 ,44 ,1.3 ,739 ,21.4 ,304 ,8.8 ,194 ,5.6 ,203 ,100.0 
Retained in grade 12,Arkansas,172 ,0 ,0.0 ,4 ,2.3 ,37 ,21.5 ,49 ,28.5 ,76 ,44.2 ,1 to 3,0.6 ,5 ,2.9 ,26 ,15.1 ,4 ,2.3 ,24 ,14.0 ,75 ,100.0 
Retained in grade 12,California,"8,673 ",67 ,0.8 ,498 ,5.7 ,"5,433 ",62.6 ,"1,060 ",12.2 ,"1,395 ",16.1 ,62 ,0.7 ,158 ,1.8 ,"2,528 ",29.1 ,121 ,1.4 ,"2,724 ",31.4 ,765 ,100.0 
Retained in grade 12,Colorado,"3,895 ",64 ,1.6 ,109 ,2.8 ,"1,685 ",43.3 ,288 ,7.4 ,"1,633 ",41.9 ,8 ,0.2 ,108 ,2.8 ,"1,246 ",32.0 ,70 ,1.8 ,618 ,15.9 ,320 ,100.0 
Retained in grade 12,Connecticut,817 ,0 ,0.0 ,21 ,2.6 ,171 ,20.9 ,170 ,20.8 ,445 ,54.5 ,0 ,0.0 ,10 ,1.2 ,350 ,42.8 ,82 ,10.0 ,45 ,5.5 ,149 ,100.0 
Retained in grade 12,Delaware,157 ,1 to 3,1.9 ,8 ,5.1 ,15 ,9.6 ,73 ,46.5 ,56 ,35.7 ,0 ,0.0 ,1 to 3,1.3 ,85 ,54.1 ,1 to 3,1.9 ,1 to 3,1.3 ,24 ,100.0 
Retained in grade 12,District of Columbia,40 ,0 ,0.0 ,0 ,0.0 ,5 ,12.5 ,31 ,77.5 ,1 to 3,5.0 ,0 ,0.0 ,1 to 3,5.0 ,17 ,42.5 ,0 ,0.0 ,0 ,0.0 ,16 ,100.0 
Retained in grade 12,Florida,"5,947 ",21 ,0.4 ,90 ,1.5 ,"1,614 ",27.1 ,"2,225 ",37.4 ,"1,868 ",31.4 ,5 ,0.1 ,124 ,2.1 ,"1,734 ",29.2 ,155 ,2.6 ,416 ,7.0 ,455 ,100.0 
Retained in grade 12,Georgia,"3,655 ",10 ,0.3 ,135 ,3.7 ,505 ,13.8 ,"1,968 ",53.8 ,953 ,26.1 ,1 to 3,0.1 ,81 ,2.2 ,"1,486 ",40.7 ,193 ,5.3 ,145 ,4.0 ,393 ,100.0 
Retained in grade 12,Hawaii,61 ,0 ,0.0 ,10 ,16.4 ,5 ,8.2 ,5 ,8.2 ,10 ,16.4 ,28 ,45.9 ,1 to 3,4.9 ,25 ,41.0 ,0 ,0.0 ,1 to 3,4.9 ,35 ,100.0 
Retained in grade 12,Idaho,249 ,6 ,2.4 ,4 ,1.6 ,66 ,26.5 ,1 to 3,1.2 ,165 ,66.3 ,1 to 3,1.2 ,1 to 3,0.8 ,61 ,24.5 ,14 ,5.6 ,20 ,8.0 ,58 ,100.0 
Retained in grade 12,Illinois,"3,663 ",14 ,0.4 ,110 ,3.0 ,"1,085 ",29.6 ,973 ,26.6 ,"1,400 ",38.2 ,11 ,0.3 ,70 ,1.9 ,"1,727 ",47.1 ,79 ,2.2 ,285 ,7.8 ,477 ,99.6 
Retained in grade 12,Indiana,"1,018 ",5 ,0.5 ,14 ,1.4 ,96 ,9.4 ,187 ,18.4 ,681 ,66.9 ,0 ,0.0 ,35 ,3.4 ,386 ,37.9 ,23 ,2.3 ,66 ,6.5 ,134 ,100.0 
Retained in grade 12,Iowa,592 ,1 to 3,0.3 ,24 ,4.1 ,123 ,20.8 ,79 ,13.3 ,343 ,57.9 ,0 ,0.0 ,21 ,3.5 ,206 ,34.8 ,15 ,2.5 ,24 ,4.1 ,80 ,100.0 
Retained in grade 12,Kansas,294 ,6 ,2.0 ,4 ,1.4 ,74 ,25.2 ,54 ,18.4 ,151 ,51.4 ,1 to 3,0.3 ,4 ,1.4 ,96 ,32.7 ,0 ,0.0 ,33 ,11.2 ,76 ,100.0 
Retained in grade 12,Kentucky,519 ,0 ,0.0 ,6 ,1.2 ,16 ,3.1 ,163 ,31.4 ,322 ,62.0 ,1 to 3,0.2 ,11 ,2.1 ,46 ,8.9 ,1 to 3,0.2 ,13 ,2.5 ,132 ,100.0 
Retained in grade 12,Louisiana,911 ,6 ,0.7 ,16 ,1.8 ,44 ,4.8 ,534 ,58.6 ,304 ,33.4 ,1 to 3,0.1 ,6 ,0.7 ,262 ,28.8 ,60 ,6.6 ,29 ,3.2 ,206 ,100.0 
Retained in grade 12,Maine,195 ,1 to 3,1.0 ,4 ,2.1 ,1 to 3,1.5 ,12 ,6.2 ,170 ,87.2 ,1 to 3,0.5 ,1 to 3,1.5 ,87 ,44.6 ,9 ,4.6 ,20 ,10.3 ,52 ,100.0 
Retained in grade 12,Maryland,"1,930 ",9 ,0.5 ,60 ,3.1 ,309 ,16.0 ,"1,028 ",53.3 ,480 ,24.9 ,1 to 3,0.1 ,43 ,2.2 ,819 ,42.4 ,71 ,3.7 ,38 ,2.0 ,231 ,100.0 
Retained in grade 12,Massachusetts,"1,037 ",5 ,0.5 ,36 ,3.5 ,267 ,25.7 ,298 ,28.7 ,412 ,39.7 ,1 to 3,0.1 ,18 ,1.7 ,394 ,38.0 ,38 ,3.7 ,109 ,10.5 ,200 ,100.0 
Retained in grade 12,Michigan,"2,474 ",31 ,1.3 ,44 ,1.8 ,161 ,6.5 ,590 ,23.8 ,"1,591 ",64.3 ,0 ,0.0 ,57 ,2.3 ,644 ,26.0 ,53 ,2.1 ,142 ,5.7 ,568 ,100.0 
