Year,State,Nation_ID,State_ID,Region_ID,Division_ID,Personnel Type,Employed and Certified,Employed but not Certified,Total Employed
2005,Alabama                  ,,1,3,6,Special ed teachers for 3-5                  ,652,35,686
2005,Alabama                  ,,1,3,6,Special ed teachers for 6-21                 ,"5,293.00",265,"5,557.00"
2005,Alabama                  ,,1,3,6,Vocational education teachers                ,138,4,142
2005,Alabama                  ,,1,3,6,Physical education teachers                  ,198,7,205
2005,Alabama                  ,,1,3,6,Work-study coordinators                      ,27,3,29
2005,Alabama                  ,,1,3,6,Psychologists                                ,41,0,41
2005,Alabama                  ,,1,3,6,School social workers                        ,39,0,40
2005,Alabama                  ,,1,3,6,Occupational therapists                      ,87,2,89
2005,Alabama                  ,,1,3,6,Audiologists                                 ,46,0,46
2005,Alabama                  ,,1,3,6,Teacher aides                                ,"3,191.00","1,002.00","4,194.00"
2005,Alabama                  ,,1,3,6,Recreation specialists                       ,17,5,22
2005,Alabama                  ,,1,3,6,Diagnostic & evaluation staff                ,227,2,229
2005,Alabama                  ,,1,3,6,Physical therapists                          ,50,2,53
2005,Alabama                  ,,1,3,6,Counselors                                   ,183,15,198
2005,Alabama                  ,,1,3,6,Speech pathologists                          ,686,8,695
2005,Alabama                  ,,1,3,6,Supervisors/administrators                   ,314,9,323
2005,Alabama                  ,,1,3,6,Supervisors/administrators (SEA)             ,10,0,10
2005,Alabama                  ,,1,3,6,Interpreters                                 ,78,4,82
2005,Alabama                  ,,1,3,6,Rehabilitation counselors                    ,5,0,5
2005,Alabama                  ,,1,3,6,Other professional staff                     ,550,7,557
2005,Alabama                  ,,1,3,6,Non-professional staff                       ,679,191,870
2005,Alabama                  ,,1,3,6,Total                                        ,"6,569.00","1,261.00","7,830.00"
2005,Alaska                   ,,2,4,9,Special ed teachers for 3-5                  ,82,1,83
2005,Alaska                   ,,2,4,9,Special ed teachers for 6-21                 ,978,5,983
2005,Alaska                   ,,2,4,9,Vocational education teachers                ,5,0,5
2005,Alaska                   ,,2,4,9,Physical education teachers                  ,12,0,12
2005,Alaska                   ,,2,4,9,Work-study coordinators                      ,5,0,5
2005,Alaska                   ,,2,4,9,Psychologists                                ,77,1,78
2005,Alaska                   ,,2,4,9,School social workers                        ,          N/V,          N/V,          N/V
2005,Alaska                   ,,2,4,9,Occupational therapists                      ,43,1,44
2005,Alaska                   ,,2,4,9,Audiologists                                 ,2,0,2
2005,Alaska                   ,,2,4,9,Teacher aides                                ,"1,317.00",0,"1,317.00"
2005,Alaska                   ,,2,4,9,Recreation specialists                       ,0,0,0
2005,Alaska                   ,,2,4,9,Diagnostic & evaluation staff                ,0,0,0
2005,Alaska                   ,,2,4,9,Physical therapists                          ,23,0,23
2005,Alaska                   ,,2,4,9,Counselors                                   ,0,0,0
2005,Alaska                   ,,2,4,9,Speech pathologists                          ,148,1,149
2005,Alaska                   ,,2,4,9,Supervisors/administrators                   ,20,0,20
2005,Alaska                   ,,2,4,9,Supervisors/administrators (SEA)             ,0,0,0
2005,Alaska                   ,,2,4,9,Interpreters                                 ,0,0,0
2005,Alaska                   ,,2,4,9,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Alaska                   ,,2,4,9,Other professional staff                     ,6,0,6
2005,Alaska                   ,,2,4,9,Non-professional staff                       ,0,0,0
2005,Alaska                   ,,2,4,9,Total                                        ,"1,658.00",3,"1,661.00"
2005,American Samoa           ,,60,,,Special ed teachers for 3-5                  ,0,5,5
2005,American Samoa           ,,60,,,Special ed teachers for 6-21                 ,38,107,145
2005,American Samoa           ,,60,,,Vocational education teachers                ,0,0,0
2005,American Samoa           ,,60,,,Physical education teachers                  ,0,0,0
2005,American Samoa           ,,60,,,Work-study coordinators                      ,1,0,1
2005,American Samoa           ,,60,,,Psychologists                                ,1,0,1
2005,American Samoa           ,,60,,,School social workers                        ,1,0,1
2005,American Samoa           ,,60,,,Occupational therapists                      ,0,0,0
2005,American Samoa           ,,60,,,Audiologists                                 ,0,0,0
2005,American Samoa           ,,60,,,Teacher aides                                ,0,15,15
2005,American Samoa           ,,60,,,Recreation specialists                       ,0,0,0
2005,American Samoa           ,,60,,,Diagnostic & evaluation staff                ,5,2,7
2005,American Samoa           ,,60,,,Physical therapists                          ,1,0,1
2005,American Samoa           ,,60,,,Counselors                                   ,1,1,2
2005,American Samoa           ,,60,,,Speech pathologists                          ,1,0,1
2005,American Samoa           ,,60,,,Supervisors/administrators                   ,24,0,24
2005,American Samoa           ,,60,,,Supervisors/administrators (SEA)             ,5,0,5
2005,American Samoa           ,,60,,,Interpreters                                 ,0,0,0
2005,American Samoa           ,,60,,,Rehabilitation counselors                    ,0,0,0
2005,American Samoa           ,,60,,,Other professional staff                     ,4,1,5
2005,American Samoa           ,,60,,,Non-professional staff                       ,24,1,25
2005,American Samoa           ,,60,,,Total                                        ,68,20,88
2005,Arizona                  ,,4,4,8,Special ed teachers for 3-5                  ,"1,505.00",315,"1,820.00"
2005,Arizona                  ,,4,4,8,Special ed teachers for 6-21                 ,"5,751.00",801,"6,552.00"
2005,Arizona                  ,,4,4,8,Vocational education teachers                ,151,16,168
2005,Arizona                  ,,4,4,8,Physical education teachers                  ,191,21,212
2005,Arizona                  ,,4,4,8,Work-study coordinators                      ,52,17,70
2005,Arizona                  ,,4,4,8,Psychologists                                ,831,41,872
2005,Arizona                  ,,4,4,8,School social workers                        ,166,29,195
2005,Arizona                  ,,4,4,8,Occupational therapists                      ,333,0,333
2005,Arizona                  ,,4,4,8,Audiologists                                 ,53,8,61
2005,Arizona                  ,,4,4,8,Teacher aides                                ,"7,537.00",0,"7,537.00"
2005,Arizona                  ,,4,4,8,Recreation specialists                       ,23,4,27
2005,Arizona                  ,,4,4,8,Diagnostic & evaluation staff                ,92,13,105
2005,Arizona                  ,,4,4,8,Physical therapists                          ,158,0,158
2005,Arizona                  ,,4,4,8,Counselors                                   ,616,40,656
2005,Arizona                  ,,4,4,8,Speech pathologists                          ,"1,220.00",44,"1,264.00"
2005,Arizona                  ,,4,4,8,Supervisors/administrators                   ,586,62,648
2005,Arizona                  ,,4,4,8,Supervisors/administrators (SEA)             ,79,0,79
2005,Arizona                  ,,4,4,8,Interpreters                                 ,200,95,296
2005,Arizona                  ,,4,4,8,Rehabilitation counselors                    ,11,0,11
2005,Arizona                  ,,4,4,8,Other professional staff                     ,707,65,772
2005,Arizona                  ,,4,4,8,Non-professional staff                       ,"1,272.00",483,"1,755.00"
2005,Arizona                  ,,4,4,8,Total                                        ,"14,278.00",941,"15,219.00"
2005,Arkansas                 ,,5,3,7,Special ed teachers for 3-5                  ,531,100,631
2005,Arkansas                 ,,5,3,7,Special ed teachers for 6-21                 ,"3,493.00",322,"3,814.00"
2005,Arkansas                 ,,5,3,7,Vocational education teachers                ,7,1,8
2005,Arkansas                 ,,5,3,7,Physical education teachers                  ,3,0,3
2005,Arkansas                 ,,5,3,7,Work-study coordinators                      ,1,0,1
2005,Arkansas                 ,,5,3,7,Psychologists                                ,5,0,5
2005,Arkansas                 ,,5,3,7,School social workers                        ,31,1,32
2005,Arkansas                 ,,5,3,7,Occupational therapists                      ,245,1,245
2005,Arkansas                 ,,5,3,7,Audiologists                                 ,4,0,4
2005,Arkansas                 ,,5,3,7,Teacher aides                                ,"1,775.00","1,147.00","2,922.00"
2005,Arkansas                 ,,5,3,7,Recreation specialists                       ,0,0,0
2005,Arkansas                 ,,5,3,7,Diagnostic & evaluation staff                ,176,2,178
2005,Arkansas                 ,,5,3,7,Physical therapists                          ,160,1,161
2005,Arkansas                 ,,5,3,7,Counselors                                   ,34,0,34
2005,Arkansas                 ,,5,3,7,Speech pathologists                          ,          N/V,          N/V,          N/V
2005,Arkansas                 ,,5,3,7,Supervisors/administrators                   ,216,57,273
2005,Arkansas                 ,,5,3,7,Supervisors/administrators (SEA)             ,25,0,25
2005,Arkansas                 ,,5,3,7,Interpreters                                 ,42,12,54
2005,Arkansas                 ,,5,3,7,Rehabilitation counselors                    ,0,0,0
2005,Arkansas                 ,,5,3,7,Other professional staff                     ,120,43,163
2005,Arkansas                 ,,5,3,7,Non-professional staff                       ,530,0,530
2005,Arkansas                 ,,5,3,7,Total                                        ,"3,372.00","1,265.00","4,637.00"
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Special ed teachers for 3-5                  ,23,0,23
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Special ed teachers for 6-21                 ,461,59,520
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Vocational education teachers                ,4,1,5
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Physical education teachers                  ,4,0,4
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Work-study coordinators                      ,7,1,8
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Psychologists                                ,61,1,62
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,School social workers                        ,25,0,25
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Occupational therapists                      ,34,1,35
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Audiologists                                 ,4,0,4
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Teacher aides                                ,530,82,612
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Recreation specialists                       ,0,0,0
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Diagnostic & evaluation staff                ,8,0,8
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Physical therapists                          ,19,0,19
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Counselors                                   ,38,1,39
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Speech pathologists                          ,105,3,108
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Supervisors/administrators                   ,36,1,36
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Supervisors/administrators (SEA)             ,17,1,18
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Interpreters                                 ,1,2,3
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Rehabilitation counselors                    ,0,0,0
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Other professional staff                     ,20,2,22
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Non-professional staff                       ,15,11,26
2005,Bur. of Indian Affairs   ,AI_Territory_National,,,,Total                                        ,927,107,"1,034.00"
2005,California               ,,6,4,9,Special ed teachers for 3-5                  ,"1,908.00",234,"2,142.00"
2005,California               ,,6,4,9,Special ed teachers for 6-21                 ,"27,495.00","4,032.00","31,527.00"
2005,California               ,,6,4,9,Vocational education teachers                ,342,53,395
2005,California               ,,6,4,9,Physical education teachers                  ,935,84,"1,019.00"
2005,California               ,,6,4,9,Work-study coordinators                      ,58,8,66
2005,California               ,,6,4,9,Psychologists                                ,"3,884.00",85,"3,968.00"
2005,California               ,,6,4,9,School social workers                        ,128,10,138
2005,California               ,,6,4,9,Occupational therapists                      ,833,47,880
2005,California               ,,6,4,9,Audiologists                                 ,160,6,166
2005,California               ,,6,4,9,Teacher aides                                ,"36,156.00","12,881.00","49,037.00"
2005,California               ,,6,4,9,Recreation specialists                       ,5,3,8
2005,California               ,,6,4,9,Diagnostic & evaluation staff                ,139,1,140
2005,California               ,,6,4,9,Physical therapists                          ,111,3,114
2005,California               ,,6,4,9,Counselors                                   ,622,14,635
2005,California               ,,6,4,9,Speech pathologists                          ,"5,160.00",275,"5,435.00"
2005,California               ,,6,4,9,Supervisors/administrators                   ,"1,833.00",18,"1,851.00"
2005,California               ,,6,4,9,Supervisors/administrators (SEA)             ,122,0,122
2005,California               ,,6,4,9,Interpreters                                 ,686,129,815
2005,California               ,,6,4,9,Rehabilitation counselors                    ,8,2,10
2005,California               ,,6,4,9,Other professional staff                     ,"2,334.00",83,"2,417.00"
2005,California               ,,6,4,9,Non-professional staff                       ,"2,216.00",727,"2,943.00"
2005,California               ,,6,4,9,Total                                        ,"55,731.00","14,427.00","70,157.00"
2005,Colorado                 ,,8,4,8,Special ed teachers for 3-5                  ,215,71,286
2005,Colorado                 ,,8,4,8,Special ed teachers for 6-21                 ,"3,767.00",808,"4,575.00"
2005,Colorado                 ,,8,4,8,Vocational education teachers                ,22,8,30
2005,Colorado                 ,,8,4,8,Physical education teachers                  ,38,2,40
2005,Colorado                 ,,8,4,8,Work-study coordinators                      ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Psychologists                                ,537,33,570
2005,Colorado                 ,,8,4,8,School social workers                        ,294,17,311
2005,Colorado                 ,,8,4,8,Occupational therapists                      ,297,17,314
2005,Colorado                 ,,8,4,8,Audiologists                                 ,47,4,51
2005,Colorado                 ,,8,4,8,Teacher aides                                ,"5,911.00",          N/V,"5,911.00"
2005,Colorado                 ,,8,4,8,Recreation specialists                       ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Physical therapists                          ,86,4,90
2005,Colorado                 ,,8,4,8,Counselors                                   ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Speech pathologists                          ,864,74,938
2005,Colorado                 ,,8,4,8,Supervisors/administrators                   ,215,35,250
2005,Colorado                 ,,8,4,8,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Interpreters                                 ,64,92,155
2005,Colorado                 ,,8,4,8,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Colorado                 ,,8,4,8,Other professional staff                     ,489,145,634
2005,Colorado                 ,,8,4,8,Non-professional staff                       ,713,          N/V,713
2005,Colorado                 ,,8,4,8,Total                                        ,"9,576.00",430,"10,006.00"
2005,Connecticut              ,,9,1,1,Special ed teachers for 3-5                  ,24,0,24
2005,Connecticut              ,,9,1,1,Special ed teachers for 6-21                 ,"4,913.00",0,"4,913.00"
2005,Connecticut              ,,9,1,1,Vocational education teachers                ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Physical education teachers                  ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Work-study coordinators                      ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Psychologists                                ,885,          N/V,885
2005,Connecticut              ,,9,1,1,School social workers                        ,723,          N/V,723
2005,Connecticut              ,,9,1,1,Occupational therapists                      ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Audiologists                                 ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Teacher aides                                ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Recreation specialists                       ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Physical therapists                          ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Counselors                                   ,"1,351.00",          N/V,"1,351.00"
2005,Connecticut              ,,9,1,1,Speech pathologists                          ,947,          N/V,947
2005,Connecticut              ,,9,1,1,Supervisors/administrators                   ,110,          N/V,110
2005,Connecticut              ,,9,1,1,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Interpreters                                 ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Other professional staff                     ,          N/V,          N/V,          N/V
2005,Connecticut              ,,9,1,1,Non-professional staff                       ,"8,095.00",          N/V,"8,095.00"
2005,Connecticut              ,,9,1,1,Total                                        ,"12,111.00",          N/V,"12,111.00"
2005,Delaware                 ,,10,3,5,Special ed teachers for 3-5                  ,98,2,100
2005,Delaware                 ,,10,3,5,Special ed teachers for 6-21                 ,"1,294.00",141,"1,435.00"
2005,Delaware                 ,,10,3,5,Vocational education teachers                ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Physical education teachers                  ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Work-study coordinators                      ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Psychologists                                ,108,2,110
2005,Delaware                 ,,10,3,5,School social workers                        ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Occupational therapists                      ,5,23,28
2005,Delaware                 ,,10,3,5,Audiologists                                 ,7,9,16
2005,Delaware                 ,,10,3,5,Teacher aides                                ,787,277,"1,064.00"
2005,Delaware                 ,,10,3,5,Recreation specialists                       ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Physical therapists                          ,6,4,10
2005,Delaware                 ,,10,3,5,Counselors                                   ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Speech pathologists                          ,76,39,115
2005,Delaware                 ,,10,3,5,Supervisors/administrators                   ,5,3,8
2005,Delaware                 ,,10,3,5,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Interpreters                                 ,7,6,13
2005,Delaware                 ,,10,3,5,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Other professional staff                     ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Non-professional staff                       ,          N/V,          N/V,          N/V
2005,Delaware                 ,,10,3,5,Total                                        ,"1,001.00",363,"1,364.00"
2005,District of Columbia     ,,11,3,5,Special ed teachers for 3-5                  ,5,0,5
2005,District of Columbia     ,,11,3,5,Special ed teachers for 6-21                 ,483,188,671
2005,District of Columbia     ,,11,3,5,Vocational education teachers                ,2,6,8
2005,District of Columbia     ,,11,3,5,Physical education teachers                  ,5,6,11
2005,District of Columbia     ,,11,3,5,Work-study coordinators                      ,0,0,0
2005,District of Columbia     ,,11,3,5,Psychologists                                ,50,2,52
2005,District of Columbia     ,,11,3,5,School social workers                        ,92,6,98
2005,District of Columbia     ,,11,3,5,Occupational therapists                      ,3,0,3
2005,District of Columbia     ,,11,3,5,Audiologists                                 ,0,0,0
2005,District of Columbia     ,,11,3,5,Teacher aides                                ,20,74,94
2005,District of Columbia     ,,11,3,5,Recreation specialists                       ,25,7,32
2005,District of Columbia     ,,11,3,5,Diagnostic & evaluation staff                ,0,0,0
2005,District of Columbia     ,,11,3,5,Physical therapists                          ,1,0,1
2005,District of Columbia     ,,11,3,5,Counselors                                   ,134,7,141
2005,District of Columbia     ,,11,3,5,Speech pathologists                          ,44,4,48
2005,District of Columbia     ,,11,3,5,Supervisors/administrators                   ,0,0,0
2005,District of Columbia     ,,11,3,5,Supervisors/administrators (SEA)             ,0,0,0
2005,District of Columbia     ,,11,3,5,Interpreters                                 ,0,0,0
2005,District of Columbia     ,,11,3,5,Rehabilitation counselors                    ,0,0,0
2005,District of Columbia     ,,11,3,5,Other professional staff                     ,0,0,0
2005,District of Columbia     ,,11,3,5,Non-professional staff                       ,20,21,41
2005,District of Columbia     ,,11,3,5,Total                                        ,396,133,529
2005,Florida                  ,,12,3,5,Special ed teachers for 3-5                  ,"1,945.00",52,"1,996.00"
2005,Florida                  ,,12,3,5,Special ed teachers for 6-21                 ,"21,078.00","1,175.00","22,254.00"
2005,Florida                  ,,12,3,5,Vocational education teachers                ,233,1,234
2005,Florida                  ,,12,3,5,Physical education teachers                  ,218,1,219
2005,Florida                  ,,12,3,5,Work-study coordinators                      ,238,0,238
2005,Florida                  ,,12,3,5,Psychologists                                ,"1,340.00",1,"1,341.00"
2005,Florida                  ,,12,3,5,School social workers                        ,826,1,827
2005,Florida                  ,,12,3,5,Occupational therapists                      ,551,0,551
2005,Florida                  ,,12,3,5,Audiologists                                 ,55,0,55
2005,Florida                  ,,12,3,5,Teacher aides                                ,"15,846.00",3,"15,849.00"
2005,Florida                  ,,12,3,5,Recreation specialists                       ,32,0,32
2005,Florida                  ,,12,3,5,Diagnostic & evaluation staff                ,406,0,406
2005,Florida                  ,,12,3,5,Physical therapists                          ,232,0,232
2005,Florida                  ,,12,3,5,Counselors                                   ,"2,490.00",16,"2,506.00"
2005,Florida                  ,,12,3,5,Speech pathologists                          ,          N/V,          N/V,          N/V
2005,Florida                  ,,12,3,5,Supervisors/administrators                   ,551,0,551
2005,Florida                  ,,12,3,5,Supervisors/administrators (SEA)             ,37,0,37
2005,Florida                  ,,12,3,5,Interpreters                                 ,455,6,461
2005,Florida                  ,,12,3,5,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Florida                  ,,12,3,5,Other professional staff                     ,"4,491.00",3,"4,494.00"
2005,Florida                  ,,12,3,5,Non-professional staff                       ,"4,520.00",0,"4,520.00"
2005,Florida                  ,,12,3,5,Total                                        ,"32,521.00",33,"32,553.00"
2005,Georgia                  ,,13,3,5,Special ed teachers for 3-5                  ,605,109,714
2005,Georgia                  ,,13,3,5,Special ed teachers for 6-21                 ,"11,470.00","2,917.00","14,388.00"
2005,Georgia                  ,,13,3,5,Vocational education teachers                ,159,8,166
2005,Georgia                  ,,13,3,5,Physical education teachers                  ,65,4,69
2005,Georgia                  ,,13,3,5,Work-study coordinators                      ,11,1,12
2005,Georgia                  ,,13,3,5,Psychologists                                ,696,10,706
2005,Georgia                  ,,13,3,5,School social workers                        ,92,21,113
2005,Georgia                  ,,3,3,5,Occupational therapists                      ,256,0,256
2005,Georgia                  ,,13,5,5,Audiologists                                 ,30,0,30
2005,Georgia                  ,,13,3,5,Teacher aides                                ,"11,199.00",0,"11,199.00"
