County,2000 Live Births,2000 Low Birthweight,Percentage,2007 Live Births,2007 Low Birthweight,Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,1,1.50%,92,8,8.70%,491.30%,19_001,19,2,4,,
Adams,35,2,5.70%,40,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,7,4.40%,205,12,5.90%,32.10%,19_003,19,2,4,,
Appanoose,142,8,5.60%,168,10,6.00%,5.70%,19_004,19,2,4,,
Audubon,47,3,6.40%,54,5,9.30%,45.10%,19_005,19,2,4,,
Benton,325,26,8.00%,289,24,8.30%,3.80%,19_006,19,2,4,,
Black Hawk,"1,551",96,6.20%,"1,730",121,7.00%,13.00%,19_007,19,2,4,,
Boone,317,14,4.40%,320,19,5.90%,34.40%,19_008,19,2,4,,
Bremer,250,13,5.20%,285,31,10.90%,109.20%,19_009,19,2,4,,
Buchanan,301,16,5.30%,314,12,3.80%,-28.10%,19_010,19,2,4,,
Buena Vista,233,12,5.20%,289,19,6.60%,27.70%,19_011,19,2,4,,
Butler,170,9,5.30%,202,12,5.90%,12.20%,19_012,19,2,4,,
Calhoun,107,8,7.50%,108,10,9.30%,23.80%,19_013,19,2,4,,
Carroll,262,11,4.20%,275,9,3.30%,-22.00%,19_014,19,2,4,,
Cass,158,8,5.10%,171,10,5.80%,15.50%,19_015,19,2,4,,
Cedar,206,10,4.90%,220,23,10.50%,115.40%,19_016,19,2,4,,
Cerro Gordo,530,29,5.50%,549,37,6.70%,23.20%,19_017,19,2,4,,
Cherokee,146,10,6.80%,137,12,8.80%,27.90%,19_018,19,2,4,,
Chickasaw,169,11,6.50%,153,6,3.90%,-39.80%,19_019,19,2,4,,
Clarke,97,7,7.20%,141,16,11.30%,57.20%,19_020,19,2,4,,
Clay,204,11,5.40%,214,11,5.10%,-4.70%,19_021,19,2,4,,
Clayton,194,10,5.20%,198,15,7.60%,47.00%,19_022,19,2,4,,
Clinton,591,39,6.60%,633,48,7.60%,14.90%,19_023,19,2,4,,
Crawford,189,13,6.90%,268,15,5.60%,-18.60%,19_024,19,2,4,,
Dallas,566,34,6.00%,962,64,6.70%,10.70%,19_025,19,2,4,,
Davis,129,9,7.00%,136,5,3.70%,-47.30%,19_026,19,2,4,,
Decatur,101,3,3.00%,114,9,7.90%,165.80%,19_027,19,2,4,,
Delaware,227,20,8.80%,231,12,5.20%,-41.00%,19_028,19,2,4,,
Des Moines,555,44,7.90%,558,42,7.50%,-5.10%,19_029,19,2,4,,
Dickinson,159,10,6.30%,179,13,7.30%,15.50%,19_030,19,2,4,,
Dubuque,"1,221",62,5.10%,"1,243",75,6.00%,18.80%,19_031,19,2,4,,
Emmet,126,8,6.30%,127,10,7.90%,24.00%,19_032,19,2,4,,
Fayette,233,13,5.60%,232,14,6.00%,8.20%,19_033,19,2,4,,
Floyd,199,8,4.00%,213,9,4.20%,5.10%,19_034,19,2,4,,
Franklin,113,9,8.00%,173,8,4.60%,-41.90%,19_035,19,2,4,,
Fremont,82,7,8.50%,108,5,4.60%,-45.80%,19_036,19,2,4,,
Greene,92,10,10.90%,95,9,9.50%,-12.80%,19_037,19,2,4,,
Grundy,133,8,6.00%,139,12,8.60%,43.50%,19_038,19,2,4,,
Guthrie,134,6,4.50%,122,7,5.70%,28.10%,19_039,19,2,4,,
Hamilton,192,7,3.60%,193,14,7.30%,99.00%,19_040,19,2,4,,
Hancock,131,10,7.60%,133,4,3.00%,-60.60%,19_041,19,2,4,,
Hardin,208,20,9.60%,200,12,6.00%,-37.60%,19_042,19,2,4,,
Harrison,193,16,8.30%,211,22,10.40%,25.80%,19_043,19,2,4,,
Henry,264,14,5.30%,251,12,4.80%,-9.80%,19_044,19,2,4,,
Howard,110,6,5.50%,140,5,3.60%,-34.50%,19_045,19,2,4,,
Humboldt,99,6,6.10%,106,C,N/A,N/A,19_046,19,2,4,,
Ida,70,6,8.60%,97,12,12.40%,44.30%,19_047,19,2,4,,
Iowa,183,11,6.00%,169,7,4.10%,-31.10%,19_048,19,2,4,,
Jackson,239,20,8.40%,219,15,6.80%,-18.20%,19_049,19,2,4,,
Jasper,458,27,5.90%,423,38,9.00%,52.40%,19_050,19,2,4,,
Jefferson,145,12,8.30%,155,7,4.50%,-45.40%,19_051,19,2,4,,
Johnson,"1,382",74,5.40%,"1,650",116,7.00%,31.30%,19_052,19,2,4,,
Jones,227,15,6.60%,242,20,8.30%,25.10%,19_053,19,2,4,,
Keokuk,154,10,6.50%,124,14,11.30%,73.90%,19_054,19,2,4,,
Kossuth,166,9,5.40%,187,13,7.00%,28.20%,19_055,19,2,4,,
Lee,410,34,8.30%,419,37,8.80%,6.50%,19_056,19,2,4,,
Linn,"2,715",150,5.50%,"2,844",204,7.20%,29.80%,19_057,19,2,4,,
Louisa,164,16,9.80%,157,12,7.60%,-21.70%,19_058,19,2,4,,
Lucas,119,6,5.00%,131,12,9.20%,81.70%,19_059,19,2,4,,
Lyon,159,3,1.90%,167,11,6.60%,249.10%,19_119,19,2,4,,
Madison,196,15,7.70%,192,6,3.10%,-59.20%,19_121,19,2,4,,
Mahaska,283,22,7.80%,295,20,6.80%,-12.80%,19_123,19,2,4,,
Marion,383,26,6.80%,451,37,8.20%,20.90%,19_125,19,2,4,,
Marshall,556,32,5.80%,606,55,9.10%,57.70%,19_127,19,2,4,,
