,2000,2000,,2013,2013,,
,Age 15-19,,,Age 15-19,,,
,Female,Live,,Female,Live,,2000-2013
County,Population,Births,Percentage,Population,Births,Percentage,Change
Adair,289,8,2.80%,226,*,*,*
Adams,125,*,*,108,*,*,*
Allamakee,499,16,3.20%,386,8,2.10%,-35.40%
Appanoose,467,20,4.30%,312,10,3.20%,-25.20%
Audubon,229,8,3.50%,201,*,*,*
Benton,869,29,3.30%,806,15,1.90%,-44.20%
Black Hawk,"5,797",187,3.20%,"5,119",100,2.00%,-39.40%
Boone,880,19,2.20%,762,10,1.30%,-39.20%
Bremer,"1,136",16,1.40%,"1,108",6,0.50%,-61.60%
Buchanan,825,28,3.40%,618,12,1.90%,-42.80%
Buena Vista,838,33,3.90%,767,29,3.80%,-4.00%
Butler,503,13,2.60%,437,7,1.60%,-38.00%
Calhoun,407,8,2.00%,252,*,*,*
Carroll,792,15,1.90%,637,18,2.80%,49.20%
Cass,511,17,3.30%,350,11,3.10%,-5.50%
Cedar,665,15,2.30%,558,8,1.40%,-36.40%
Cerro Gordo,"1,625",57,3.50%,"1,322",27,2.00%,-41.80%
Cherokee,446,14,3.10%,323,10,3.10%,-1.40%
Chickasaw,466,14,3.00%,363,6,1.70%,-45.00%
Clarke,331,18,5.40%,267,8,3.00%,-44.90%
Clay,596,20,3.40%,465,11,2.40%,-29.50%
Clayton,669,18,2.70%,506,*,*,*
Clinton,"1,816",73,4.00%,"1,544",47,3.00%,-24.30%
Crawford,688,25,3.60%,632,23,3.60%,0.20%
Dallas,"1,316",32,2.40%,"2,148",29,1.40%,-44.50%
Davis,306,13,4.20%,292,*,*,*
Decatur,461,15,3.30%,367,9,2.50%,-24.60%
Delaware,730,16,2.20%,613,13,2.10%,-3.20%
Des Moines,"1,532",79,5.20%,"1,161",45,3.90%,-24.80%
Dickinson,487,15,3.10%,385,*,*,*
Dubuque,"3,563",91,2.60%,"3,326",60,1.80%,-29.40%
Emmet,517,18,3.50%,373,10,2.70%,-23.00%
Fayette,830,19,2.30%,697,17,2.40%,6.50%
Floyd,579,16,2.80%,514,12,2.30%,-15.50%
Franklin,409,12,2.90%,323,*,*,*
Fremont,267,*,*,200,7,3.50%,*
Greene,358,14,3.90%,285,13,4.60%,16.60%
Grundy,420,7,1.70%,371,*,*,*
Guthrie,369,11,3.00%,307,8,2.60%,-12.60%
Hamilton,537,19,3.50%,449,11,2.40%,-30.80%
Hancock,454,10,2.20%,342,*,*,*
Hardin,729,22,3.00%,518,9,1.70%,-42.40%
Harrison,539,17,3.20%,461,9,2.00%,-38.10%
Henry,711,30,4.20%,677,16,2.40%,-44.00%
Howard,384,6,1.60%,278,*,*,*
Humboldt,407,7,1.70%,280,*,*,*
Ida,294,6,2.00%,213,*,*,*
Iowa,544,18,3.30%,542,7,1.30%,-61.00%
Jackson,705,26,3.70%,600,15,2.50%,-32.20%
Jasper,"1,187",45,3.80%,"1,029",28,2.70%,-28.20%
Jefferson,574,13,2.30%,410,10,2.40%,7.70%
Johnson,"5,796",70,1.20%,"5,942",43,0.70%,-40.10%
Jones,698,18,2.60%,573,*,*,*
Keokuk,399,15,3.80%,312,12,3.80%,2.30%
,Age 15-19,,,Age 15-19,,,
,Female,Live,,Female Live,,2000-2013,
County,Population,Births,Percentage,Population Births,Percentage,Change,
Kossuth,669,13,1.90%,480 *,*,*,
Lee,"1,267",50,3.90%,"1,047 45",4.30%,8.90%,
Linn,"6,878",209,3.00%,"6,956 127",1.80%,-39.90%,
Louisa,404,14,3.50%,407 13,3.20%,-7.80%,
Lucas,325,16,4.90%,269 8,3.00%,-39.60%,
Lyon,414,11,2.70%,334 7,2.10%,-21.10%,
Madison,464,14,3.00%,490 *,*,*,
Mahaska,827,37,4.50%,718 23,3.20%,-28.40%,
Marion,"1,275",29,2.30%,"1,303 18",1.40%,-39.30%,
Marshall,"1,340",80,6.00%,"1,268 46",3.60%,-39.20%,
Mills,527,18,3.40%,516 13,2.50%,-26.20%,
Mitchell,359,7,1.90%,357 8,2.20%,14.90%,
Monona,304,16,5.30%,258 *,*,*,
Monroe,282,12,4.30%,251 6,2.40%,-43.80%,
Montgomery,405,8,2.00%,355 16,4.50%,128.20%,
Muscatine,"1,478",100,6.80%,"1,336 54",4.00%,-40.30%,
O'Brien,552,22,4.00%,397 6,1.50%,-62.10%,
Osceola,253,*,*,169 6,3.60%,*,
Page,562,21,3.70%,464 15,3.20%,-13.50%,
Palo Alto,447,14,3.10%,252 7,2.80%,-11.30%,
Plymouth,961,28,2.90%,874 17,1.90%,-33.20%,
Pocahontas,313,*,*,205 *,*,*,
Polk,"12,454",603,4.80%,"14,071 363",2.60%,-46.70%,
Pottawattamie,"3,284",164,5.00%,"3,047 96",3.20%,-36.90%,
Poweshiek,827,22,2.70%,780 8,1.00%,-61.40%,
Ringgold,192,7,3.60%,139 *,*,*,
Sac,398,6,1.50%,330 *,*,*,
Scott,"5,777",271,4.70%,"5,358 185",3.50%,-26.40%,
Shelby,474,14,3.00%,395 6,1.50%,-48.60%,
Sioux,"1,825",36,2.00%,"1,557 23",1.50%,-25.10%,
Story,"4,427",50,1.10%,"4,864 21",0.40%,-61.80%,
Tama,634,28,4.40%,614 21,3.40%,-22.60%,
Taylor,240,13,5.40%,200 8,4.00%,-26.20%,
Union,457,7,1.50%,407 9,2.20%,44.40%,
Van Buren,256,14,5.50%,212 *,*,*,
Wapello,"1,214",64,5.30%,"1,109 39",3.50%,-33.30%,
Warren,"1,628",41,2.50%,"1,857 31",1.70%,-33.70%,
Washington,691,19,2.70%,739 24,3.20%,18.10%,
Wayne,243,11,4.50%,187 *,*,*,
Webster,"1,452",62,4.30%,"1,275 42",3.30%,-22.90%,
Winnebago,485,15,3.10%,315 6,1.90%,-38.40%,
Winneshiek,"1,190",15,1.30%,"1,045 7",0.70%,-46.90%,
Woodbury,"3,906",212,5.40%,"3,593 118",3.30%,-39.50%,
Worth,257,6,2.30%,255 *,*,*,
Wright,456,17,-30.2% 3.7%,346 9,2.60%,,
State,"110,644","3,783",-35.4% 3.4%,"103,458 2,286",2.20%,,
Rural,"17,095",529,3.10%,"13,759 279",2.00%,-34.50%,
Small Urban,"41,667","1,397",3.40%,"37,423 894",2.40%,-28.70%,
Metropolitan,"51,882","1,857",-40.5% 3.6%,"52,276 1,113",2.10%,,
United States,"9,828,886","470,506",4.80%,"10,312,774 274,641",2.70%,-44.40%,
