Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males 	"1,530"	87.2	20	1.1	"1,510"	86.1	DS	0.1	DS	0.1	22	1.3	368	21.2	"1,110"	64.1	0	0	6	0.3	DS	0.1	"1,802"	47	3	6
Corporal punishment on females 	224	12.8	DS	0.1	222	12.7	0	0	0	0	DS	0.1	74	4.3	144	8.3	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
Corporal punishment total	"1,754"	100	22	1.3	"1,732"	98.7	DS	0.1	DS	0.1	24	1.4	442	25.5	"1,254"	72.4	0	0	8	0.5	4	0.2	"1,802"	47	3	6
One or more in-school suspensions on males	"13,108"	74.5	362	2.1	"12,746"	72.4	38	0.2	41	0.2	324	1.9	"4,874"	28.5	"7,382"	43.1	4	0	83	0.5	193	1.1	"1,802"	47	3	6
One or more in-school suspensions on females	"4,486"	25.5	124	0.7	"4,362"	24.8	6	0	14	0.1	97	0.6	"1,919"	11.2	"2,295"	13.4	DS	0	29	0.2	57	0.3	"1,802"	47	3	6
One or more in-school suspensions total	"17,594"	100	486	2.8	"17,108"	97.2	44	0.3	55	0.3	421	2.5	"6,793"	39.7	"9,677"	56.6	6	0	112	0.7	250	1.4	"1,802"	47	3	6
Only one out-of-school suspension on males	"6,212"	76	182	2.2	"6,030"	73.8	16	0.2	10	0.1	153	1.9	"2,865"	36.1	"2,946"	37.1	DS	0	38	0.5	82	1	"1,802"	47	3	6
Only one out-of-school suspension on females	"1,960"	24	48	0.6	"1,912"	23.4	DS	0	5	0.1	47	0.6	"1,093"	13.8	757	9.5	DS	0	6	0.1	23	0.3	"1,802"	47	3	6
Only one out-of-school suspension total	"8,172"	100	230	2.8	"7,942"	97.2	18	0.2	15	0.2	200	2.5	"3,958"	49.8	"3,703"	46.6	4	0.1	44	0.6	105	1.3	"1,802"	47	3	6
More than one out-of-school suspension on males	"5,759"	79.3	136	1.9	"5,623"	77.5	10	0.1	13	0.2	128	1.8	"3,600"	50.9	"1,837"	26	0	0	35	0.5	152	2.1	"1,802"	47	3	6
