State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"4,068"	62	1.5	110	2.7	919	22.6	903	22.2	"1,920"	47.2	17	0.4	137	3.4	45	1.1	172	4.2	"95,635"
Alabama		1	3	6	78	9	11.5	0	0	DS	2.6	39	50	26	33.3	0	0	DS	2.6	DS	2.6	0	0	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	154	8	5.2	DS	1.3	53	34.4	13	8.4	71	46.1	DS	1.3	5	3.2	DS	1.3	0	0	"1,920"
Arkansas		5	3	7	20	0	0	0	0	DS	10	11	55	7	35	0	0	0	0	0	0	DS	10	"1,097"
California		6	4	9	137	DS	1.5	DS	1.5	67	48.9	45	32.8	12	8.8	DS	1.5	7	5.1	DS	1.5	29	21.2	"9,866"
Colorado		8	4	8	77	0	0	0	0	7	9.1	DS	2.6	64	83.1	0	0	4	5.2	DS	2.6	DS	2.6	"1,811"
Connecticut		9	1	1	24	0	0	0	0	DS	8.3	13	54.2	9	37.5	0	0	0	0	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	4	0	0	0	0	0	0	4	100	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	32	0	0	DS	6.3	16	50	DS	6.3	10	31.3	0	0	DS	6.3	0	0	0	0	"3,886"
Georgia		13	3	5	677	0	0	77	11.4	240	35.5	332	49	DS	0.3	0	0	26	3.8	0	0	66	9.7	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	137	DS	1.5	0	0	61	44.5	DS	1.5	72	52.6	0	0	0	0	8	5.8	14	10.2	703
Illinois		17	2	3	134	DS	1.5	0	0	10	7.5	30	22.4	81	60.4	0	0	11	8.2	0	0	0	0	"4,221"
