County,2000 Labor Force,2000 Unemployed,2007 Percentage,2000 Labor Force,2007 Unemployed,Percentage2007 ,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"4,530",110,2.40%,"4,390",160,3.60%,50.10%,19_001,19,2,4,,
Adams,"2,130",90,4.20%,"2,090",90,4.30%,1.90%,19_002,19,2,4,,
Allamakee,"7,420",290,3.90%,"8,200",400,4.90%,24.80%,19_003,19,2,4,,
Appanoose,"6,550",280,4.30%,"6,010",420,7.00%,63.50%,19_004,19,2,4,,
Audubon,"3,350",100,3.00%,"3,300",130,3.90%,32.00%,19_005,19,2,4,,
Benton,"11,790",290,2.50%,"14,600",600,4.10%,67.10%,19_006,19,2,4,,
Black Hawk,"68,200","2,000",2.90%,"72,300","2,800",3.90%,32.10%,19_007,19,2,4,,
Boone,"13,720",310,2.30%,"15,510",520,3.40%,48.40%,19_008,19,2,4,,
Bremer,"12,600",300,2.40%,"14,000",400,2.90%,20.00%,19_009,19,2,4,,
Buchanan,"10,890",340,3.10%,"11,100",470,4.20%,35.60%,19_010,19,2,4,,
Buena Vista,"10,820",230,2.10%,"10,360",340,3.30%,54.40%,19_011,19,2,4,,
Butler,"7,340",270,3.70%,"8,300",350,4.20%,14.60%,19_012,19,2,4,,
Calhoun,"4,730",140,3.00%,"5,220",180,3.40%,16.50%,19_013,19,2,4,,
Carroll,"12,390",290,2.30%,"12,230",330,2.70%,15.30%,19_014,19,2,4,,
Cass,"7,310",310,4.20%,"7,630",320,4.20%,-1.10%,19_015,19,2,4,,
Cedar,"9,440",220,2.30%,"10,850",370,3.40%,46.30%,19_016,19,2,4,,
Cerro Gordo,"25,790",780,3.00%,"25,740","1,030",4.00%,32.30%,19_017,19,2,4,,
Cherokee,"6,850",150,2.20%,"6,620",250,3.80%,72.50%,19_018,19,2,4,,
Chickasaw,"7,160",560,7.80%,"6,540",280,4.30%,-45.30%,19_019,19,2,4,,
Clarke,"5,190",160,3.10%,"4,790",210,4.40%,42.20%,19_020,19,2,4,,
Clay,"10,330",250,2.40%,"9,750",310,3.20%,31.40%,19_021,19,2,4,,
Clayton,"10,190",400,3.90%,"9,900",490,4.90%,26.10%,19_022,19,2,4,,
Clinton,"26,490",920,3.50%,"27,450","1,060",3.90%,11.20%,19_023,19,2,4,,
Crawford,"8,830",200,2.30%,"9,320",320,3.40%,51.60%,19_024,19,2,4,,
Dallas,"21,900",300,1.40%,"31,600",900,2.80%,107.90%,19_025,19,2,4,,
Davis,"4,150",110,2.70%,"4,080",190,4.70%,75.70%,19_026,19,2,4,,
Decatur,"3,570",160,4.50%,"4,140",180,4.30%,-3.00%,19_027,19,2,4,,
Delaware,"9,500",340,3.60%,"10,780",400,3.70%,3.70%,19_028,19,2,4,,
Des Moines,"23,430",780,3.30%,"21,080",960,4.60%,36.80%,19_029,19,2,4,,
Dickinson,"9,900",230,2.30%,"9,740",390,4.00%,72.40%,19_030,19,2,4,,
Dubuque,"49,100","1,600",3.30%,"51,900","2,100",4.00%,24.20%,19_031,19,2,4,,
Emmet,"5,540",170,3.10%,"5,940",230,3.90%,26.20%,19_032,19,2,4,,
Fayette,"10,990",450,4.10%,"10,940",500,4.60%,11.60%,19_033,19,2,4,,
Floyd,"7,790",340,4.40%,"8,700",400,4.60%,5.30%,19_034,19,2,4,,
Franklin,"5,740",150,2.60%,"6,080",220,3.60%,38.50%,19_035,19,2,4,,
Fremont,"4,000",90,2.30%,"3,970",170,4.30%,90.30%,19_036,19,2,4,,
Greene,"4,870",170,3.50%,"5,030",190,3.80%,8.20%,19_037,19,2,4,,
Grundy,"6,110",120,2.00%,"6,900",200,2.90%,47.60%,19_038,19,2,4,,
Guthrie,"5,900",140,2.40%,"6,100",200,3.30%,38.20%,19_039,19,2,4,,
Hamilton,"8,620",190,2.20%,"8,670",290,3.30%,51.80%,19_040,19,2,4,,
Hancock,"7,000",140,2.00%,"6,070",240,4.00%,97.70%,19_041,19,2,4,,
Hardin,"9,030",260,2.90%,"9,110",360,4.00%,37.20%,19_042,19,2,4,,
Harrison,"7,850",210,2.70%,"8,020",310,3.90%,44.50%,19_043,19,2,4,,
Henry,"10,910",290,2.70%,"10,300",500,4.90%,82.60%,19_044,19,2,4,,
Howard,"5,580",170,3.00%,"5,240",200,3.80%,25.30%,19_045,19,2,4,,
Humboldt,"5,410",120,2.20%,"5,200",170,3.30%,47.40%,19_046,19,2,4,,
Ida,"3,950",90,2.30%,"4,050",140,3.50%,51.70%,19_047,19,2,4,,
Iowa,"9,290",170,1.80%,"8,580",330,3.80%,110.20%,19_048,19,2,4,,
Jackson,"10,370",450,4.30%,"11,080",540,4.90%,12.30%,19_049,19,2,4,,
Jasper,"19,360",410,2.10%,"18,210","1,170",6.40%,203.40%,19_050,19,2,4,,
Jefferson,"9,440",260,2.80%,"8,350",360,4.30%,56.50%,19_051,19,2,4,,
Johnson,"69,400","1,400",2.00%,"76,800","2,100",2.70%,35.50%,19_052,19,2,4,,
Jones,"9,630",240,2.50%,"10,600",400,3.80%,51.40%,19_053,19,2,4,,
Keokuk,"5,020",200,4.00%,"5,630",240,4.30%,7.00%,19_054,19,2,4,,
Kossuth,"8,410",230,2.70%,"9,000",330,3.70%,34.10%,19_055,19,2,4,,
Lee,"18,710",870,4.60%,"17,390","1,020",5.90%,26.10%,19_056,19,2,4,,
Linn,"116,900","2,100",1.80%,"117,100","4,400",3.80%,109.20%,19_057,19,2,4,,
Louisa,"5,420",190,3.50%,"6,400",240,3.80%,7.00%,19_058,19,2,4,,
Lucas,"4,050",110,2.70%,"4,850",190,3.90%,44.20%,19_059,19,2,4,,
Lyon,"5,460",130,2.40%,"6,690",170,2.50%,6.70%,19_119,19,2,4,,
Madison,"7,330",260,3.50%,"8,500",400,4.70%,32.70%,19_121,19,2,4,,
Mahaska,"11,220",240,2.10%,"11,810",440,3.70%,74.20%,19_123,19,2,4,,
Marion,"19,020",400,2.10%,"17,910",660,3.70%,75.20%,19_125,19,2,4,,
Marshall,"20,220",500,2.50%,"20,560",850,4.10%,67.20%,19_127,19,2,4,,
Mills,"6,380",120,1.90%,"8,380",290,3.50%,84.00%,19_129,19,2,4,,
Mitchell,"5,380",140,2.60%,"5,570",190,3.40%,31.10%,19_131,19,2,4,,
