Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"10,060","9,303","9,245","8,584","7,624","7,777","7,161",23,1,1
Violent Crime Index,156,140,113,143,120,127,88,23,1,1
Murder/nonneg. mans.,0,0,0,0,0,0,0,23,1,1
Rape,18,24,19,21,20,22,8,23,1,1
Robbery,31,39,16,32,28,27,22,23,1,1
Aggravated assault,107,77,78,90,72,78,58,23,1,1
Property Crime Index,"2,892","2,836","2,698","2,483","2,192","1,985","2,031",23,1,1
Burglary,521,578,453,455,411,462,392,23,1,1
Larceny-theft,"2,132","2,029","2,059","1,847","1,662","1,391","1,523",23,1,1
Motor vehicle theft,197,192,143,152,94,97,86,23,1,1
Arson,42,37,43,29,25,35,30,23,1,1
Other assaults,"1,222","1,153","1,101","1,030",995,950,870,23,1,1
Forgery and counterfeiting,14,19,30,30,28,20,11,23,1,1
Fraud,29,43,27,46,17,32,21,23,1,1
Embezzlement,3,1,2,1,1,1,7,23,1,1
Stolen property,105,75,70,59,37,40,40,23,1,1
Vandalism,644,711,586,535,473,589,492,23,1,1
Weapons,74,46,37,47,46,53,60,23,1,1
Prostitution/<br>commercialized vice,1,3,0,4,5,3,1,23,1,1
Sex offenses (other),58,43,44,61,51,54,63,23,1,1
Drug abuse violations,850,765,812,803,627,629,574,23,1,1
Gambling,0,4,5,0,1,1,0,23,1,1
Offenses against family,10,9,9,6,11,3,5,23,1,1
Driving under influence,137,134,160,138,135,172,120,23,1,1
Liquor laws,900,812,"1,000",936,"1,023","1,247","1,111",23,1,1
Drunkenness,6,8,19,10,4,16,8,23,1,1
Disorderly conduct,240,212,204,169,167,179,170,23,1,1
Vagrancy,0,0,0,0,0,0,0,23,1,1
All other offenses,"2,205","1,917","2,028","1,854","1,487","1,461","1,328",23,1,1
Curfew and loitering,194,144,106,69,98,74,57,23,1,1
Runaways,320,228,194,160,106,141,104,23,1,1
Population Ages 10 to 17,"149,100","149,400","148,700","147,600","145,400","142,400","138,700",23,1,1
