Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"2,713"	77.5	40	1.1	DS	0.1	33	0.9	"1,424"	40.7	"1,182"	33.8	DS	0.1	30	0.9	12	0.3	"1,394"	22	3	7
Corporal punishment on females	787	22.5	7	0.2	0	0	6	0.2	512	14.6	256	7.3	0	0	6	0.2	0	0	"1,394"	22	3	7
Corporal punishment total	"3,500"	100	47	1.3	DS	0.1	39	1.1	"1,936"	55.3	"1,438"	41.1	DS	0.1	36	1	12	0.3	"1,394"	22	3	7
One or more in-school suspensions on males	"38,705"	61.9	206	0.3	260	0.4	"1,262"	2	"23,945"	38.3	"12,698"	20.3	8	0	326	0.5	567	0.9	"1,394"	22	3	7
One or more in-school suspensions on females	"23,791"	38.1	102	0.2	100	0.2	689	1.1	"16,818"	26.9	"5,895"	9.4	DS	0	185	0.3	218	0.3	"1,394"	22	3	7
One or more in-school suspensions total	"62,496"	100	308	0.5	360	0.6	"1,951"	3.1	"40,763"	65.2	"18,593"	29.8	10	0	511	0.8	785	1.3	"1,394"	22	3	7
Only one out-of-school suspension on males	"18,950"	62.2	150	0.5	110	0.4	588	1.9	"11,045"	36.2	"6,869"	22.5	8	0	180	0.6	258	0.8	"1,394"	22	3	7
Only one out-of-school suspension on females	"11,525"	37.8	75	0.2	29	0.1	242	0.8	"8,162"	26.8	"2,933"	9.6	DS	0	82	0.3	79	0.3	"1,394"	22	3	7
Only one out-of-school suspension total	"30,475"	100	225	0.7	139	0.5	830	2.7	"19,207"	63	"9,802"	32.2	10	0	262	0.9	337	1.1	"1,394"	22	3	7
More than one out-of-school suspension on males	"13,234"	67	63	0.3	41	0.2	277	1.4	"9,189"	46.5	"3,570"	18.1	DS	0	92	0.5	130	0.7	"1,394"	22	3	7
More than one out-of-school suspension on females	"6,527"	33	40	0.2	10	0.1	104	0.5	"5,223"	26.4	"1,118"	5.7	0	0	32	0.2	27	0.1	"1,394"	22	3	7
More than one out-of-school suspension total	"19,761"	100	103	0.5	51	0.3	381	1.9	"14,412"	72.9	"4,688"	23.7	DS	0	124	0.6	157	0.8	"1,394"	22	3	7
One or more out-of-school suspensions on males	"32,196"	64.1	213	0.4	152	0.3	863	1.7	"20,242"	40.3	"10,444"	20.8	9	0	273	0.5	389	0.8	"1,394"	22	3	7
One or more out-of-school suspensions on females	"18,044"	35.9	116	0.2	41	0.1	349	0.7	"13,378"	26.6	"4,044"	8	DS	0	114	0.2	105	0.2	"1,394"	22	3	7
One or more out-of-school suspensions total	"50,240"	100	329	0.7	193	0.4	"1,212"	2.4	"33,620"	66.9	"14,488"	28.8	11	0	387	0.8	494	1	"1,394"	22	3	7
Expulsions with educational services on males	"2,637"	70.9	15	0.4	8	0.2	49	1.3	"1,834"	49.3	720	19.4	0	0	11	0.3	12	0.3	"1,394"	22	3	7
Expulsions with educational services on females	"1,080"	29.1	10	0.3	DS	0.1	8	0.2	850	22.9	203	5.5	0	0	7	0.2	DS	0.1	"1,394"	22	3	7
Expulsions with educational services total	"3,717"	100	25	0.7	10	0.3	57	1.5	"2,684"	72.2	923	24.8	0	0	18	0.5	14	0.4	"1,394"	22	3	7
Expulsions without educational services on males	675	70	DS	0.2	DS	0.2	28	2.9	478	49.6	163	16.9	0	0	DS	0.2	15	1.6	"1,394"	22	3	7
Expulsions without educational services on females	289	30	0	0	0	0	5	0.5	222	23	60	6.2	0	0	DS	0.2	0	0	"1,394"	22	3	7
Expulsions without educational services total	964	100	DS	0.2	DS	0.2	33	3.4	700	72.6	223	23.1	0	0	4	0.4	15	1.6	"1,394"	22	3	7
Expulsions with or without educational services on males	"3,306"	70.8	17	0.4	10	0.2	75	1.6	"2,306"	49.4	884	18.9	0	0	14	0.3	26	0.6	"1,394"	22	3	7
Expulsions with or without educational services on females	"1,364"	29.2	10	0.2	DS	0	13	0.3	"1,068"	22.9	262	5.6	0	0	9	0.2	DS	0	"1,394"	22	3	7
Expulsions with or without educational services total	"4,670"	100	27	0.6	12	0.3	88	1.9	"3,374"	72.2	"1,146"	24.5	0	0	23	0.5	28	0.6	"1,394"	22	3	7
Expulsions under zero-tolerance policies on males	195	69.4	DS	0.7	0	0	7	2.5	108	38.4	76	27	0	0	DS	0.7	DS	0.7	"1,394"	22	3	7
Expulsions under zero-tolerance policies on females	86	30.6	0	0	0	0	0	0	45	16	41	14.6	0	0	0	0	0	0	"1,394"	22	3	7
Expulsions under zero-tolerance policies total	281	100	DS	0.7	0	0	7	2.5	153	54.4	117	41.6	0	0	DS	0.7	DS	0.7	"1,394"	22	3	7
Referral to law enforcement on males	"1,312"	64.3	14	0.7	12	0.6	59	2.9	829	40.6	387	19	DS	0.1	9	0.4	34	1.7	"1,394"	22	3	7
Referral to law enforcement on females	728	35.7	10	0.5	DS	0.1	27	1.3	534	26.2	148	7.3	0	0	7	0.3	11	0.5	"1,394"	22	3	7
Referral to law enforcement total	"2,040"	100	24	1.2	14	0.7	86	4.2	"1,363"	66.8	535	26.2	DS	0.1	16	0.8	45	2.2	"1,394"	22	3	7
School-related arrests on males	723	64.3	DS	0.2	8	0.7	53	4.7	436	38.8	215	19.1	0	0	9	0.8	4	0.4	"1,394"	22	3	7
School-related arrests on females	402	35.7	6	0.5	DS	0.2	27	2.4	269	23.9	93	8.3	0	0	5	0.4	DS	0.2	"1,394"	22	3	7
School-related arrests total	"1,125"	100	8	0.7	10	0.9	80	7.1	705	62.7	308	27.4	0	0	14	1.2	6	0.5	"1,394"	22	3	7
