Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Native Alaska Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Native Alaska Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	55	93.2	DS	3.4	53	89.8	DS	3.5	0	0	4	7	4	7	41	71.9	0	0	DS	3.5	4	6.8	"1,389"	20	2	4
Corporal punishment on females	4	6.8	0	0	4	6.8	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	"1,389"	20	2	4
Corporal punishment total	59	100	DS	3.4	57	96.6	DS	3.5	0	0	4	7	4	7	45	78.9	0	0	DS	3.5	4	6.8	"1,389"	20	2	4
One or more in-school suspensions on males	"15,219"	71.4	76	0.4	"15,143"	71.1	269	1.3	165	0.8	"3,085"	14.5	"2,109"	9.9	"8,853"	41.7	24	0.1	638	3	"1,567"	7.4	"1,389"	20	2	4
One or more in-school suspensions on females	"6,083"	28.6	12	0.1	"6,071"	28.5	124	0.6	46	0.2	"1,459"	6.9	"1,023"	4.8	"3,101"	14.6	10	0	308	1.5	642	3	"1,389"	20	2	4
One or more in-school suspensions total	"21,302"	100	88	0.4	"21,214"	99.6	393	1.9	211	1	"4,544"	21.4	"3,132"	14.8	"11,954"	56.3	34	0.2	946	4.5	"2,209"	10.4	"1,389"	20	2	4
Only one out-of-school suspension on males	"8,248"	72	32	0.3	"8,216"	71.8	146	1.3	97	0.9	"1,602"	14	"1,509"	13.2	"4,443"	38.9	10	0.1	409	3.6	809	7.1	"1,389"	20	2	4
Only one out-of-school suspension on females	"3,202"	28	7	0.1	"3,195"	27.9	46	0.4	26	0.2	711	6.2	757	6.6	"1,477"	12.9	4	0	174	1.5	311	2.7	"1,389"	20	2	4
Only one out-of-school suspension total	"11,450"	100	39	0.3	"11,411"	99.7	192	1.7	123	1.1	"2,313"	20.3	"2,266"	19.9	"5,920"	51.9	14	0.1	583	5.1	"1,120"	9.8	"1,389"	20	2	4
More than one out-of-school suspension on males	"5,829"	73.9	20	0.3	"5,809"	73.6	94	1.2	65	0.8	"1,345"	17.1	"1,563"	19.9	"2,456"	31.2	4	0.1	282	3.6	748	9.5	"1,389"	20	2	4
More than one out-of-school suspension on females	"2,059"	26.1	4	0.1	"2,055"	26.1	36	0.5	9	0.1	465	5.9	757	9.6	693	8.8	0	0	95	1.2	229	2.9	"1,389"	20	2	4
