Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	104	86	5	4.1	99	81.8	0	0	0	0	4	3.5	4	3.5	87	76.3	0	0	4	3.5	DS	1.7	"1,834"	22	3	7
Corporal punishment on females	17	14	DS	1.7	15	12.4	0	0	0	0	4	3.5	0	0	9	7.9	0	0	DS	1.8	DS	1.7	"1,834"	22	3	7
Corporal punishment total	121	100	7	5.8	114	94.2	0	0	0	0	8	7	4	3.5	96	84.2	0	0	6	5.3	4	3.3	"1,834"	22	3	7
One or more in-school suspensions on males	"21,363"	67.6	670	2.1	"20,693"	65.5	83	0.3	368	1.2	"5,053"	16.5	"3,287"	10.7	"11,024"	35.9	24	0.1	854	2.8	"1,557"	4.9	"1,834"	22	3	7
One or more in-school suspensions on females	"10,234"	32.4	219	0.7	"10,015"	31.7	33	0.1	136	0.4	"2,891"	9.4	"1,687"	5.5	"4,706"	15.3	11	0	551	1.8	735	2.3	"1,834"	22	3	7
One or more in-school suspensions total	"31,597"	100	889	2.8	"30,708"	97.2	116	0.4	504	1.6	"7,944"	25.9	"4,974"	16.2	"15,730"	51.2	35	0.1	"1,405"	4.6	"2,292"	7.3	"1,834"	22	3	7
Only one out-of-school suspension on males	"18,347"	68	446	1.7	"17,901"	66.4	71	0.3	396	1.5	"4,689"	17.8	"3,260"	12.4	"8,647"	32.8	17	0.1	821	3.1	"1,800"	6.7	"1,834"	22	3	7
Only one out-of-school suspension on females	"8,617"	32	135	0.5	"8,482"	31.5	32	0.1	156	0.6	"2,594"	9.8	"1,750"	6.6	"3,533"	13.4	7	0	410	1.6	752	2.8	"1,834"	22	3	7
Only one out-of-school suspension total	"26,964"	100	581	2.2	"26,383"	97.8	103	0.4	552	2.1	"7,283"	27.6	"5,010"	19	"12,180"	46.2	24	0.1	"1,231"	4.7	"2,552"	9.5	"1,834"	22	3	7
More than one out-of-school suspension on males	"14,872"	72.1	402	1.9	"14,470"	70.1	64	0.3	242	1.2	"4,198"	20.8	"2,587"	12.8	"6,727"	33.4	14	0.1	638	3.2	"1,308"	6.3	"1,834"	22	3	7
