Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"2,249"	41.9	12	0.2	258	4.8	138	2.6	328	6.1	"1,500"	27.9	DS	0	11	0.2	13	0.2	22	0.4	31	10	3	5
At least one AP course females	"3,124"	58.1	11	0.2	259	4.8	243	4.5	562	10.5	"2,022"	37.6	DS	0	25	0.5	12	0.2	19	0.4	31	10	3	5
At least one AP course total	"5,373"	100	23	0.4	517	9.6	381	7.1	890	16.6	"3,522"	65.5	4	0.1	36	0.7	25	0.5	41	0.8	31	10	3	5
AP mathematics males	824	50.7	7	0.4	153	9.4	28	1.7	91	5.6	539	33.2	DS	0.1	4	0.2	DS	0.1	6	0.4	31	10	3	5
AP mathematics females	800	49.3	4	0.2	104	6.4	54	3.3	106	6.5	530	32.6	0	0	DS	0.1	0	0	DS	0.1	31	10	3	5
AP mathematics total	"1,624"	100	11	0.7	257	15.8	82	5	197	12.1	"1,069"	65.8	DS	0.1	6	0.4	DS	0.1	8	0.5	31	10	3	5
AP science males	681	45.5	4	0.3	130	8.7	33	2.2	76	5.1	434	29	DS	0.1	DS	0.1	5	0.3	10	0.7	31	10	3	5
AP science females	816	54.5	DS	0.1	119	7.9	75	5	122	8.1	488	32.6	0	0	10	0.7	DS	0.1	4	0.3	31	10	3	5
AP science total	"1,497"	100	6	0.4	249	16.6	108	7.2	198	13.2	922	61.6	DS	0.1	12	0.8	7	0.5	14	0.9	31	10	3	5
AP foreign language males	99	35.4	0	0	12	4.3	25	8.9	14	5	48	17.1	0	0	0	0	0	0	4	1.4	31	10	3	5
AP foreign language females	181	64.6	DS	0.7	31	11.1	41	14.6	23	8.2	84	30	0	0	0	0	0	0	12	4.3	31	10	3	5
AP foreign language total	280	100	DS	0.7	43	15.4	66	23.6	37	13.2	132	47.1	0	0	0	0	0	0	16	5.7	31	10	3	5
Other AP subjects males	"1,618"	39.8	4	0.1	160	3.9	93	2.3	259	6.4	"1,095"	27	0	0	7	0.2	7	0.2	10	0.2	31	10	3	5
Other AP subjects females	"2,444"	60.2	6	0.1	173	4.3	157	3.9	453	11.2	"1,633"	40.2	DS	0	20	0.5	9	0.2	4	0.1	31	10	3	5
Other AP subjects total	"4,062"	100	10	0.2	333	8.2	250	6.2	712	17.5	"2,728"	67.2	DS	0	27	0.7	16	0.4	14	0.3	31	10	3	5
