State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"164,840"	"2,360"	1.4	"7,921"	4.8	"49,272"	29.9	"37,842"	23	"63,321"	38.4	653	0.4	"3,471"	2.1	"41,852"	25.4	"2,396"	1.5	"17,606"	10.7	"24,709"
Alabama		1	3	6	"1,741"	8	0.5	8	0.5	69	4	"1,083"	62.2	563	32.3	DS	0.1	8	0.5	281	16.1	4	0.2	40	2.3	431
Alaska		2	4	9	819	198	24.2	68	8.3	80	9.8	47	5.7	322	39.3	31	3.8	73	8.9	319	38.9	7	0.9	114	13.9	274
Arizona		4	4	8	"7,607"	456	6	110	1.4	"3,700"	48.6	554	7.3	"2,483"	32.6	17	0.2	287	3.8	"1,267"	16.7	69	0.9	318	4.2	519
Arkansas		5	3	7	"2,132"	8	0.4	62	2.9	185	8.7	"1,291"	60.6	569	26.7	4	0.2	13	0.6	164	7.7	43	2	120	5.6	295
California		6	4	9	"22,719"	166	0.7	"3,993"	17.6	"12,391"	54.5	"2,303"	10.1	"3,326"	14.6	224	1	316	1.4	"5,348"	23.5	250	1.1	"7,522"	33.1	"2,478"
Colorado		8	4	8	"6,861"	116	1.7	146	2.1	"3,033"	44.2	454	6.6	"2,914"	42.5	18	0.3	180	2.6	"1,701"	24.8	103	1.5	818	11.9	452
Connecticut		9	1	1	"1,072"	4	0.4	31	2.9	278	25.9	202	18.8	531	49.5	DS	0.2	24	2.2	438	40.9	27	2.5	78	7.3	246
Delaware		10	3	5	292	DS	0.7	6	2.1	25	8.6	122	41.8	133	45.5	0	0	4	1.4	149	51	DS	0.7	4	1.4	59
District of Columbia		11	3	5	79	0	0	0	0	9	11.4	70	88.6	0	0	0	0	0	0	25	31.6	0	0	4	5.1	39
