State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				570	12	2.1	DS	0.4	58	10.2	225	39.5	263	46.1	0	0	10	1.8	13	2.3	"95,635"
Alabama		1	3	6	16	0	0	0	0	DS	12.5	7	43.8	7	43.8	0	0	0	0	0	0	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	"1,920"
Arkansas		5	3	7	21	0	0	0	0	0	0	5	23.8	14	66.7	0	0	DS	9.5	DS	9.5	"1,097"
California		6	4	9	34	0	0	0	0	20	58.8	8	23.5	6	17.6	0	0	0	0	6	17.6	"9,866"
Colorado		8	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	10	0	0	0	0	DS	20	DS	20	6	60	0	0	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	10	0	0	0	0	DS	20	DS	20	6	60	0	0	0	0	0	0	"3,886"
Georgia		13	3	5	19	0	0	0	0	DS	10.5	11	57.9	4	21.1	0	0	DS	10.5	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	703
Illinois		17	2	3	62	0	0	0	0	16	25.8	33	53.2	13	21	0	0	0	0	0	0	"4,221"
Indiana		18	2	3	17	0	0	0	0	0	0	DS	11.8	15	88.2	0	0	0	0	0	0	"1,875"
Iowa		19	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	"1,458"
Kansas		20	2	4	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,417"
Louisiana		22	3	7	13	0	0	0	0	0	0	11	84.6	DS	15.4	0	0	0	0	0	0	"1,394"
Maine		23	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	595
Maryland		24	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	6	0	0	0	0	0	0	0	0	6	100	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	40	DS	5	0	0	DS	5	DS	5	32	80	0	0	DS	5	0	0	"3,626"
Minnesota		27	2	4	89	6	6.7	DS	2.2	0	0	65	73	16	18	0	0	0	0	0	0	"2,077"
Mississippi		28	3	6	14	0	0	0	0	0	0	10	71.4	4	28.6	0	0	0	0	0	0	973
Missouri		29	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	"2,312"
Montana		30	4	8	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	781
Nebraska		31	2	4	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	478
New Jersey		34	1	2	17	0	0	0	0	DS	11.8	10	58.8	5	29.4	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	6	0	0	0	0	DS	33.3	DS	33.3	0	0	0	0	DS	33.3	DS	33.3	853
New York		36	1	2	11	0	0	DS	18.2	0	0	7	63.6	DS	18.2	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	"2,535"
North Dakota		38	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	468
Ohio		39	2	3	28	0	0	0	0	0	0	6	21.4	22	78.6	0	0	0	0	0	0	"3,702"
Oklahoma		40	3	7	23	DS	8.7	0	0	0	0	10	43.5	11	47.8	0	0	0	0	0	0	"1,774"
Oregon		41	9	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	"1,312"
Pennsylvania		42	1	2	12	0	0	DS	16.7	0	0	6	50	4	33.3	0	0	0	0	DS	16.7	"3,220"
Rhode Island		44	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	291
South Carolina		45	3	5	8	0	0	0	0	0	0	6	75	DS	25	0	0	0	0	0	0	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	21	0	0	0	0	DS	9.5	DS	9.5	17	81	0	0	0	0	DS	9.5	"1,802"
Texas		48	3	7	24	DS	8.3	0	0	8	33.3	10	41.7	DS	8.3	0	0	DS	8.3	0	0	"8,472"
Utah		49	4	8	9	0	0	0	0	DS	22.2	DS	22.2	5	55.6	0	0	0	0	0	0	981
Vermont		50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295
Virginia		51	3	5	6	0	0	0	0	0	0	DS	33.3	4	66.7	0	0	0	0	0	0	"1,984"
Washington		53	4	9	16	0	0	0	0	DS	12.5	0	0	12	75	0	0	DS	12.5	DS	12.5	"2,256"
West Virginia		54	3	5	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	733
Wisconsin		55	2	3	24	DS	8.3	0	0	0	0	DS	8.3	20	83.3	0	0	0	0	0	0	"2,242"
Wyoming		56	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
