Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,56,4,8
Corporal punishment for females,DS,100,0,0,DS,100,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,349,56,4,8
Corporal punishment total,DS,100,0,0,DS,100,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,349,56,4,8
One or more in-school suspensions for males,866,81.4,7,0.7,859,80.7,70,6.6,4,0.4,129,12.2,31,2.9,600,56.9,DS,0.2,23,2.2,30,2.8,349,56,4,8
One or more in-school suspensions for females,198,18.6,DS,0.2,196,18.4,16,1.5,DS,0.2,31,2.9,8,0.8,131,12.4,0,0,8,0.8,9,0.8,349,56,4,8
One or more in-school suspensions total,"1,064",100,9,0.8,"1,055",99.2,86,8.2,6,0.6,160,15.2,39,3.7,731,69.3,DS,0.2,31,2.9,39,3.7,349,56,4,8
Only one out-of-school suspension for males,387,78.8,0,0,387,78.8,28,5.7,DS,0.4,43,8.8,14,2.9,289,58.9,DS,0.4,9,1.8,10,2,349,56,4,8
Only one out-of-school suspension for females,104,21.2,0,0,104,21.2,5,1,0,0,17,3.5,DS,0.4,78,15.9,0,0,DS,0.4,4,0.8,349,56,4,8
Only one out-of-school suspension total,491,100,0,0,491,100,33,6.7,DS,0.4,60,12.2,16,3.3,367,74.7,DS,0.4,11,2.2,14,2.9,349,56,4,8
More than one out-of-school suspension for males,250,83.6,0,0,250,83.6,11,3.7,DS,0.7,46,15.4,7,2.3,176,58.9,0,0,8,2.7,7,2.3,349,56,4,8
More than one out-of-school suspension for females,49,16.4,0,0,49,16.4,4,1.3,0,0,11,3.7,4,1.3,28,9.4,0,0,DS,0.7,0,0,349,56,4,8
More than one out-of-school suspension total,299,100,0,0,299,100,15,5,DS,0.7,57,19.1,11,3.7,204,68.2,0,0,10,3.3,7,2.3,349,56,4,8
One or more out-of-school suspensions for males,642,80.8,0,0,642,80.8,39,4.9,DS,0.3,90,11.3,21,2.6,470,59.1,DS,0.3,18,2.3,18,2.3,349,56,4,8
One or more out-of-school suspensions for females,153,19.2,0,0,153,19.2,9,1.1,0,0,28,3.5,7,0.9,107,13.5,0,0,DS,0.3,4,0.5,349,56,4,8
One or more out-of-school suspensions total,795,100,0,0,795,100,48,6,DS,0.3,118,14.8,28,3.5,577,72.6,DS,0.3,20,2.5,22,2.8,349,56,4,8
Expulsions with educational services for males,41,83.7,0,0,41,83.7,DS,4.1,0,0,10,20.4,DS,4.1,27,55.1,0,0,0,0,0,0,349,56,4,8
Expulsions with educational services for females,8,16.3,0,0,8,16.3,DS,4.1,0,0,DS,4.1,0,0,4,8.2,0,0,0,0,0,0,349,56,4,8
Expulsions with educational services total,49,100,0,0,49,100,4,8.2,0,0,12,24.5,DS,4.1,31,63.3,0,0,0,0,0,0,349,56,4,8
Expulsions without educational services for males,6,100,0,0,6,100,0,0,DS,33.3,DS,33.3,0,0,DS,33.3,0,0,0,0,DS,33.3,349,56,4,8
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,56,4,8
Expulsions without educational services total,6,100,0,0,6,100,0,0,DS,33.3,DS,33.3,0,0,DS,33.3,0,0,0,0,DS,33.3,349,56,4,8
Expulsions with or without educational services for males,45,88.2,0,0,45,88.2,DS,3.9,DS,3.9,11,21.6,DS,3.9,28,54.9,0,0,0,0,DS,3.9,349,56,4,8
Expulsions with or without educational services for females,6,11.8,0,0,6,11.8,DS,3.9,0,0,DS,3.9,0,0,DS,3.9,0,0,0,0,0,0,349,56,4,8
Expulsions with or without educational services total,51,100,0,0,51,100,4,7.8,DS,3.9,13,25.5,DS,3.9,30,58.8,0,0,0,0,DS,3.9,349,56,4,8
Expulsions under zero-tolerance policies for males,7,100,0,0,7,100,0,0,0,0,DS,28.6,0,0,5,71.4,0,0,0,0,0,0,349,56,4,8
Expulsions under zero-tolerance policies for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,56,4,8
Expulsions under zero-tolerance policies total,7,100,0,0,7,100,0,0,0,0,DS,28.6,0,0,5,71.4,0,0,0,0,0,0,349,56,4,8
Referral to law enforcement for males,196,84.1,DS,0.9,194,83.3,10,4.3,DS,0.9,19,8.2,12,5.2,151,65.4,0,0,0,0,DS,0.9,349,56,4,8
Referral to law enforcement for females,37,15.9,0,0,37,15.9,0,0,0,0,7,3,DS,0.9,28,12.1,0,0,0,0,DS,0.9,349,56,4,8
Referral to law enforcement total,233,100,DS,0.9,231,99.1,10,4.3,DS,0.9,26,11.3,14,6.1,179,77.5,0,0,0,0,4,1.7,349,56,4,8
School-related arrests for males,15,88.2,0,0,15,88.2,0,0,DS,11.8,5,29.4,0,0,8,47.1,0,0,0,0,DS,11.8,349,56,4,8
School-related arrests for females,DS,11.8,0,0,DS,11.8,0,0,0,0,DS,11.8,0,0,0,0,0,0,0,0,0,0,349,56,4,8
School-related arrests total,17,100,0,0,17,100,0,0,DS,11.8,7,41.2,0,0,8,47.1,0,0,0,0,DS,11.8,349,56,4,8
