Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	102	76.7	0	0	102	76.7	DS	1.5	4	3	4	3	18	13.5	74	55.6	0	0	0	0	18	13.5	595	23	1	1
Corporal punishment on females	31	23.3	0	0	31	23.3	0	0	DS	1.5	0	0	6	4.5	21	15.8	0	0	DS	1.5	6	4.5	595	23	1	1
Corporal punishment total	133	100	0	0	133	100	DS	1.5	6	4.5	4	3	24	18	95	71.4	0	0	DS	1.5	24	18	595	23	1	1
One or more in-school suspensions on males	"3,856"	71.8	83	1.5	"3,773"	70.2	38	0.7	19	0.4	58	1.1	249	4.7	"3,364"	63.9	DS	0	43	0.8	149	2.8	595	23	1	1
One or more in-school suspensions on females	"1,518"	28.2	23	0.4	"1,495"	27.8	24	0.5	5	0.1	30	0.6	77	1.5	"1,336"	25.4	0	0	23	0.4	55	1	595	23	1	1
One or more in-school suspensions total	"5,374"	100	106	2	"5,268"	98	62	1.2	24	0.5	88	1.7	326	6.2	"4,700"	89.2	DS	0	66	1.3	204	3.8	595	23	1	1
Only one out-of-school suspension on males	"3,101"	72.5	55	1.3	"3,046"	71.2	25	0.6	21	0.5	56	1.3	192	4.6	"2,718"	64.4	4	0.1	30	0.7	118	2.8	595	23	1	1
Only one out-of-school suspension on females	"1,179"	27.5	7	0.2	"1,172"	27.4	11	0.3	12	0.3	25	0.6	71	1.7	"1,035"	24.5	DS	0	16	0.4	51	1.2	595	23	1	1
Only one out-of-school suspension total	"4,280"	100	62	1.4	"4,218"	98.6	36	0.9	33	0.8	81	1.9	263	6.2	"3,753"	89	6	0.1	46	1.1	169	3.9	595	23	1	1
More than one out-of-school suspension on males	"2,217"	76.6	32	1.1	"2,185"	75.5	19	0.7	8	0.3	40	1.4	146	5.1	"1,950"	68.3	0	0	22	0.8	84	2.9	595	23	1	1
More than one out-of-school suspension on females	678	23.4	10	0.3	668	23.1	6	0.2	DS	0.1	16	0.6	35	1.2	599	21	0	0	10	0.4	22	0.8	595	23	1	1
More than one out-of-school suspension total	"2,895"	100	42	1.5	"2,853"	98.5	25	0.9	10	0.4	56	2	181	6.3	"2,549"	89.3	0	0	32	1.1	106	3.7	595	23	1	1
