Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	4	100	0	0	0	0	0	0	0	0	4	100	0	0	0	0	0	0	"1,312"	41	4	9
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,312"	41	4	9
Corporal punishment total	4	100	0	0	0	0	0	0	0	0	4	100	0	0	0	0	0	0	"1,312"	41	4	9
One or more in-school suspensions on males	"13,513"	69.2	314	1.6	194	1	"3,492"	17.9	457	2.3	"8,305"	42.5	108	0.6	643	3.3	"1,073"	5.5	"1,312"	41	4	9
One or more in-school suspensions on females	"6,027"	30.8	198	1	55	0.3	"1,653"	8.5	240	1.2	"3,538"	18.1	57	0.3	286	1.5	349	1.8	"1,312"	41	4	9
One or more in-school suspensions total	"19,540"	100	512	2.6	249	1.3	"5,145"	26.3	697	3.6	"11,843"	60.6	165	0.8	929	4.8	"1,422"	7.3	"1,312"	41	4	9
Only one out-of-school suspension on males	"10,123"	69.4	255	1.7	177	1.2	"2,367"	16.2	478	3.3	"6,258"	42.9	84	0.6	504	3.5	767	5.3	"1,312"	41	4	9
Only one out-of-school suspension on females	"4,460"	30.6	149	1	55	0.4	"1,139"	7.8	268	1.8	"2,587"	17.7	38	0.3	224	1.5	254	1.7	"1,312"	41	4	9
Only one out-of-school suspension total	"14,583"	100	404	2.8	232	1.6	"3,506"	24	746	5.1	"8,845"	60.7	122	0.8	728	5	"1,021"	7	"1,312"	41	4	9
More than one out-of-school suspension on males	"5,483"	75.9	146	2	73	1	"1,388"	19.2	332	4.6	"3,197"	44.3	35	0.5	312	4.3	473	6.6	"1,312"	41	4	9
More than one out-of-school suspension on females	"1,738"	24.1	70	1	21	0.3	456	6.3	130	1.8	962	13.3	11	0.2	88	1.2	128	1.8	"1,312"	41	4	9
More than one out-of-school suspension total	"7,221"	100	216	3	94	1.3	"1,844"	25.5	462	6.4	"4,159"	57.6	46	0.6	400	5.5	601	8.3	"1,312"	41	4	9
One or more out-of-school suspensions on males	"15,594"	71.6	402	1.8	250	1.1	"3,753"	17.2	810	3.7	"9,448"	43.4	118	0.5	813	3.7	"1,243"	5.7	"1,312"	41	4	9
One or more out-of-school suspensions on females	"6,194"	28.4	217	1	76	0.3	"1,591"	7.3	395	1.8	"3,552"	16.3	50	0.2	313	1.4	382	1.8	"1,312"	41	4	9
One or more out-of-school suspensions total	"21,788"	100	619	2.8	326	1.5	"5,344"	24.5	"1,205"	5.5	"13,000"	59.7	168	0.8	"1,126"	5.2	"1,625"	7.5	"1,312"	41	4	9
Expulsions with educational services on males	"1,009"	74.1	36	2.6	6	0.4	267	19.6	41	3	608	44.6	7	0.5	44	3.2	66	4.8	"1,312"	41	4	9
