Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Hawaiian Native or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Corporal punishment total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
One or more in-school suspensions on males	"2,327"	75.4	235	7.6	"2,092"	67.8	4	0.1	6	0.2	170	6.1	"1,166"	41.9	704	25.3	0	0	42	1.5	61	2	232	10	3	5
One or more in-school suspensions on females	759	24.6	69	2.2	690	22.4	5	0.2	DS	0.1	51	1.8	432	15.5	191	6.9	0	0	9	0.3	24	0.8	232	10	3	5
One or more in-school suspensions total	"3,086"	100	304	9.9	"2,782"	90.1	9	0.3	8	0.3	221	7.9	"1,598"	57.4	895	32.2	0	0	51	1.8	85	2.8	232	10	3	5
Only one out-of-school suspension on males	"1,241"	74.5	95	5.7	"1,146"	68.8	4	0.3	5	0.3	114	7.4	608	39.7	393	25.6	DS	0.1	20	1.3	33	2	232	10	3	5
Only one out-of-school suspension on females	424	25.5	37	2.2	387	23.2	0	0	DS	0.1	49	3.2	228	14.9	106	6.9	0	0	DS	0.1	16	1	232	10	3	5
Only one out-of-school suspension total	"1,665"	100	132	7.9	"1,533"	92.1	4	0.3	7	0.5	163	10.6	836	54.5	499	32.6	DS	0.1	22	1.4	49	2.9	232	10	3	5
More than one out-of-school suspension on males	"1,504"	78.1	102	5.3	"1,402"	72.8	DS	0.1	5	0.3	131	7.3	898	50	350	19.5	DS	0.1	14	0.8	61	3.2	232	10	3	5
More than one out-of-school suspension on females	422	21.9	27	1.4	395	20.5	DS	0.1	DS	0.1	48	2.7	270	15	71	4	0	0	DS	0.1	11	0.6	232	10	3	5
More than one out-of-school suspension total	"1,926"	100	129	6.7	"1,797"	93.3	4	0.2	7	0.4	179	10	"1,168"	65	421	23.4	DS	0.1	16	0.9	72	3.7	232	10	3	5
One or more out-of-school suspensions on males	"2,748"	76.5	201	5.6	"2,547"	70.9	7	0.2	10	0.3	247	7.4	"1,504"	45.2	742	22.3	DS	0.1	35	1.1	94	2.6	232	10	3	5
One or more out-of-school suspensions on females	842	23.5	64	1.8	778	21.7	DS	0.1	DS	0.1	96	2.9	495	14.9	179	5.4	0	0	4	0.1	27	0.8	232	10	3	5
One or more out-of-school suspensions total	"3,590"	100	265	7.4	"3,325"	92.6	9	0.3	12	0.4	343	10.3	"1,999"	60.1	921	27.7	DS	0.1	39	1.2	121	3.4	232	10	3	5
Expulsions with educational services on males	37	84.1	DS	4.5	35	79.5	DS	4.8	0	0	DS	4.8	15	35.7	16	38.1	0	0	0	0	0	0	232	10	3	5
Expulsions with educational services on females	7	15.9	0	0	7	15.9	DS	4.8	0	0	0	0	5	11.9	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions with educational services total	44	100	DS	4.5	42	95.5	4	9.5	0	0	DS	4.8	20	47.6	16	38.1	0	0	0	0	0	0	232	10	3	5
Expulsions without educational services on males	4	100	DS	50	DS	50	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	232	10	3	5
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions without educational services total	4	100	DS	50	DS	50	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	232	10	3	5
Expulsions with or without educational services on males	39	84.8	DS	4.3	37	80.4	DS	4.5	0	0	DS	4.5	15	34.1	18	40.9	0	0	0	0	0	0	232	10	3	5
Expulsions with or without educational services on females	7	15.2	0	0	7	15.2	DS	4.5	0	0	0	0	5	11.4	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions with or without educational services total	46	100	DS	4.3	44	95.7	4	9.1	0	0	DS	4.5	20	45.5	18	40.9	0	0	0	0	0	0	232	10	3	5
Expulsions under zero-tolerance policies on males	DS	100	0	0	DS	100	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions under zero-tolerance policies on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions under zero-tolerance policies total	DS	100	0	0	DS	100	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	232	10	3	5
Referral to law enforcement on males	431	83.7	32	6.2	399	77.5	DS	0.4	DS	0.4	35	7.3	217	45.5	141	29.6	0	0	DS	0.4	17	3.3	232	10	3	5
Referral to law enforcement on females	84	16.3	6	1.2	78	15.1	DS	0.4	DS	0.4	4	0.8	51	10.7	19	4	0	0	0	0	DS	0.4	232	10	3	5
Referral to law enforcement total	515	100	38	7.4	477	92.6	4	0.8	4	0.8	39	8.2	268	56.2	160	33.5	0	0	DS	0.4	19	3.7	232	10	3	5
School-related arrests on males	7	63.6	0	0	7	63.6	0	0	0	0	0	0	5	45.5	DS	18.2	0	0	0	0	0	0	232	10	3	5
School-related arrests on females	4	36.4	0	0	4	36.4	0	0	0	0	0	0	DS	18.2	DS	18.2	0	0	0	0	0	0	232	10	3	5
School-related arrests total	11	100	0	0	11	100	0	0	0	0	0	0	7	63.6	4	36.4	0	0	0	0	0	0	232	10	3	5
