State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians 	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of White	Percent of White	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"31,193"	353	1.1	472	1.5	"6,765"	21.7	"11,271"	36.1	"11,617"	37.2	102	0.3	613	2	"5,618"	18	"1,023"	3.3	"2,123"	6.8	"29,778"
Alabama		1	3	6	807	7	0.9	DS	0.2	22	2.7	340	42.1	430	53.3	0	0	6	0.7	67	8.3	4	0.5	8	1	509
Alaska		2	4	9	28	24	85.7	DS	7.1	0	0	0	0	DS	7.1	0	0	0	0	4	14.3	0	0	17	60.7	288
Arizona		4	4	8	485	39	8	4	0.8	167	34.4	30	6.2	232	47.8	0	0	13	2.7	86	17.7	10	2.1	14	2.9	773
Arkansas		5	3	7	"1,192"	DS	0.2	22	1.8	89	7.5	785	65.9	284	23.8	DS	0.2	8	0.7	163	13.7	33	2.8	64	5.4	309
California		6	4	9	487	9	1.8	24	4.9	268	55	60	12.3	112	23	5	1	9	1.8	81	16.6	9	1.8	115	23.6	"2,966"
Colorado		8	4	8	132	DS	1.5	DS	1.5	57	43.2	8	6.1	61	46.2	0	0	DS	1.5	20	15.2	DS	1.5	18	13.6	552
Connecticut		9	1	1	102	0	0	DS	2	20	19.6	43	42.2	37	36.3	0	0	0	0	23	22.5	6	5.9	4	3.9	317
Delaware		10	3	5	83	0	0	DS	2.4	6	7.2	41	49.4	34	41	0	0	0	0	22	26.5	6	7.2	DS	2.4	79
District of Columbia		11	3	5	38	0	0	0	0	6	15.8	32	84.2	0	0	0	0	0	0	13	34.2	0	0	6	15.8	73
Florida		12	3	5	"3,706"	10	0.3	18	0.5	980	26.4	"1,149"	31	"1,433"	38.7	DS	0.1	114	3.1	641	17.3	206	5.6	234	6.3	"1,376"
Georgia		13	3	5	"4,493"	8	0.2	70	1.6	559	12.4	"2,402"	53.5	"1,341"	29.8	DS	0	111	2.5	694	15.4	41	0.9	229	5.1	648
Hawaii		15	4	9	101	0	0	22	21.8	7	6.9	DS	2	10	9.9	53	52.5	7	6.9	18	17.8	DS	2	16	15.8	81
Idaho		16	4	8	89	4	4.5	DS	2.2	16	18	DS	2.2	63	70.8	0	0	DS	2.2	5	5.6	4	4.5	4	4.5	220
Illinois		17	2	3	597	DS	0.3	DS	0.3	116	19.4	182	30.5	273	45.7	0	0	22	3.7	63	10.6	7	1.2	37	6.2	"1,585"
Indiana		18	2	3	299	0	0	4	1.3	17	5.7	84	28.1	178	59.5	0	0	16	5.4	88	29.4	6	2	8	2.7	506
Iowa		19	2	4	71	DS	2.8	DS	2.8	6	8.5	5	7	56	78.9	0	0	0	0	17	23.9	0	0	DS	2.8	397
Kansas		20	2	4	36	DS	5.6	0	0	8	22.2	DS	5.6	22	61.1	0	0	DS	5.6	9	25	0	0	4	11.1	424
Kentucky		21	3	6	250	DS	0.8	0	0	8	3.2	30	12	206	82.4	0	0	4	1.6	41	16.4	DS	0.8	DS	0.8	443
Louisiana		22	3	7	"3,391"	34	1	11	0.3	80	2.4	"2,058"	60.7	"1,190"	35.1	DS	0.1	16	0.5	684	20.2	273	8.1	53	1.6	579
Maine		23	1	1	36	DS	5.6	0	0	0	0	DS	5.6	30	83.3	0	0	DS	5.6	12	33.3	DS	5.6	0	0	206
Maryland		24	3	5	439	DS	0.5	7	1.6	38	8.7	266	60.6	107	24.4	DS	0.5	17	3.9	98	22.3	21	4.8	9	2.1	384
Massachusetts		25	1	1	352	DS	0.6	11	3.1	89	25.3	75	21.3	154	43.8	0	0	21	6	106	30.1	13	3.7	37	10.5	486
Michigan		26	2	3	654	15	2.3	5	0.8	39	6	233	35.6	350	53.5	0	0	12	1.8	142	21.7	DS	0.3	15	2.3	"1,059"
Minnesota		27	2	4	136	DS	1.5	DS	1.5	7	5.1	20	14.7	99	72.8	DS	1.5	4	2.9	39	28.7	DS	1.5	DS	1.5	714
Mississippi		28	3	6	763	DS	0.3	4	0.5	17	2.2	401	52.6	339	44.4	0	0	0	0	26	3.4	DS	0.3	DS	0.3	321
Missouri		29	2	4	258	DS	0.8	DS	0.8	31	12	117	45.3	104	40.3	0	0	DS	0.8	26	10.1	DS	0.8	13	5	764
Montana		30	4	8	23	12	52.2	0	0	0	0	0	0	9	39.1	0	0	DS	8.7	5	21.7	0	0	6	26.1	317
Nebraska		31	2	4	41	5	12.2	0	0	9	22	DS	4.9	25	61	0	0	0	0	10	24.4	0	0	0	0	336
Nevada		32	4	8	269	4	1.5	DS	0.7	137	50.9	50	18.6	63	23.4	5	1.9	8	3	30	11.2	8	3	36	13.4	166
New Hampshire		33	1	1	59	0	0	DS	3.4	6	10.2	DS	3.4	47	79.7	0	0	DS	3.4	11	18.6	DS	3.4	DS	3.4	142
New Jersey		34	1	2	371	DS	0.5	6	1.6	133	35.8	109	29.4	117	31.5	0	0	4	1.1	47	12.7	17	4.6	19	5.1	792
New Mexico		35	4	8	143	35	24.5	DS	1.4	70	49	DS	1.4	34	23.8	0	0	0	0	26	18.2	DS	1.4	25	17.5	234
New York		36	1	2	"1,648"	13	0.8	71	4.3	528	32	643	39	377	22.9	10	0.6	6	0.4	310	18.8	33	2	276	16.7	"1,499"
North Carolina		37	3	5	851	15	1.8	28	3.3	104	12.2	326	38.3	342	40.2	4	0.5	32	3.8	165	19.4	62	7.3	58	6.8	708
North Dakota		38	2	4	28	7	25	0	0	DS	7.1	0	0	19	67.9	0	0	0	0	5	17.9	DS	7.1	0	0	189
Ohio		39	2	3	429	0	0	DS	0.5	12	2.8	157	36.6	238	55.5	0	0	20	4.7	83	19.3	13	3	4	0.9	"1,140"
Oklahoma		40	3	7	159	26	16.4	0	0	17	10.7	10	6.3	102	64.2	DS	1.3	DS	1.3	25	15.7	DS	1.3	4	2.5	593
Oregon		41	9	4	104	5	4.8	0	0	21	20.2	DS	1.9	64	61.5	DS	1.9	10	9.6	31	29.8	DS	1.9	DS	1.9	456
Pennsylvania		42	1	2	712	DS	0.3	DS	0.3	70	9.8	122	17.1	498	69.9	0	0	18	2.5	143	20.1	10	1.4	19	2.7	971
Rhode Island		44	1	1	73	DS	2.7	DS	2.7	17	23.3	4	5.5	44	60.3	0	0	4	5.5	20	27.4	DS	2.7	DS	2.7	59
South Carolina		45	3	5	516	DS	0.4	5	1	28	5.4	234	45.3	236	45.7	DS	0.4	9	1.7	104	20.2	16	3.1	15	2.9	329
South Dakota		46	2	4	22	11	50	0	0	DS	9.1	0	0	9	40.9	0	0	0	0	4	18.2	0	0	4	18.2	262
Tennessee		47	3	6	655	0	0	DS	0.3	34	5.2	366	55.9	251	38.3	0	0	DS	0.3	97	14.8	6	0.9	19	2.9	603
Texas		48	3	7	"4,733"	12	0.3	103	2.2	"2,728"	57.6	506	10.7	"1,300"	27.5	8	0.2	76	1.6	956	20.2	159	3.4	602	12.7	"2,421"
Utah		49	4	8	235	7	3	DS	0.9	30	12.8	DS	0.9	190	80.9	DS	0.9	DS	0.9	41	17.4	DS	0.9	8	3.4	261
Vermont		50	1	1	11	0	0	0	0	0	0	DS	18.2	9	81.8	0	0	0	0	DS	18.2	0	0	DS	18.2	120
Virginia		51	3	5	712	DS	0.3	17	2.4	108	15.2	301	42.3	262	36.8	DS	0.3	20	2.8	231	32.4	25	3.5	84	11.8	466
