,"Number and percentage of public school female students not served under IDEA subjected to mechanical restraint, by race/ethnicity, whether served under Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,,,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,,,,
Mechanical restraint,United States,"1,132 ",13 ,1.1 ,5 ,0.4 ,301 ,26.6 ,484 ,42.8 ,296 ,26.1 ,1 to 3,0.3 ,30 ,2.7 ,25 ,2.2 ,51 ,4.5 ,"95,507 ",99.4 ,,,
Mechanical restraint,Alabama,75 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,75 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.0 ,10 ,13.3 ,"1,397 ",97.0 ,,,
Mechanical restraint,Alaska,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,495 ,100.0 ,,,
Mechanical restraint,Arizona,29 ,0 ,0.0 ,0 ,0.0 ,16 ,55.2 ,5 ,17.2 ,6 ,20.7 ,0 ,0.0 ,1 to 3,6.9 ,0 ,0.0 ,0 ,0.0 ,"1,913 ",99.2 ,,,
Mechanical restraint,Arkansas,6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,33.3 ,4 ,66.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,085 ",100.0 ,,,
Mechanical restraint,California,8 ,0 ,0.0 ,0 ,0.0 ,4 ,50.0 ,1 to 3,12.5 ,1 to 3,37.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,37.5 ,"9,883 ",99.8 ,,,
Mechanical restraint,Colorado,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,841 ",100.0 ,,,
Mechanical restraint,Connecticut,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,140 ",98.2 ,,,
Mechanical restraint,Delaware,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 ,,,
Mechanical restraint,District of Columbia,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,204 ,100.0 ,,,
Mechanical restraint,Florida,22 ,0 ,0.0 ,0 ,0.0 ,1 to 3,9.1 ,14 ,63.6 ,4 ,18.2 ,0 ,0.0 ,1 to 3,9.1 ,1 to 3,4.5 ,0 ,0.0 ,"3,954 ",100.0 ,,,
