State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"2,976"	55	1.8	18	0.6	223	7.5	757	25.4	"1,819"	61.1	5	0.2	99	3.3	48	1.6	"95,635"
Alabama		1	3	6	65	0	0	0	0	0	0	25	38.5	38	58.5	0	0	DS	3.1	0	0	"1,432"
Alaska		2	4	9	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	DS	50	493
Arizona		4	4	8	50	19	38	0	0	6	12	DS	4	19	38	DS	4	DS	4	0	0	"1,920"
Arkansas		5	3	7	12	0	0	0	0	0	0	5	41.7	7	58.3	0	0	0	0	0	0	"1,097"
California		6	4	9	37	DS	5.4	DS	5.4	9	24.3	6	16.2	16	43.2	0	0	DS	5.4	DS	5.4	"9,866"
Colorado		8	4	8	22	0	0	0	0	7	31.8	DS	9.1	11	50	0	0	DS	9.1	DS	9.1	"1,811"
Connecticut		9	1	1	95	0	0	DS	2.1	12	12.6	29	30.5	50	52.6	0	0	DS	2.1	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	211
Florida		12	3	5	179	DS	1.1	0	0	DS	1.1	98	54.7	73	40.8	0	0	4	2.2	DS	1.1	"3,886"
Georgia		13	3	5	27	0	0	0	0	0	0	6	22.2	21	77.8	0	0	0	0	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	30	DS	6.7	0	0	4	13.3	0	0	22	73.3	0	0	DS	6.7	DS	6.7	703
Illinois		17	2	3	263	0	0	DS	0.8	8	3	107	40.7	135	51.3	0	0	11	4.2	DS	0.8	"4,221"
Indiana		18	2	3	147	0	0	DS	1.4	DS	1.4	25	17	112	76.2	DS	1.4	4	2.7	DS	1.4	"1,875"
Iowa		19	2	4	169	DS	1.2	DS	1.2	9	5.3	34	20.1	114	67.5	0	0	8	4.7	0	0	"1,458"
Kansas		20	2	4	61	DS	3.3	DS	3.3	5	8.2	DS	3.3	48	78.7	0	0	DS	3.3	0	0	"1,389"
Kentucky		21	3	6	36	0	0	0	0	0	0	13	36.1	21	58.3	0	0	DS	5.6	0	0	"1,417"
Louisiana		22	3	7	4	0	0	0	0	0	0	4	100	0	0	0	0	0	0	0	0	"1,394"
Maine		23	1	1	41	0	0	0	0	DS	4.9	DS	4.9	37	90.2	0	0	0	0	0	0	595
