Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Numberof Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	124	72.9	DS	1.2	122	71.8	DS	1.2	0	0	16	9.5	45	26.8	57	33.9	0	0	DS	1.2	DS	1.2	"4,864"	36	1	2
Corporal punishment on females	46	27.1	0	0	46	27.1	0	0	DS	1.2	11	6.5	15	8.9	16	9.5	DS	1.2	0	0	DS	1.2	"4,864"	36	1	2
Corporal punishment total	170	100	DS	1.2	168	98.8	DS	1.2	DS	1.2	27	16.1	60	35.7	73	43.5	DS	1.2	DS	1.2	4	2.4	"4,864"	36	1	2
One or more in-school suspensions on males	"26,005"	75.7	"1,332"	3.9	"24,673"	71.9	200	0.6	310	0.9	"5,198"	15.9	"7,593"	23.3	"11,181"	34.3	13	0	178	0.5	"1,477"	4.3	"4,864"	36	1	2
One or more in-school suspensions on females	"8,329"	24.3	361	1.1	"7,968"	23.2	82	0.3	62	0.2	"1,725"	5.3	"2,683"	8.2	"3,335"	10.2	DS	0	79	0.2	371	1.1	"4,864"	36	1	2
One or more in-school suspensions total	"34,334"	100	"1,693"	4.9	"32,641"	95.1	282	0.9	372	1.1	"6,923"	21.2	"10,276"	31.5	"14,516"	44.5	15	0	257	0.8	"1,848"	5.4	"4,864"	36	1	2
Only one out-of-school suspension on males	"11,634"	75.5	609	4	"11,025"	71.5	93	0.6	106	0.7	"2,068"	14.1	"3,696"	25.3	"4,963"	34	7	0	92	0.6	547	3.5	"4,864"	36	1	2
Only one out-of-school suspension on females	"3,783"	24.5	191	1.2	"3,592"	23.3	30	0.2	16	0.1	598	4.1	"1,389"	9.5	"1,499"	10.3	DS	0	58	0.4	120	0.8	"4,864"	36	1	2
Only one out-of-school suspension total	"15,417"	100	800	5.2	"14,617"	94.8	123	0.8	122	0.8	"2,666"	18.2	"5,085"	34.8	"6,462"	44.2	9	0.1	150	1	667	4.3	"4,864"	36	1	2
More than one out-of-school suspension on males	"10,524"	78.5	487	3.6	"10,037"	74.9	81	0.6	59	0.5	"1,379"	10.8	"3,482"	27.2	"4,926"	38.5	DS	0	108	0.8	281	2.1	"4,864"	36	1	2
More than one out-of-school suspension on females	"2,874"	21.5	115	0.9	"2,759"	20.6	27	0.2	5	0	388	3	"1,062"	8.3	"1,243"	9.7	0	0	34	0.3	57	0.4	"4,864"	36	1	2
More than one out-of-school suspension total	"13,398"	100	602	4.5	"12,796"	95.5	108	0.8	64	0.5	"1,767"	13.8	"4,544"	35.5	"6,169"	48.2	DS	0	142	1.1	338	2.5	"4,864"	36	1	2
One or more out-of-school suspensions on males	"22,183"	76.9	"1,107"	3.8	"21,076"	73.1	174	0.6	165	0.6	"3,455"	12.6	"7,173"	26.2	"9,898"	36.1	10	0	201	0.7	830	2.9	"4,864"	36	1	2
One or more out-of-school suspensions on females	"6,653"	23.1	306	1.1	"6,347"	22	57	0.2	22	0.1	984	3.6	"2,452"	8.9	"2,738"	10	DS	0	92	0.3	175	0.6	"4,864"	36	1	2
One or more out-of-school suspensions total	"28,836"	100	"1,413"	4.9	"27,423"	95.1	231	0.8	187	0.7	"4,439"	16.2	"9,625"	35.1	"12,636"	46.1	12	0	293	1.1	"1,005"	3.5	"4,864"	36	1	2
Expulsions with educational services on males	497	79.1	19	3	478	76.1	6	1	5	0.8	53	8.8	137	22.7	273	45.3	0	0	4	0.7	6	1	"4,864"	36	1	2
Expulsions with educational services on females	131	20.9	6	1	125	19.9	DS	0.3	0	0	9	1.5	56	9.3	56	9.3	0	0	DS	0.3	DS	0.3	"4,864"	36	1	2
Expulsions with educational services total	628	100	25	4	603	96	8	1.3	5	0.8	62	10.3	193	32	329	54.6	0	0	6	1	8	1.3	"4,864"	36	1	2
Expulsions without educational services on males	103	77.4	6	4.5	97	72.9	0	0	DS	1.6	7	5.6	14	11.2	70	56	DS	1.6	DS	1.6	DS	1.5	"4,864"	36	1	2
Expulsions without educational services on females	30	22.6	DS	1.5	28	21.1	0	0	DS	1.6	DS	1.6	11	8.8	13	10.4	0	0	0	0	0	0	"4,864"	36	1	2
Expulsions without educational services total	133	100	8	6	125	94	0	0	4	3.2	9	7.2	25	20	83	66.4	DS	1.6	DS	1.6	DS	1.5	"4,864"	36	1	2
Expulsions with or without educational services on males	599	78.8	25	3.3	574	75.5	5	0.7	7	1	61	8.4	153	21	339	46.6	DS	0.3	7	1	7	0.9	"4,864"	36	1	2
Expulsions with or without educational services on females	161	21.2	7	0.9	154	20.3	DS	0.3	DS	0.3	10	1.4	67	9.2	71	9.8	0	0	DS	0.3	DS	0.3	"4,864"	36	1	2
Expulsions with or without educational services total	760	100	32	4.2	728	95.8	7	1	9	1.2	71	9.8	220	30.2	410	56.3	DS	0.3	9	1.2	9	1.2	"4,864"	36	1	2
Expulsions under zero-tolerance policies on males	58	74.4	DS	2.6	56	71.8	0	0	0	0	9	12.2	19	25.7	28	37.8	0	0	0	0	0	0	"4,864"	36	1	2
Expulsions under zero-tolerance policies on females	20	25.6	DS	2.6	18	23.1	0	0	0	0	5	6.8	7	9.5	6	8.1	0	0	0	0	0	0	"4,864"	36	1	2
Expulsions under zero-tolerance policies total	78	100	4	5.1	74	94.9	0	0	0	0	14	18.9	26	35.1	34	45.9	0	0	0	0	0	0	"4,864"	36	1	2
Referral to law enforcement on males	"2,077"	76.6	41	1.5	"2,036"	75.1	18	0.7	22	0.8	616	23.2	925	34.9	448	16.9	DS	0.1	5	0.2	190	7	"4,864"	36	1	2
Referral to law enforcement on females	634	23.4	19	0.7	615	22.7	6	0.2	DS	0.1	178	6.7	318	12	107	4	DS	0.1	DS	0.1	29	1.1	"4,864"	36	1	2
Referral to law enforcement total	"2,711"	100	60	2.2	"2,651"	97.8	24	0.9	24	0.9	794	30	"1,243"	46.9	555	20.9	4	0.2	7	0.3	219	8.1	"4,864"	36	1	2
School-related arrests on males	238	82.4	9	3.1	229	79.2	4	1.4	0	0	22	7.9	58	20.9	140	50.4	0	0	5	1.8	DS	0.7	"4,864"	36	1	2
School-related arrests on females	51	17.6	DS	0.7	49	17	0	0	0	0	6	2.2	11	4	32	11.5	0	0	0	0	0	0	"4,864"	36	1	2
School-related arrests total	289	100	11	3.8	278	96.2	4	1.4	0	0	28	10.1	69	24.8	172	61.9	0	0	5	1.8	DS	0.7	"4,864"	36	1	2
