Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"3,534"	79.2	137	3.1	"3,397"	76.1	62	1.4	DS	0	40	0.9	"1,783"	41.5	"1,472"	34.3	DS	0	36	0.8	12	0.3	"1,394"	22	3	7
Corporal punishment on females	930	20.8	32	0.7	898	20.1	9	0.2	0	0	6	0.1	578	13.5	297	6.9	0	0	8	0.2	0	0	"1,394"	22	3	7
Corporal punishment total	"4,464"	100	169	3.8	"4,295"	96.2	71	1.7	DS	0	46	1.1	"2,361"	55	"1,769"	41.2	DS	0	44	1	12	0.3	"1,394"	22	3	7
One or more in-school suspensions on males	"49,900"	64.7	"2,599"	3.4	"47,301"	61.3	257	0.3	273	0.4	"1,407"	1.9	"29,351"	39.8	"15,609"	21.2	10	0	394	0.5	623	0.8	"1,394"	22	3	7
One or more in-school suspensions on females	"27,236"	35.3	880	1.1	"26,356"	34.2	117	0.2	106	0.1	730	1	"18,575"	25.2	"6,628"	9	DS	0	198	0.3	236	0.3	"1,394"	22	3	7
One or more in-school suspensions total	"77,136"	100	"3,479"	4.5	"73,657"	95.5	374	0.5	379	0.5	"2,137"	2.9	"47,926"	65.1	"22,237"	30.2	12	0	592	0.8	859	1.1	"1,394"	22	3	7
Only one out-of-school suspension on males	"24,936"	64.8	"1,290"	3.4	"23,646"	61.5	206	0.6	118	0.3	676	1.8	"13,896"	37.9	"8,525"	23.2	10	0	215	0.6	285	0.7	"1,394"	22	3	7
Only one out-of-school suspension on females	"13,529"	35.2	500	1.3	"13,029"	33.9	92	0.3	31	0.1	267	0.7	"9,211"	25.1	"3,333"	9.1	DS	0	93	0.3	91	0.2	"1,394"	22	3	7
Only one out-of-school suspension total	"38,465"	100	"1,790"	4.7	"36,675"	95.3	298	0.8	149	0.4	943	2.6	"23,107"	63	"11,858"	32.3	12	0	308	0.8	376	1	"1,394"	22	3	7
More than one out-of-school suspension on males	"19,128"	70.5	"1,194"	4.4	"17,934"	66.1	110	0.4	49	0.2	333	1.3	"12,462"	48.7	"4,844"	18.9	4	0	132	0.5	152	0.6	"1,394"	22	3	7
