County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2008 Live Births,2008 Low Birthweight,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,1,1.50%,76,5,6.60%,347.40%,19_001,19,2,4,,
Adams,35,2,5.70%,37,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,7,4.40%,193,15,7.80%,75.40%,19_003,19,2,4,,
Appanoose,142,8,5.60%,184,12,6.50%,15.80%,19_004,19,2,4,,
Audubon,47,3,6.40%,83,5,6.00%,-5.60%,19_005,19,2,4,,
Benton,325,26,8.00%,309,25,8.10%,1.10%,19_006,19,2,4,,
Black Hawk,"1,551",96,6.20%,"1,774",143,8.10%,30.20%,19_007,19,2,4,,
Boone,317,14,4.40%,303,15,5.00%,12.10%,19_008,19,2,4,,
Bremer,250,13,5.20%,265,18,6.80%,30.60%,19_009,19,2,4,,
Buchanan,301,16,5.30%,301,17,5.60%,6.30%,19_010,19,2,4,,
Buena Vista,233,12,5.20%,290,12,4.10%,-19.70%,19_011,19,2,4,,
Butler,170,9,5.30%,173,10,5.80%,9.20%,19_012,19,2,4,,
Calhoun,107,8,7.50%,95,8,8.40%,12.60%,19_013,19,2,4,,
Carroll,262,11,4.20%,264,15,5.70%,35.30%,19_014,19,2,4,,
Cass,158,8,5.10%,178,15,8.40%,66.40%,19_015,19,2,4,,
Cedar,206,10,4.90%,200,9,4.50%,-7.30%,19_016,19,2,4,,
Cerro Gordo,530,29,5.50%,522,47,9.00%,64.60%,19_017,19,2,4,,
Cherokee,146,10,6.80%,106,C,N/A,N/A,19_018,19,2,4,,
Chickasaw,169,11,6.50%,153,4,2.60%,-59.80%,19_019,19,2,4,,
Clarke,97,7,7.20%,145,14,9.70%,33.80%,19_020,19,2,4,,
Clay,204,11,5.40%,217,9,4.10%,-23.10%,19_021,19,2,4,,
Clayton,194,10,5.20%,210,10,4.80%,-7.60%,19_022,19,2,4,,
Clinton,591,39,6.60%,606,43,7.10%,7.50%,19_023,19,2,4,,
Crawford,189,13,6.90%,235,17,7.20%,5.20%,19_024,19,2,4,,
Dallas,566,34,6.00%,"1,026",86,8.40%,39.50%,19_025,19,2,4,,
Davis,129,9,7.00%,143,5,3.50%,-49.90%,19_026,19,2,4,,
Decatur,101,3,3.00%,119,9,7.60%,154.60%,19_027,19,2,4,,
Delaware,227,20,8.80%,180,9,5.00%,-43.30%,19_028,19,2,4,,
Des Moines,555,44,7.90%,527,34,6.50%,-18.60%,19_029,19,2,4,,
Dickinson,159,10,6.30%,186,14,7.50%,19.70%,19_030,19,2,4,,
Dubuque,"1,221",62,5.10%,"1,224",92,7.50%,48.00%,19_031,19,2,4,,
Emmet,126,8,6.30%,125,4,3.20%,-49.60%,19_032,19,2,4,,
Fayette,233,13,5.60%,228,16,7.00%,25.80%,19_033,19,2,4,,
Floyd,199,8,4.00%,203,14,6.90%,71.60%,19_034,19,2,4,,
Franklin,113,9,8.00%,127,4,3.10%,-60.50%,19_035,19,2,4,,
Fremont,82,7,8.50%,86,4,4.70%,-45.50%,19_036,19,2,4,,
Greene,92,10,10.90%,110,10,9.10%,-16.40%,19_037,19,2,4,,
Grundy,133,8,6.00%,130,4,3.10%,-48.80%,19_038,19,2,4,,
Guthrie,134,6,4.50%,121,10,8.30%,84.60%,19_039,19,2,4,,
Hamilton,192,7,3.60%,168,13,7.70%,112.20%,19_040,19,2,4,,
Hancock,131,10,7.60%,119,5,4.20%,-45.00%,19_041,19,2,4,,
Hardin,208,20,9.60%,221,9,4.10%,-57.60%,19_042,19,2,4,,
Harrison,193,16,8.30%,188,12,6.40%,-23.00%,19_043,19,2,4,,
Henry,264,14,5.30%,250,13,5.20%,-1.90%,19_044,19,2,4,,
Howard,110,6,5.50%,132,4,3.00%,-44.40%,19_045,19,2,4,,
Humboldt,99,6,6.10%,103,9,8.70%,44.20%,19_046,19,2,4,,
