,"Number and percentage of public school male students with disabilities served under IDEA subjected to physical restraint, by race/ethnicity and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,,,,
Physical restraint,United States,"29,547 ",280 ,0.9 ,344 ,1.2 ,"3,515 ",11.9 ,"6,811 ",23.1 ,"17,397 ",58.9 ,32 ,0.1 ,"1,168 ",4.0 ,778 ,2.6 ,"95,507 ",99.4 ,,
Physical restraint,Alabama,469 ,0 ,0.0 ,1 to 3,0.6 ,6 ,1.3 ,195 ,41.6 ,255 ,54.4 ,0 ,0.0 ,10 ,2.1 ,12 ,2.6 ,"1,397 ",97.0 ,,
Physical restraint,Alaska,40 ,13 ,32.5 ,0 ,0.0 ,1 to 3,5.0 ,0 ,0.0 ,24 ,60.0 ,0 ,0.0 ,1 to 3,2.5 ,5 ,12.5 ,495 ,100.0 ,,
Physical restraint,Arizona,500 ,16 ,3.2 ,9 ,1.8 ,156 ,31.2 ,64 ,12.8 ,239 ,47.8 ,0 ,0.0 ,16 ,3.2 ,10 ,1 to 3,"1,913 ",99.2 ,,
Physical restraint,Arkansas,52 ,0 ,0.0 ,1 to 3,3.8 ,4 ,7.7 ,7 ,13.5 ,39 ,75.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,085 ",100.0 ,,
Physical restraint,California,"1,248 ",20 ,1.6 ,55 ,4.4 ,401 ,32.1 ,228 ,18.3 ,502 ,40.2 ,7 ,0.6 ,35 ,2.8 ,120 ,9.6 ,"9,883 ",99.8 ,,
Physical restraint,Colorado,298 ,4 ,1.3 ,4 ,1.3 ,98 ,32.9 ,47 ,15.8 ,131 ,44.0 ,1 to 3,0.3 ,13 ,4.4 ,21 ,7.0 ,"1,841 ",100.0 ,,
Physical restraint,Connecticut,992 ,1 to 3,0.1 ,10 ,1 to 3,201 ,20.3 ,245 ,24.7 ,504 ,50.8 ,0 ,0.0 ,31 ,3.1 ,27 ,2.7 ,"1,140 ",100.0 ,,
Physical restraint,Delaware,51 ,0 ,0.0 ,1 to 3,3.9 ,1 to 3,3.9 ,12 ,23.5 ,33 ,64.7 ,0 ,0.0 ,1 to 3,3.9 ,0 ,0.0 ,227 ,100.0 ,,
Physical restraint,District of Columbia,31 ,0 ,0.0 ,0 ,0.0 ,1 to 3,9.7 ,26 ,83.9 ,1 to 3,6.5 ,0 ,0.0 ,0 ,0.0 ,1 to 3,9.7 ,204 ,100.0 ,,
Physical restraint,Florida,457 ,0 ,0.0 ,4 ,0.9 ,68 ,14.9 ,137 ,30.0 ,215 ,47.0 ,1 to 3,0.2 ,32 ,7.0 ,15 ,3.3 ,"3,954 ",100.0 ,,
Physical restraint,Georgia,781 ,1 to 3,0.3 ,5 ,0.6 ,29 ,3.7 ,357 ,45.7 ,354 ,45.3 ,0 ,0.0 ,34 ,4.4 ,7 ,0.9 ,"2,444 ",99.8 ,,
Physical restraint,Hawaii,1 to 3,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,287 ,100.0 ,,
Physical restraint,Idaho,77 ,1 to 3,3.9 ,1 to 3,1.3 ,9 ,11.7 ,1 to 3,3.9 ,61 ,79.2 ,0 ,0.0 ,0 ,0.0 ,1 to 3,2.6 ,715 ,100.0 ,,
Physical restraint,Illinois,"1,673 ",0 ,0.0 ,21 ,1.3 ,146 ,8.7 ,476 ,28.5 ,970 ,58.0 ,1 to 3,0.1 ,59 ,3.5 ,40 ,2.4 ,"4,134 ",100.0 ,,
Physical restraint,Indiana,772 ,1 to 3,0.1 ,6 ,0.8 ,33 ,4.3 ,151 ,19.6 ,542 ,70.2 ,0 ,0.0 ,39 ,5.1 ,11 ,1.4 ,"1,864 ",100.0 ,,
Physical restraint,Iowa,828 ,1 to 3,0.4 ,1 to 3,0.2 ,30 ,3.6 ,158 ,19.1 ,604 ,72.9 ,1 to 3,0.1 ,30 ,3.6 ,12 ,1.4 ,"1,424 ",100.0 ,,
Physical restraint,Kansas,602 ,9 ,1.5 ,7 ,1.2 ,44 ,7.3 ,59 ,9.8 ,443 ,73.6 ,0 ,0.0 ,40 ,6.6 ,17 ,2.8 ,"1,396 ",99.9 ,,
Physical restraint,Kentucky,"1,393 ",1 to 3,0.1 ,1 to 3,0.2 ,94 ,6.7 ,272 ,19.5 ,928 ,66.6 ,0 ,0.0 ,95 ,6.8 ,15 ,1.1 ,"1,422 ",100.0 ,,
Physical restraint,Louisiana,42 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,28 ,66.7 ,14 ,33.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,343 ",100.0 ,,
Physical restraint,Maine,488 ,1 to 3,0.4 ,4 ,0.8 ,7 ,1.4 ,18 ,3.7 ,448 ,91.8 ,1 to 3,0.2 ,8 ,1.6 ,1 to 3,0.6 ,573 ,99.0 ,,
Physical restraint,Maryland,729 ,0 ,0.0 ,14 ,1.9 ,55 ,7.5 ,291 ,39.9 ,324 ,44.4 ,0 ,0.0 ,45 ,6.2 ,13 ,1.8 ,"1,435 ",100.0 ,,
Physical restraint,Massachusetts,478 ,0 ,0.0 ,9 ,1.9 ,131 ,27.4 ,86 ,18.0 ,225 ,47.1 ,0 ,0.0 ,27 ,5.6 ,46 ,9.6 ,"1,859 ",100.0 ,,
Physical restraint,Michigan,"1,348 ",11 ,0.8 ,10 ,0.7 ,30 ,2.2 ,215 ,15.9 ,"1,050 ",77.9 ,1 to 3,0.1 ,31 ,2.3 ,6 ,0.4 ,"3,672 ",100.0 ,,
Physical restraint,Minnesota,"1,186 ",23 ,1.9 ,13 ,1.1 ,62 ,5.2 ,370 ,31.2 ,687 ,57.9 ,0 ,0.0 ,31 ,2.6 ,20 ,1.7 ,"2,056 ",100.0 ,,
Physical restraint,Mississippi,80 ,0 ,0.0 ,0 ,0.0 ,5 ,6.3 ,37 ,46.3 ,38 ,47.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,967 ,100.0 ,,
Physical restraint,Missouri,896 ,1 to 3,0.1 ,4 ,0.4 ,20 ,2.2 ,157 ,17.5 ,693 ,77.3 ,0 ,0.0 ,21 ,2.3 ,13 ,1.5 ,"2,281 ",100.0 ,,
Physical restraint,Montana,50 ,1 to 3,6.0 ,0 ,0.0 ,1 to 3,6.0 ,4 ,8.0 ,37 ,74.0 ,0 ,0.0 ,1 to 3,6.0 ,0 ,0.0 ,794 ,100.0 ,,
Physical restraint,Nebraska,209 ,1 to 3,1 to 3,1 to 3,1.4 ,26 ,12.4 ,26 ,12.4 ,138 ,66.0 ,1 to 3,0.5 ,13 ,6.2 ,0 ,0.0 ,"1,050 ",100.0 ,,
Physical restraint,Nevada,"1,072 ",16 ,1.5 ,15 ,1.4 ,239 ,22.3 ,285 ,26.6 ,462 ,43.1 ,4 ,0.4 ,51 ,4.8 ,12 ,1.1 ,652 ,100.0 ,,
Physical restraint,New Hampshire,187 ,1 to 3,0.5 ,4 ,2.1 ,7 ,3.7 ,6 ,3.2 ,162 ,86.6 ,0 ,0.0 ,7 ,3.7 ,1 to 3,1.6 ,482 ,100.0 ,,
Physical restraint,New Jersey,736 ,0 ,0.0 ,26 ,3.5 ,109 ,14.8 ,173 ,23.5 ,414 ,56.3 ,1 to 3,0.1 ,13 ,1.8 ,6 ,0.8 ,"2,469 ",100.0 ,,
Physical restraint,New Mexico,71 ,1 to 3,4.2 ,0 ,0.0 ,35 ,49.3 ,6 ,8.5 ,27 ,38.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.2 ,872 ,96.7 ,,
Physical restraint,New York,"1,342 ",1 to 3,0.2 ,5 ,0.4 ,117 ,8.7 ,392 ,29.2 ,796 ,59.3 ,0 ,0.0 ,29 ,2.2 ,5 ,0.4 ,"4,894 ",99.9 ,,
Physical restraint,North Carolina,45 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.4 ,11 ,24.4 ,32 ,71.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"2,587 ",100.0 ,,
