School characteristic,Full-time,,,,,Part-time only,,,,,Nation_ID
,2005–06,2007–08,2009–10,2013-14,2015-16,2005–06,2007–08,2009–10,2013-14,2015-16,US_National
All public schools,27,30.4,28.7,23.7,33.6,14.6,15.9,14.1,19.3,22.9,US_National
Primary,12.5,17.8,15.7,10.4,19.9,13.7,15.3,12.1,18.2,25.5,US_National
Middle ,44.5,44.9,45.8,36.9,49.9,19.2,20.7,20.6,26.4,23.5,US_National
High school/combined,49.6,51.9,49,48.1,55.6,13.4,13.5,13.9,16.1,15.7,US_National
High school,64,66.1,62,N/V,67.4,11.2,13.5,14.5,N/V,13.6,US_National
Combined,26.8,26.2,24,N/V,31,16.7,13.6,12.7,N/V,20.2,US_National
Enrollment size less than 300 ,10.8,15.1,15.1,6.8,18.2,11.9,12.5,10.5,14.9,16.6,US_National
Enrollment size 300 to 499 ,16.7,19.4,18,15.4,25,13,16.8,15.5,20,24.9,US_National
Enrollment size 500 to 999 ,31,34,31.2,26.4,35.5,19.5,18.8,16.1,24.2,29.1,US_National
"Enrollment size 1,000 or more ",77.3,79.5,79.3,77.5,83.4,9.7,11.1,10.7,9.8,8,US_National
City ,37.7,45.3,39.7,35,43.8,11.4,12,11.2,10.4,18.1,US_National
Suburban,27.1,30,31.3,26.2,33.4,15.6,15.4,14.1,21.5,24.6,US_National
Town ,26.3,26.9,21.2,18.4,34.5,18.1,24.2,17.8,29.6,27.4,US_National
Rural,18.6,20.2,20.5,15.3,23,15.2,15.7,14.7,20.2,23.7,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native less than 5 percent ",12.4,16.9,13.6,8.7,20.1,16,18.7,16.8,26.9,24.6,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native 5 percent to less than 20 percent ",23.9,23.1,19.9,13.7,27.3,15,19.9,16.6,21.2,27,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native 20 percent to less than 50 percent ",28.3,29.1,27.8,25.3,27.3,13.3,15.5,14.1,21.5,22.7,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native 50 percent or more ",37.3,43.8,41.3,33.3,43.3,14,11.6,11.2,14.6,20.4,US_National
0 to 25 percent percent of students eligible for free or reduced-price lunch,24.9,29.7,27.9,21,30.4,13,16.8,11.3,20.6,22.6,US_National
26 to 50 percent percent of students eligible for free or reduced-price lunch,26.4,24.2,21.5,17.7,26.6,15.7,16.6,18.5,21.8,24.2,US_National
51 to 75 percent percent of students eligible for free or reduced-price lunch,25.7,29.7,29,24.3,34.3,13.7,16.4,13.3,20.2,24.4,US_National
76 to 100 percent percent of students eligible for free or reduced-price lunch,33,42.1,37.6,31.3,41.8,16.8,12.9,12.2,14.6,20.4,US_National
