Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"11,055"	44.3	"1,230"	4.9	618	2.5	806	3.2	719	2.9	"7,285"	29.2	19	0.1	378	1.5	230	0.9	69	0.3	281	40	3	7
At least one AP course females	"13,899"	55.7	"1,681"	6.7	729	2.9	"1,045"	4.2	"1,184"	4.7	"8,711"	34.9	20	0.1	529	2.1	158	0.6	93	0.4	281	40	3	7
At least one AP course total	"24,954"	100	"2,911"	11.7	"1,347"	5.4	"1,851"	7.4	"1,903"	7.6	"15,996"	64.1	39	0.2	907	3.6	388	1.6	162	0.6	281	40	3	7
AP mathematics males	"2,040"	49.5	194	4.7	179	4.3	147	3.6	101	2.4	"1,353"	32.8	DS	0	64	1.6	29	0.7	7	0.2	281	40	3	7
AP mathematics females	"2,083"	50.5	210	5.1	190	4.6	126	3.1	135	3.3	"1,354"	32.8	4	0.1	64	1.6	12	0.3	5	0.1	281	40	3	7
AP mathematics total	"4,123"	100	404	9.8	369	8.9	273	6.6	236	5.7	"2,707"	65.7	6	0.1	128	3.1	41	1	12	0.3	281	40	3	7
AP science males	"2,487"	49.3	239	4.7	219	4.3	140	2.8	170	3.4	"1,631"	32.3	7	0.1	81	1.6	35	0.7	8	0.2	281	40	3	7
AP science females	"2,556"	50.7	258	5.1	251	5	139	2.8	214	4.2	"1,564"	31	4	0.1	126	2.5	20	0.4	9	0.2	281	40	3	7
AP science total	"5,043"	100	497	9.9	470	9.3	279	5.5	384	7.6	"3,195"	63.4	11	0.2	207	4.1	55	1.1	17	0.3	281	40	3	7
AP foreign language males	232	34.4	21	3.1	14	2.1	86	12.7	8	1.2	98	14.5	0	0	5	0.7	DS	0.3	14	2.1	281	40	3	7
AP foreign language females	443	65.6	33	4.9	24	3.6	144	21.3	38	5.6	192	28.4	DS	0.3	10	1.5	7	1	25	3.7	281	40	3	7
AP foreign language total	675	100	54	8	38	5.6	230	34.1	46	6.8	290	43	DS	0.3	15	2.2	9	1.3	39	5.8	281	40	3	7
Other AP subjects males	"7,790"	42.4	827	4.5	434	2.4	576	3.1	550	3	"5,112"	27.8	13	0.1	278	1.5	172	0.9	41	0.2	281	40	3	7
Other AP subjects females	"10,576"	57.6	"1,189"	6.5	532	2.9	796	4.3	990	5.4	"6,595"	35.9	10	0.1	464	2.5	124	0.7	52	0.3	281	40	3	7
Other AP subjects total	"18,366"	100	"2,016"	11	966	5.3	"1,372"	7.5	"1,540"	8.4	"11,707"	63.7	23	0.1	742	4	296	1.6	93	0.5	281	40	3	7
