,"Number and percentage of public school students retained in grade 11, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 11,United States,"93,147 ","1,205 ",1.3 ,"2,570 ",2.8 ,"28,306 ",30.4 ,"27,951 ",30.0 ,"30,554 ",32.8 ,494 ,0.5 ,"2,067 ",2.2 ,"15,974 ",17.1 ,"2,477 ",2.7 ,"8,342 ",9.0 ,"8,380 ",100.0 
Retained in grade 11,Alabama,"1,835 ",9 ,0.5 ,10 ,0.5 ,70 ,3.8 ,"1,050 ",57.2 ,671 ,36.6 ,5 ,0.3 ,20 ,1.1 ,224 ,12.2 ,10 ,0.5 ,42 ,2.3 ,204 ,100.0 
Retained in grade 11,Alaska,238 ,81 ,34.0 ,6 ,2.5 ,13 ,5.5 ,12 ,5.0 ,105 ,44.1 ,1 to 3,1.3 ,18 ,7.6 ,10 ,4.2 ,6 ,2.5 ,23 ,9.7 ,58 ,100.0 
Retained in grade 11,Arizona,"2,533 ",127 ,5.0 ,25 ,1.0 ,"1,690 ",66.7 ,214 ,8.4 ,449 ,17.7 ,1 to 3,0.1 ,25 ,1.0 ,303 ,12.0 ,37 ,1.5 ,132 ,5.2 ,73 ,100.0 
Retained in grade 11,Arkansas,410 ,1 to 3,0.7 ,4 ,1.0 ,41 ,10.0 ,194 ,47.3 ,153 ,37.3 ,6 ,1.5 ,9 ,2.2 ,35 ,8.5 ,14 ,3.4 ,26 ,6.3 ,74 ,100.0 
Retained in grade 11,California,"6,606 ",61 ,0.9 ,322 ,4.9 ,"4,207 ",63.7 ,820 ,12.4 ,"1,038 ",15.7 ,57 ,0.9 ,101 ,1.5 ,803 ,12.2 ,81 ,1.2 ,"1,388 ",21.0 ,452 ,100.0 
Retained in grade 11,Colorado,817 ,9 ,1.1 ,8 ,1.0 ,473 ,57.9 ,73 ,8.9 ,233 ,28.5 ,1 to 3,0.4 ,18 ,2.2 ,92 ,11.3 ,8 ,1.0 ,170 ,20.8 ,123 ,100.0 
Retained in grade 11,Connecticut,"1,047 ",4 ,0.4 ,14 ,1.3 ,328 ,31.3 ,286 ,27.3 ,403 ,38.5 ,0 ,0.0 ,12 ,1.1 ,173 ,16.5 ,45 ,4.3 ,93 ,8.9 ,121 ,100.0 
Retained in grade 11,Delaware,293 ,1 to 3,1.0 ,5 ,1.7 ,38 ,13.0 ,136 ,46.4 ,106 ,36.2 ,0 ,0.0 ,5 ,1.7 ,72 ,24.6 ,8 ,2.7 ,9 ,3.1 ,31 ,100.0 
Retained in grade 11,District of Columbia,173 ,0 ,0.0 ,1 to 3,1.7 ,29 ,16.8 ,134 ,77.5 ,5 ,2.9 ,1 to 3,1.2 ,0 ,0.0 ,45 ,26.0 ,1 to 3,1.7 ,14 ,8.1 ,25 ,100.0 
Retained in grade 11,Florida,"9,097 ",45 ,0.5 ,138 ,1.5 ,"2,455 ",27.0 ,"2,753 ",30.3 ,"3,456 ",38.0 ,9 ,0.1 ,241 ,2.6 ,"1,858 ",20.4 ,339 ,3.7 ,758 ,8.3 ,357 ,100.0 
Retained in grade 11,Georgia,"5,675 ",11 ,0.2 ,138 ,2.4 ,693 ,12.2 ,"3,070 ",54.1 ,"1,608 ",28.3 ,9 ,0.2 ,146 ,2.6 ,796 ,14.0 ,177 ,3.1 ,228 ,4.0 ,395 ,100.0 
Retained in grade 11,Hawaii,502 ,5 ,1.0 ,146 ,29.1 ,33 ,6.6 ,12 ,2.4 ,58 ,11.6 ,212 ,42.2 ,36 ,7.2 ,101 ,20.1 ,17 ,3.4 ,50 ,10.0 ,52 ,100.0 
Retained in grade 11,Idaho,231 ,1 to 3,1.3 ,5 ,2.2 ,58 ,25.1 ,6 ,2.6 ,154 ,66.7 ,0 ,0.0 ,5 ,2.2 ,21 ,9.1 ,12 ,5.2 ,39 ,16.9 ,36 ,100.0 
Retained in grade 11,Illinois,"4,181 ",16 ,0.4 ,51 ,1.2 ,"1,500 ",35.9 ,"1,221 ",29.2 ,"1,306 ",31.2 ,4 ,0.1 ,83 ,2.0 ,758 ,18.1 ,95 ,2.3 ,244 ,5.8 ,345 ,99.4 
Retained in grade 11,Indiana,273 ,0 ,0.0 ,1 to 3,1.1 ,25 ,9.2 ,65 ,23.8 ,164 ,60.1 ,0 ,0.0 ,16 ,5.9 ,78 ,28.6 ,1 to 3,1.1 ,14 ,5.1 ,59 ,100.0 
Retained in grade 11,Iowa,268 ,1 to 3,0.4 ,6 ,2.2 ,26 ,9.7 ,16 ,6.0 ,210 ,78.4 ,0 ,0.0 ,9 ,3.4 ,42 ,15.7 ,13 ,4.9 ,11 ,4.1 ,42 ,100.0 
Retained in grade 11,Kansas,350 ,8 ,2.3 ,10 ,2.9 ,103 ,29.4 ,75 ,21.4 ,137 ,39.1 ,1 to 3,0.6 ,15 ,4.3 ,56 ,16.0 ,5 ,1.4 ,57 ,16.3 ,66 ,100.0 
Retained in grade 11,Kentucky,"1,096 ",1 to 3,0.1 ,8 ,0.7 ,62 ,5.7 ,335 ,30.6 ,671 ,61.2 ,0 ,0.0 ,19 ,1.7 ,113 ,10.3 ,12 ,1.1 ,18 ,1.6 ,147 ,100.0 
Retained in grade 11,Louisiana,"1,316 ",8 ,0.6 ,18 ,1.4 ,70 ,5.3 ,709 ,53.9 ,502 ,38.1 ,1 to 3,0.2 ,7 ,0.5 ,175 ,13.3 ,79 ,6.0 ,50 ,3.8 ,186 ,100.0 
Retained in grade 11,Maine,87 ,1 to 3,3.4 ,1 to 3,2.3 ,5 ,5.7 ,1 to 3,2.3 ,75 ,86.2 ,0 ,0.0 ,0 ,0.0 ,29 ,33.3 ,5 ,5.7 ,4 ,4.6 ,17 ,100.0 
Retained in grade 11,Maryland,"3,217 ",7 ,0.2 ,102 ,3.2 ,583 ,18.1 ,"1,824 ",56.7 ,630 ,19.6 ,1 to 3,0.1 ,68 ,2.1 ,639 ,19.9 ,118 ,3.7 ,148 ,4.6 ,187 ,100.0 
Retained in grade 11,Massachusetts,"1,223 ",9 ,0.7 ,46 ,3.8 ,334 ,27.3 ,208 ,17.0 ,592 ,48.4 ,0 ,0.0 ,34 ,2.8 ,318 ,26.0 ,63 ,5.2 ,160 ,13.1 ,197 ,100.0 
Retained in grade 11,Michigan,"2,383 ",34 ,1.4 ,29 ,1.2 ,209 ,8.8 ,758 ,31.8 ,"1,279 ",53.7 ,1 to 3,0.0 ,73 ,3.1 ,421 ,17.7 ,28 ,1.2 ,105 ,4.4 ,335 ,100.0 
Retained in grade 11,Minnesota,714 ,12 ,1.7 ,61 ,8.5 ,90 ,12.6 ,143 ,20.0 ,397 ,55.6 ,4 ,0.6 ,7 ,1.0 ,112 ,15.7 ,4 ,0.6 ,66 ,9.2 ,77 ,100.0 
Retained in grade 11,Mississippi,"1,203 ",4 ,0.3 ,13 ,1.1 ,29 ,2.4 ,859 ,71.4 ,295 ,24.5 ,1 to 3,0.1 ,1 to 3,0.2 ,80 ,6.7 ,5 ,0.4 ,12 ,1.0 ,163 ,100.0 
Retained in grade 11,Missouri,781 ,4 ,0.5 ,15 ,1.9 ,66 ,8.5 ,251 ,32.1 ,423 ,54.2 ,1 to 3,0.3 ,20 ,2.6 ,125 ,16.0 ,23 ,2.9 ,42 ,5.4 ,107 ,100.0 
Retained in grade 11,Montana,69 ,30 ,43.5 ,1 to 3,2.9 ,1 to 3,4.3 ,0 ,0.0 ,32 ,46.4 ,0 ,0.0 ,1 to 3,2.9 ,9 ,13.0 ,5 ,7.2 ,9 ,13.0 ,23 ,100.0 
Retained in grade 11,Nebraska,176 ,1 to 3,0.6 ,4 ,2.3 ,21 ,11.9 ,16 ,9.1 ,127 ,72.2 ,0 ,0.0 ,7 ,4.0 ,47 ,26.7 ,6 ,3.4 ,5 ,2.8 ,22 ,100.0 
Retained in grade 11,Nevada,279 ,12 ,4.3 ,8 ,2.9 ,69 ,24.7 ,19 ,6.8 ,160 ,57.3 ,1 to 3,0.7 ,9 ,3.2 ,57 ,20.4 ,1 to 3,0.7 ,16 ,5.7 ,43 ,100.0 
Retained in grade 11,New Hampshire,487 ,5 ,1.0 ,5 ,1.0 ,44 ,9.0 ,28 ,5.7 ,398 ,81.7 ,1 to 3,0.2 ,6 ,1.2 ,93 ,19.1 ,43 ,8.8 ,33 ,6.8 ,48 ,100.0 
Retained in grade 11,New Jersey,961 ,6 ,0.6 ,34 ,3.5 ,347 ,36.1 ,343 ,35.7 ,219 ,22.8 ,1 to 3,0.2 ,10 ,1.0 ,239 ,24.9 ,21 ,2.2 ,85 ,8.8 ,151 ,100.0 
Retained in grade 11,New Mexico,596 ,97 ,16.3 ,4 ,0.7 ,349 ,58.6 ,19 ,3.2 ,112 ,18.8 ,1 to 3,0.5 ,12 ,2.0 ,77 ,12.9 ,13 ,2.2 ,100 ,16.8 ,70 ,100.0 
Retained in grade 11,New York,"6,363 ",69 ,1.1 ,525 ,8.3 ,"2,659 ",41.8 ,"2,147 ",33.7 ,926 ,14.6 ,12 ,0.2 ,25 ,0.4 ,"1,363 ",21.4 ,57 ,0.9 ,984 ,15.5 ,659 ,100.0 
Retained in grade 11,North Carolina,"5,226 ",120 ,2.3 ,57 ,1.1 ,810 ,15.5 ,"2,063 ",39.5 ,"1,953 ",37.4 ,11 ,0.2 ,212 ,4.1 ,"1,104 ",21.1 ,121 ,2.3 ,236 ,4.5 ,453 ,100.0 
Retained in grade 11,North Dakota,40 ,9 ,22.5 ,1 to 3,5.0 ,4 ,10.0 ,6 ,15.0 ,17 ,42.5 ,0 ,0.0 ,1 to 3,5.0 ,7 ,17.5 ,0 ,0.0 ,1 to 3,5.0 ,15 ,100.0 
Retained in grade 11,Ohio,"3,235 ",6 ,0.2 ,30 ,0.9 ,207 ,6.4 ,"1,365 ",42.2 ,"1,484 ",45.9 ,1 to 3,0.1 ,141 ,4.4 ,631 ,19.5 ,54 ,1.7 ,99 ,3.1 ,254 ,100.0 
Retained in grade 11,Oklahoma,854 ,120 ,14.1 ,12 ,1.4 ,182 ,21.3 ,145 ,17.0 ,364 ,42.6 ,5 ,0.6 ,26 ,3.0 ,176 ,20.6 ,12 ,1.4 ,67 ,7.8 ,125 ,100.0 
Retained in grade 11,Oregon,"1,674 ",26 ,1.6 ,26 ,1.6 ,623 ,37.2 ,42 ,2.5 ,831 ,49.6 ,34 ,2.0 ,92 ,5.5 ,268 ,16.0 ,28 ,1.7 ,117 ,7.0 ,51 ,100.0 
Retained in grade 11,Pennsylvania,"2,399 ",5 ,0.2 ,44 ,1.8 ,416 ,17.3 ,687 ,28.6 ,"1,185 ",49.4 ,1 to 3,0.1 ,60 ,2.5 ,488 ,20.3 ,59 ,2.5 ,112 ,4.7 ,350 ,100.0 
Retained in grade 11,Rhode Island,228 ,1 to 3,1.3 ,5 ,2.2 ,73 ,32.0 ,37 ,16.2 ,103 ,45.2 ,0 ,0.0 ,7 ,3.1 ,57 ,25.0 ,13 ,5.7 ,14 ,6.1 ,33 ,100.0 
Retained in grade 11,South Carolina,"1,955 ",9 ,0.5 ,17 ,0.9 ,127 ,6.5 ,870 ,44.5 ,896 ,45.8 ,1 to 3,0.1 ,34 ,1.7 ,382 ,19.5 ,53 ,2.7 ,91 ,4.7 ,165 ,100.0 
Retained in grade 11,South Dakota,253 ,50 ,19.8 ,4 ,1.6 ,24 ,9.5 ,14 ,5.5 ,150 ,59.3 ,0 ,0.0 ,11 ,4.3 ,36 ,14.2 ,11 ,4.3 ,7 ,2.8 ,32 ,100.0 
