Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"9,824"	42.7	25	0.1	428	1.9	378	1.6	"1,197"	5.2	"7,618"	33.1	28	0.1	150	0.7	94	0.4	202	0.9	177	45	3	5
At least one AP course females	"13,161"	57.3	28	0.1	481	2.1	478	2.1	"2,208"	9.6	"9,693"	42.2	29	0.1	244	1.1	45	0.2	224	1	177	45	3	5
At least one AP course total	"22,985"	100	53	0.2	909	4	856	3.7	"3,405"	14.8	"17,311"	75.3	57	0.2	394	1.7	139	0.6	426	1.9	177	45	3	5
AP mathematics males	"2,599"	49.4	7	0.1	168	3.2	74	1.4	238	4.5	"2,058"	39.2	10	0.2	44	0.8	18	0.3	53	1	177	45	3	5
AP mathematics females	"2,657"	50.6	5	0.1	160	3	81	1.5	356	6.8	"2,010"	38.2	7	0.1	38	0.7	6	0.1	42	0.8	177	45	3	5
AP mathematics total	"5,256"	100	12	0.2	328	6.2	155	2.9	594	11.3	"4,068"	77.4	17	0.3	82	1.6	24	0.5	95	1.8	177	45	3	5
AP science males	"1,795"	47.9	4	0.1	141	3.8	49	1.3	163	4.3	"1,407"	37.5	7	0.2	24	0.6	10	0.3	41	1.1	177	45	3	5
AP science females	"1,956"	52.1	5	0.1	128	3.4	61	1.6	231	6.2	"1,505"	40.1	0	0	26	0.7	DS	0.1	37	1	177	45	3	5
AP science total	"3,751"	100	9	0.2	269	7.2	110	2.9	394	10.5	"2,912"	77.6	7	0.2	50	1.3	12	0.3	78	2.1	177	45	3	5
AP foreign language males	121	37.1	DS	0.6	14	4.3	15	4.6	9	2.8	79	24.2	0	0	DS	0.6	0	0	5	1.5	177	45	3	5
AP foreign language females	205	62.9	DS	0.6	15	4.6	27	8.3	11	3.4	146	44.8	0	0	4	1.2	DS	0.6	13	4	177	45	3	5
AP foreign language total	326	100	4	1.2	29	8.9	42	12.9	20	6.1	225	69	0	0	6	1.8	DS	0.6	18	5.5	177	45	3	5
Other AP subjects males	"7,953"	41.5	15	0.1	346	1.8	318	1.7	968	5.1	"6,165"	32.2	19	0.1	122	0.6	65	0.3	148	0.8	177	45	3	5
Other AP subjects females	"11,196"	58.5	21	0.1	383	2	383	2	"1,900"	9.9	"8,284"	43.3	26	0.1	199	1	34	0.2	180	0.9	177	45	3	5
Other AP subjects total	"19,149"	100	36	0.2	729	3.8	701	3.7	"2,868"	15	"14,449"	75.5	45	0.2	321	1.7	99	0.5	328	1.7	177	45	3	5
