,2000,2000,,2012,2012,,
,Total,Family,,Total,Family,,2000-2012
County,Population,Investment,Percentage,Population,Investment,Percentage,Change
Adair,"8,243",74,0.90%,"7,481",62,0.80%,-7.70%
Adams,"4,482",43,1.00%,"3,911",35,0.90%,-6.70%
Allamakee,"14,675",97,0.70%,"14,237",249,1.70%,164.60%
Appanoose,"13,721",491,3.60%,"12,700",269,2.10%,-40.80%
Audubon,"6,830",64,0.90%,"5,910",38,0.60%,-31.40%
Benton,"25,308",267,1.10%,"25,827",187,0.70%,-31.40%
Black Hawk,"128,012","4,235",3.30%,"131,820","2,452",1.90%,-43.80%
Boone,"26,224",212,0.80%,"26,195",287,1.10%,35.50%
Bremer,"23,325",201,0.90%,"24,479",99,0.40%,-53.10%
Buchanan,"21,093",260,1.20%,"20,942",140,0.70%,-45.80%
Buena Vista,"20,411",259,1.30%,"20,592",219,1.10%,-16.20%
Butler,"15,305",161,1.10%,"14,986",117,0.80%,-25.80%
Calhoun,"11,115",126,1.10%,"9,909",65,0.70%,-42.10%
Carroll,"21,421",170,0.80%,"20,631",146,0.70%,-10.80%
Cass,"14,684",220,1.50%,"13,723",153,1.10%,-25.60%
Cedar,"18,187",166,0.90%,"18,416",92,0.50%,-45.30%
Cerro Gordo,"46,447",619,1.30%,"43,788",374,0.90%,-35.90%
Cherokee,"13,035",157,1.20%,"11,946",61,0.50%,-57.60%
Chickasaw,"13,095",160,1.20%,"12,276",124,1.00%,-17.30%
Clarke,"9,133",163,1.80%,"9,370",130,1.40%,-22.30%
Clay,"17,372",212,1.20%,"16,599",214,1.30%,5.60%
Clayton,"18,678",100,0.50%,"17,835",120,0.70%,25.70%
Clinton,"50,149","1,372",2.70%,"48,717",965,2.00%,-27.60%
Crawford,"16,942",238,1.40%,"17,309",294,1.70%,20.90%
Dallas,"40,750",252,0.60%,"71,967",278,0.40%,-37.50%
Davis,"8,541",91,1.10%,"8,689",76,0.90%,-17.90%
Decatur,"8,689",161,1.90%,"8,253",112,1.40%,-26.80%
Delaware,"18,404",207,1.10%,"17,574",133,0.80%,-32.70%
Des Moines,"42,351","1,291",3.00%,"40,340",817,2.00%,-33.60%
Dickinson,"16,424",130,0.80%,"16,972",104,0.60%,-22.60%
Dubuque,"89,143","1,293",1.50%,"95,097","1,395",1.50%,1.10%
Emmet,"11,027",111,1.00%,"10,120",149,1.50%,46.30%
Fayette,"22,008",458,2.10%,"20,793",276,1.30%,-36.20%
Floyd,"16,900",301,1.80%,"16,056",192,1.20%,-32.90%
Franklin,"10,704",94,0.90%,"10,554",117,1.10%,26.20%
Fremont,"8,010",181,2.30%,"7,147",74,1.00%,-54.20%
Greene,"10,366",148,1.40%,"9,153",108,1.20%,-17.40%
Grundy,"12,369",66,0.50%,"12,448",59,0.50%,-11.20%
Guthrie,"11,353",134,1.20%,"10,777",71,0.70%,-44.20%
Hamilton,"16,438",183,1.10%,"15,344",154,1.00%,-9.80%
Hancock,"12,100",88,0.70%,"11,134",70,0.60%,-13.60%
Hardin,"18,812",239,1.30%,"17,302",252,1.50%,14.60%
