Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"47,951","41,692","39,931","33,754","27,290","25,411","24,505",24,3,5
Violent Crime Index,"3,683","3,244","2,981","2,128","1,763",N/A,N/A,24,3,5
Murder/nonneg. mans.,31,38,22,11,13,14,16,24,3,5
Rape,52,55,47,37,41,N/A,N/A,24,3,5
Robbery,"1,964","1,755","1,561",983,876,"1,091","1,079",24,3,5
Aggravated assault,"1,636","1,396","1,351","1,097",833,832,947,24,3,5
Property Crime Index,"12,531","11,070","9,704","8,410","6,931","6,389","6,351",24,3,5
Burglary,"2,345","1,871","1,652","1,530","1,294","1,220","1,191",24,3,5
Larceny-theft,"8,452","7,978","7,139","6,106","5,042","4,500","4,390",24,3,5
Motor vehicle theft,"1,406",953,735,605,461,502,627,24,3,5
Arson,328,268,178,169,134,167,143,24,3,5
Other assaults,"7,902","6,939","7,008","6,058","5,110","4,887","4,893",24,3,5
Forgery and counterfeiting,41,29,25,41,49,32,44,24,3,5
Fraud,78,61,46,62,35,61,54,24,3,5
Embezzlement,44,14,16,10,5,5,7,24,3,5
Stolen property,31,23,13,20,7,9,15,24,3,5
Vandalism,"2,051","1,664","1,551","1,356","1,154","1,010","1,023",24,3,5
Weapons,"1,393","1,086","1,087",878,647,589,637,24,3,5
Prostitution/<br>commercialized vice,12,23,18,15,15,5,15,24,3,5
Sex offenses (other),295,284,263,245,204,N/A,N/A,24,3,5
Drug abuse violations,"7,698","6,538","6,016","4,786","3,703","3,259","2,963",24,3,5
Gambling,43,60,29,20,19,13,52,24,3,5
Offenses against family,38,40,22,15,6,17,18,24,3,5
Driving under influence,216,202,140,129,106,98,97,24,3,5
Liquor laws,"1,227","1,229","1,302","1,022",862,664,598,24,3,5
Drunkenness,8,0,0,0,0,2,2,24,3,5
Disorderly conduct,"2,230","2,112","1,877","1,567","1,204","1,125","1,240",24,3,5
Vagrancy,52,18,11,12,11,13,28,24,3,5
All other offenses,"7,505","6,386","6,118","5,373","4,212","3,939","3,700",24,3,5
Curfew and loitering,236,226,322,211,216,226,152,24,3,5
Runaways,637,444,"1,382","1,396","1,031",934,339,24,3,5
Population Ages 10 to 17,"627,300","621,900","619,400","613,900","609,300","613,900","618,800",24,3,5
