,2000,2000,,2016,,2016,
,Ninth Grade,,,Ninth Grade,,,2000-2016
County,Enrollment,Graduates,Percentage,Enrollment,Graduates,Percentage,Change
,,,,,,,
Adair,98,86,87.80%,55,54,98.20%,11.90%
Adams,54,50,92.60%,45,43,95.60%,3.20%
Allamakee,226,212,93.80%,160,153,95.60%,1.90%
Appanoose,191,155,81.20%,144,133,92.40%,13.80%
Audubon,71,65,91.50%,56,55,98.20%,7.30%
Benton,305,276,90.50%,276,252,91.30%,0.90%
Black Hawk,"1,509","1,177",78.00%,"1,317","1,127",85.60%,9.70%
Boone,327,288,88.10%,282,262,92.90%,5.50%
Bremer,450,416,92.40%,457,431,94.30%,2.00%
Buchanan,305,283,92.80%,200,189,94.50%,1.80%
Buena Vista,341,311,91.20%,278,213,76.60%,-16.00%
Butler,176,172,97.70%,153,145,94.80%,-3.00%
Calhoun,184,172,93.50%,110,105,95.50%,2.10%
Carroll,244,239,98.00%,217,210,96.80%,-1.20%
Cass,257,235,91.40%,201,176,87.60%,-4.20%
Cedar,286,271,94.80%,243,221,90.90%,-4.00%
Cerro Gordo,498,442,88.80%,417,391,93.80%,5.60%
Cherokee,186,171,91.90%,110,101,91.80%,-0.10%
Chickasaw,214,203,94.90%,83,76,91.60%,-3.50%
Clarke,137,117,85.40%,112,105,93.80%,9.80%
Clay,221,211,95.50%,168,158,94.00%,-1.50%
Clayton,326,312,95.70%,170,154,90.60%,-5.30%
Clinton,727,614,84.50%,603,549,91.00%,7.80%
Crawford,185,179,96.80%,220,198,90.00%,-7.00%
Dallas,561,510,90.90%,"1,078","1,062",98.50%,8.40%
Davis,109,95,87.20%,95,89,93.70%,7.50%
Decatur,116,99,85.30%,59,57,96.60%,13.20%
Delaware,322,292,90.70%,223,220,98.70%,8.80%
Des Moines,533,485,91.00%,428,342,79.90%,-12.20%
Dickinson,246,224,91.10%,192,178,92.70%,1.80%
Dubuque,"1,075",978,91.00%,"1,003",921,91.80%,0.90%
Emmet,175,162,92.60%,127,118,92.90%,0.40%
Fayette,366,346,94.50%,227,217,95.60%,1.10%
Floyd,255,223,87.50%,151,148,98.00%,12.10%
Franklin,197,184,93.40%,85,80,94.10%,0.80%
Fremont,96,92,95.80%,66,62,93.90%,-2.00%
Greene,179,170,95.00%,112,108,96.40%,1.50%
Grundy,164,149,90.90%,203,200,98.50%,8.40%
Guthrie,204,192,94.10%,202,196,97.00%,3.10%
Hamilton,222,213,95.90%,192,183,95.30%,-0.70%
Hancock,213,197,92.50%,139,129,92.80%,0.30%
Hardin,354,332,93.80%,179,172,96.10%,2.50%
Harrison,299,280,93.60%,191,181,94.80%,1.20%
Henry,327,307,93.90%,258,238,92.20%,-1.70%
Howard,199,189,95.00%,117,110,94.00%,-1.00%
Humboldt,156,150,96.20%,99,87,87.90%,-8.60%
Ida,117,114,97.40%,119,113,95.00%,-2.50%
Iowa,222,216,97.30%,201,187,93.00%,-4.40%
Jackson,310,278,89.70%,216,198,91.70%,2.20%
Jasper,490,387,79.00%,386,356,92.20%,16.80%
Jefferson,168,144,85.70%,132,112,84.80%,-1.00%
Johnson,945,883,93.40%,"1,169","1,088",93.10%,-0.40%
Jones,279,253,90.70%,212,193,91.00%,0.40%
Keokuk,193,182,94.30%,122,115,94.30%,0.00%
,Ninth Grade,,,Ninth Grade,,,2000-2016
County,Enrollment,Graduates,Percentage,Enrollment,Graduates,Percentage,Change
Kossuth,207,199,96.10%,121,111,91.70%,-4.60%
Lee,505,429,85.00%,393,357,90.80%,6.90%
Linn,"2,104","1,946",92.50%,"2,489","2,214",89.00%,-3.80%
Louisa,221,175,79.20%,190,166,87.40%,10.30%
Lucas,136,112,82.40%,103,101,98.10%,19.10%
Lyon,192,186,96.90%,128,121,94.50%,-2.40%
Madison,192,184,95.80%,243,237,97.50%,1.80%
Mahaska,267,221,82.80%,189,159,84.10%,1.60%
Marion,428,378,88.30%,404,385,95.30%,7.90%
Marshall,473,434,91.80%,468,407,87.00%,-5.20%
Mills,210,189,90.00%,190,187,98.40%,9.40%
Mitchell,162,148,91.40%,129,127,98.40%,7.80%
Monona,145,130,89.70%,104,99,95.20%,6.20%
Monroe,106,98,92.50%,90,87,96.70%,4.60%
Montgomery,160,139,86.90%,96,89,92.70%,6.70%
Muscatine,678,498,73.50%,478,404,84.50%,15.10%
O'Brien,231,207,89.60%,162,147,90.70%,1.30%
Osceola,75,72,96.00%,58,51,87.90%,-8.40%
Page,237,206,86.90%,207,201,97.10%,11.70%
Palo Alto,162,156,96.30%,125,123,98.40%,2.20%
Plymouth,359,342,95.30%,331,319,96.40%,1.20%
Pocahontas,107,101,94.40%,91,83,91.20%,-3.40%
Polk,"3,952","3,343",84.60%,"5,029","4,516",89.80%,6.20%
Pottawattamie,971,840,86.50%,"1,083",982,90.70%,4.80%
Poweshiek,230,216,93.90%,192,179,93.20%,-0.70%
Ringgold,85,81,95.30%,41,40,97.60%,2.40%
Sac,200,193,96.50%,74,70,94.60%,-2.00%
Scott,"2,097","1,831",87.30%,"1,938","1,715",88.50%,1.30%
Shelby,219,207,94.50%,158,151,95.60%,1.10%
Sioux,362,345,95.30%,321,308,96.00%,0.70%
Story,896,850,94.90%,725,691,95.30%,0.50%
Tama,272,238,87.50%,161,153,95.00%,8.60%
Taylor,98,91,92.90%,73,71,97.30%,4.70%
Union,221,173,78.30%,165,156,94.50%,20.80%
Van Buren,119,113,95.00%,58,54,93.10%,-2.00%
Wapello,562,428,76.20%,396,335,84.60%,11.10%
Warren,584,517,88.50%,734,697,95.00%,7.30%
Washington,238,218,91.60%,236,197,83.50%,-8.90%
Wayne,76,67,88.20%,51,47,92.20%,4.50%
Webster,418,341,81.60%,338,295,87.30%,7.00%
Winnebago,228,209,91.70%,160,150,93.80%,2.30%
Winneshiek,247,238,96.40%,233,232,99.60%,3.30%
Woodbury,"1,390","1,140",82.00%,"1,165","1,044",89.60%,9.30%
Worth,92,80,87.00%,108,103,95.40%,9.70%
Wright,235,212,90.20%,149,141,94.60%,4.90%
,,,,,,,
State,"37,759","33,504",88.70%,"34,437","31,463",91.40%,3.00%
,,,,,,,
Rural,"7,424","6,862",92.40%,"5,244","4,937",94.10%,1.90%
Small Urban,"15,396","13,654",88.70%,"13,275","12,228",92.10%,3.90%
Metropolitan,"14,939","12,988",86.90%,"15,918","14,298",89.80%,3.30%
,,,,,,,
United States,"3,561,847","2,553,844",71.70%,"3,840,000","3,187,000",83.00%,15.80%
