Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"44,862"	44.5	106	0.1	"4,805"	4.8	"7,057"	7	"4,051"	4	"27,626"	27.4	41	0	"1,176"	1.2	728	0.7	160	0.2	447	17	2	3
At least one AP course females	"55,966"	55.5	143	0.1	"5,198"	5.2	"9,596"	9.5	"7,078"	7	"32,366"	32.1	75	0.1	"1,510"	1.5	485	0.5	204	0.2	447	17	2	3
At least one AP course total	"100,828"	100	249	0.2	"10,003"	9.9	"16,653"	16.5	"11,129"	11	"59,992"	59.5	116	0.1	"2,686"	2.7	"1,213"	1.2	364	0.4	447	17	2	3
AP mathematics males	"13,118"	52.6	16	0.1	"1,838"	7.4	"1,399"	5.6	703	2.8	"8,815"	35.3	12	0	335	1.3	155	0.6	28	0.1	447	17	2	3
AP mathematics females	"11,822"	47.4	22	0.1	"1,572"	6.3	"1,276"	5.1	"1,028"	4.1	"7,604"	30.5	15	0.1	305	1.2	58	0.2	24	0.1	447	17	2	3
AP mathematics total	"24,940"	100	38	0.2	"3,410"	13.7	"2,675"	10.7	"1,731"	6.9	"16,419"	65.8	27	0.1	640	2.6	213	0.9	52	0.2	447	17	2	3
AP science males	"11,663"	48.9	24	0.1	"1,986"	8.3	"1,492"	6.3	666	2.8	"7,162"	30	10	0	323	1.4	142	0.6	32	0.1	447	17	2	3
AP science on females	"12,208"	51.1	31	0.1	"1,816"	7.6	"1,715"	7.2	"1,141"	4.8	"7,159"	30	24	0.1	322	1.3	74	0.3	29	0.1	447	17	2	3
AP science total	"23,871"	100	55	0.2	"3,802"	15.9	"3,207"	13.4	"1,807"	7.6	"14,321"	60	34	0.1	645	2.7	216	0.9	61	0.3	447	17	2	3
AP foreign language males	"3,271"	36.8	6	0.1	354	4	"1,140"	12.8	98	1.1	"1,579"	17.7	DS	0	92	1	35	0.4	68	0.8	447	17	2	3
AP foreign language females	"5,626"	63.2	19	0.2	542	6.1	"1,994"	22.4	239	2.7	"2,675"	30.1	5	0.1	152	1.7	44	0.5	96	1.1	447	17	2	3
AP foreign language total	"8,897"	100	25	0.3	896	10.1	"3,134"	35.2	337	3.8	"4,254"	47.8	7	0.1	244	2.7	79	0.9	164	1.8	447	17	2	3
Other AP subjects males	"34,148"	43	77	0.1	"3,742"	4.7	"5,362"	6.8	"3,339"	4.2	"20,704"	26.1	30	0	894	1.1	472	0.6	46	0.1	447	17	2	3
Other AP subjects females	"45,185"	57	111	0.1	"4,366"	5.5	"7,398"	9.3	"5,796"	7.3	"26,236"	33.1	61	0.1	"1,217"	1.5	325	0.4	62	0.1	447	17	2	3
Other AP subjects total	"79,333"	100	188	0.2	"8,108"	10.2	"12,760"	16.1	"9,135"	11.5	"46,940"	59.2	91	0.1	"2,111"	2.7	797	1	108	0.1	447	17	2	3
