Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	68	94.4	0	0	0	0	0	0	0	0	66	91.7	0	0	DS	2.8	0	0	478	33	1	1
Corporal punishment on females	4	5.6	0	0	0	0	0	0	0	0	4	5.6	0	0	0	0	0	0	478	33	1	1
Corporal punishment total	72	100	0	0	0	0	0	0	0	0	70	97.2	0	0	DS	2.8	0	0	478	33	1	1
One or more in-school suspensions on males	"4,387"	68.2	18	0.3	45	0.7	221	3.4	174	2.7	"3,900"	60.6	0	0	29	0.5	72	1.1	478	33	1	1
One or more in-school suspensions on females	"2,044"	31.8	18	0.3	18	0.3	113	1.8	79	1.2	"1,792"	27.9	0	0	24	0.4	50	0.8	478	33	1	1
One or more in-school suspensions total	"6,431"	100	36	0.6	63	1	334	5.2	253	3.9	"5,692"	88.5	0	0	53	0.8	122	1.9	478	33	1	1
Only one out-of-school suspension on males	"2,566"	70.8	4	0.1	35	1	95	2.6	110	3	"2,298"	63.4	DS	0.1	22	0.6	55	1.5	478	33	1	1
Only one out-of-school suspension on females	"1,056"	29.2	DS	0.1	10	0.3	47	1.3	55	1.5	932	25.7	DS	0.1	8	0.2	34	0.9	478	33	1	1
Only one out-of-school suspension total	"3,622"	100	6	0.2	45	1.2	142	3.9	165	4.6	"3,230"	89.2	4	0.1	30	0.8	89	2.5	478	33	1	1
More than one out-of-school suspension on males	"2,020"	69.1	5	0.2	30	1	156	5.3	132	4.5	"1,688"	57.7	DS	0.1	7	0.2	82	2.8	478	33	1	1
More than one out-of-school suspension on females	905	30.9	5	0.2	5	0.2	65	2.2	62	2.1	760	26	0	0	8	0.3	38	1.3	478	33	1	1
More than one out-of-school suspension total	"2,925"	100	10	0.3	35	1.2	221	7.6	194	6.6	"2,448"	83.7	DS	0.1	15	0.5	120	4.1	478	33	1	1
One or more out-of-school suspensions on males	"4,597"	70.1	9	0.1	67	1	254	3.9	246	3.8	"3,991"	60.9	DS	0	28	0.4	137	2.1	478	33	1	1
One or more out-of-school suspensions on females	"1,960"	29.9	8	0.1	15	0.2	114	1.7	118	1.8	"1,687"	25.7	DS	0	16	0.2	72	1.1	478	33	1	1
One or more out-of-school suspensions total	"6,557"	100	17	0.3	82	1.3	368	5.6	364	5.6	"5,678"	86.6	4	0.1	44	0.7	209	3.2	478	33	1	1
Expulsions with educational services on males	13	72.2	0	0	DS	11.1	DS	11.1	DS	11.1	7	38.9	0	0	0	0	DS	11.1	478	33	1	1
Expulsions with educational services on females	5	27.8	0	0	0	0	0	0	0	0	5	27.8	0	0	0	0	0	0	478	33	1	1
Expulsions with educational services total	18	100	0	0	DS	11.1	DS	11.1	DS	11.1	12	66.7	0	0	0	0	DS	11.1	478	33	1	1
Expulsions without educational services on males	6	60	0	0	0	0	DS	20	DS	20	DS	20	0	0	0	0	0	0	478	33	1	1
Expulsions without educational services on females	4	40	0	0	0	0	DS	20	DS	20	0	0	0	0	0	0	0	0	478	33	1	1
Expulsions without educational services total	10	100	0	0	0	0	4	40	4	40	DS	20	0	0	0	0	0	0	478	33	1	1
Expulsions with or without educational services on males	16	64	0	0	DS	8	DS	8	DS	8	10	40	0	0	0	0	DS	8	478	33	1	1
Expulsions with or without educational services on females	9	36	0	0	0	0	DS	8	DS	8	5	20	0	0	0	0	0	0	478	33	1	1
Expulsions with or without educational services total	25	100	0	0	DS	8	4	16	4	16	15	60	0	0	0	0	DS	8	478	33	1	1
Expulsions under zero-tolerance policies on males	6	60	0	0	0	0	DS	20	DS	20	DS	20	0	0	0	0	DS	20	478	33	1	1
Expulsions under zero-tolerance policies on females	4	40	0	0	0	0	0	0	DS	20	0	0	0	0	DS	20	0	0	478	33	1	1
Expulsions under zero-tolerance policies total	10	100	0	0	0	0	DS	20	4	40	DS	20	0	0	DS	20	DS	20	478	33	1	1
Referral to law enforcement on males	869	70.7	DS	0.2	10	0.8	31	2.5	19	1.5	789	64.1	DS	0.2	16	1.3	10	0.8	478	33	1	1
Referral to law enforcement on females	361	29.3	DS	0.2	DS	0.2	18	1.5	7	0.6	330	26.8	0	0	DS	0.2	DS	0.2	478	33	1	1
Referral to law enforcement total	"1,230"	100	4	0.3	12	1	49	4	26	2.1	"1,119"	91	DS	0.2	18	1.5	12	1	478	33	1	1
School-related arrests on males	148	67	DS	0.9	DS	0.9	11	5	6	2.7	125	56.6	DS	0.9	0	0	DS	0.9	478	33	1	1
School-related arrests on females	73	33	DS	0.9	0	0	12	5.4	4	1.8	53	24	0	0	DS	0.9	0	0	478	33	1	1
School-related arrests total	221	100	4	1.8	DS	0.9	23	10.4	10	4.5	178	80.5	DS	0.9	DS	0.9	DS	0.9	478	33	1	1
