,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Arkansas,,Male,"2,289 ",55.9 ,10 ,0.2 ,29 ,0.7 ,273 ,6.7 ,932 ,22.8 ,991 ,24.2 ,14 ,0.3 ,40 ,1.0 ,358 ,8.7 ,20 ,0.5 ,222 ,5.4 ,486 ,100.0 
Retention of students,Arkansas,Kindergarten,Female,"1,803 ",44.1 ,1-3 ,0.0 ,17 ,0.4 ,239 ,5.8 ,847 ,20.7 ,662 ,16.2 ,8 ,0.2 ,28 ,0.7 ,158 ,3.9 ,6 ,0.1 ,195 ,4.8 ,486 ,100.0 
Retention of students,Arkansas,,Total,"4,092 ",100.0 ,12 ,0.3 ,46 ,1.1 ,512 ,12.5 ,"1,779 ",43.5 ,"1,653 ",40.4 ,22 ,0.5 ,68 ,1.7 ,516 ,12.6 ,26 ,0.6 ,417 ,10.2 ,486 ,100.0 
Retention of students,Arkansas,,Male,"1,897 ",53.4 ,4 ,0.1 ,23 ,0.6 ,217 ,6.1 ,891 ,25.1 ,726 ,20.5 ,6 ,0.2 ,30 ,0.8 ,245 ,6.9 ,23 ,0.6 ,186 ,5.2 ,491 ,100.0 
Retention of students,Arkansas,1,Female,"1,653 ",46.6 ,5 ,0.1 ,28 ,0.8 ,184 ,5.2 ,812 ,22.9 ,603 ,17.0 ,5 ,0.1 ,16 ,0.5 ,122 ,3.4 ,13 ,0.4 ,170 ,4.8 ,491 ,100.0 
Retention of students,Arkansas,,Total,"3,550 ",100.0 ,9 ,0.3 ,51 ,1.4 ,401 ,11.3 ,"1,703 ",48.0 ,"1,329 ",37.4 ,11 ,0.3 ,46 ,1.3 ,367 ,10.3 ,36 ,1.0 ,356 ,10.0 ,491 ,100.0 
Retention of students,Arkansas,,Male,"1,505 ",52.5 ,6 ,0.2 ,29 ,1.0 ,172 ,6.0 ,813 ,28.4 ,460 ,16.1 ,5 ,0.2 ,20 ,0.7 ,232 ,8.1 ,19 ,0.7 ,171 ,6.0 ,493 ,100.0 
