Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"	24	3	5
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"	24	3	5
Corporal punishment total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"	24	3	5
One or more in-school suspensions on males	"3,041"	78.9	338	8.8	"2,703"	70.1	10	0.3	15	0.4	166	4.9	"1,345"	39.4	"1,046"	30.6	15	0.4	106	3.1	32	0.8	"1,444"	24	3	5
One or more in-school suspensions on females	815	21.1	103	2.7	712	18.5	DS	0.1	4	0.1	50	1.5	371	10.9	253	7.4	5	0.1	27	0.8	10	0.3	"1,444"	24	3	5
One or more in-school suspensions total	"3,856"	100	441	11.4	"3,415"	88.6	12	0.4	19	0.6	216	6.3	"1,716"	50.2	"1,299"	38	20	0.6	133	3.9	42	1.1	"1,444"	24	3	5
Only one out-of-school suspension on males	"5,408"	77.3	364	5.2	"5,044"	72.1	20	0.3	37	0.6	374	5.7	"2,964"	45.4	"1,486"	22.8	24	0.4	139	2.1	60	0.9	"1,444"	24	3	5
Only one out-of-school suspension on females	"1,591"	22.7	111	1.6	"1,480"	21.1	6	0.1	5	0.1	95	1.5	955	14.6	374	5.7	4	0.1	41	0.6	11	0.2	"1,444"	24	3	5
Only one out-of-school suspension total	"6,999"	100	475	6.8	"6,524"	93.2	26	0.4	42	0.6	469	7.2	"3,919"	60.1	"1,860"	28.5	28	0.4	180	2.8	71	1	"1,444"	24	3	5
More than one out-of-school suspension on males	"3,841"	80.4	234	4.9	"3,607"	75.5	11	0.2	21	0.5	210	4.7	"2,368"	52.8	878	19.6	17	0.4	102	2.3	39	0.8	"1,444"	24	3	5
