,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students with disabilities served under IDEA subjected to restraint or seclusion, by race/ethnicity and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,,,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,10 ,83.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,8 ,66.7 ,0 ,0.0 ,1-3 ,16.7 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Mechanical restraint,Female,1-3 ,16.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,16.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,12 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,10 ,83.3 ,0 ,0.0 ,1-3 ,16.7 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,215 ,82.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.8 ,20 ,7.7 ,187 ,71.6 ,0 ,0.0 ,6 ,2.3 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Physical restraint,Female,46 ,17.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.8 ,44 ,16.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,261 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.8 ,22 ,8.4 ,231 ,88.5 ,0 ,0.0 ,6 ,2.3 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,70 ,79.5 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.3 ,4 ,4.5 ,64 ,72.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Seclusion,Female,18 ,20.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.3 ,16 ,18.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,88 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.3 ,6 ,6.8 ,80 ,90.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 12 public school students with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to mechanical restraint, 0 (0.0%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,
