Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent or Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"3,817"	76.2	DS	0	"3,815"	76.1	21	0.4	6	0.1	72	1.4	733	14.6	"2,939"	58.7	7	0.1	37	0.7	18	0.4	"2,312"	27	2	4
Corporal punishment on females	"1,195"	23.8	0	0	"1,195"	23.8	4	0.1	DS	0	13	0.3	292	5.8	874	17.4	0	0	10	0.2	4	0.1	"2,312"	27	2	4
Corporal punishment total	"5,012"	100	DS	0	"5,010"	100	25	0.5	8	0.2	85	1.7	"1,025"	20.5	"3,813"	76.1	7	0.1	47	0.9	22	0.4	"2,312"	27	2	4
One or more in-school suspensions on males	"66,803"	68.2	412	0.4	"66,391"	67.8	292	0.3	416	0.4	"2,638"	2.7	"17,289"	17.7	"44,507"	45.7	113	0.1	"1,136"	1.2	916	0.9	"2,312"	27	2	4
One or more in-school suspensions on females	"31,151"	31.8	131	0.1	"31,020"	31.7	158	0.2	173	0.2	"1,191"	1.2	"11,001"	11.3	"17,872"	18.3	53	0.1	572	0.6	371	0.4	"2,312"	27	2	4
One or more in-school suspensions total	"97,954"	100	543	0.6	"97,411"	99.4	450	0.5	589	0.6	"3,829"	3.9	"28,290"	29	"62,379"	64	166	0.2	"1,708"	1.8	"1,287"	1.3	"2,312"	27	2	4
Only one out-of-school suspension on males	"24,731"	68.6	113	0.3	"24,618"	68.2	113	0.3	174	0.5	"1,068"	3	"9,177"	25.5	"13,638"	38	35	0.1	413	1.1	537	1.5	"2,312"	27	2	4
Only one out-of-school suspension on females	"11,343"	31.4	27	0.1	"11,316"	31.4	54	0.2	66	0.2	451	1.3	"5,767"	16	"4,782"	13.3	11	0	185	0.5	210	0.6	"2,312"	27	2	4
Only one out-of-school suspension total	"36,074"	100	140	0.4	"35,934"	99.6	167	0.5	240	0.7	"1,519"	4.2	"14,944"	41.6	"18,420"	51.3	46	0.1	598	1.7	747	2.1	"2,312"	27	2	4
More than one out-of-school suspension on males	"20,947"	71.2	107	0.4	"20,840"	70.9	84	0.3	71	0.2	665	2.3	"10,296"	35.2	"9,406"	32.1	14	0	304	1	324	1.1	"2,312"	27	2	4
More than one out-of-school suspension on females	"8,461"	28.8	28	0.1	"8,433"	28.7	33	0.1	28	0.1	223	0.8	"5,556"	19	"2,442"	8.3	10	0	141	0.5	108	0.4	"2,312"	27	2	4
More than one out-of-school suspension total	"29,408"	100	135	0.5	"29,273"	99.5	117	0.4	99	0.3	888	3	"15,852"	54.2	"11,848"	40.5	24	0.1	445	1.5	432	1.5	"2,312"	27	2	4
One or more out-of-school suspensions on males	"45,667"	69.8	220	0.3	"45,447"	69.4	198	0.3	247	0.4	"1,733"	2.7	"19,459"	29.9	"23,047"	35.4	50	0.1	713	1.1	863	1.3	"2,312"	27	2	4
One or more out-of-school suspensions on females	"19,796"	30.2	55	0.1	"19,741"	30.2	87	0.1	94	0.1	679	1	"11,308"	17.3	"7,226"	11.1	19	0	328	0.5	319	0.5	"2,312"	27	2	4
One or more out-of-school suspensions total	"65,463"	100	275	0.4	"65,188"	99.6	285	0.4	341	0.5	"2,412"	3.7	"30,767"	47.2	"30,273"	46.4	69	0.1	"1,041"	1.6	"1,182"	1.8	"2,312"	27	2	4
Expulsions with educational services on males	538	72.6	DS	0.3	536	72.3	12	1.6	4	0.5	16	2.2	114	15.4	375	50.7	0	0	15	2	0	0	"2,312"	27	2	4
Expulsions with educational services on females	203	27.4	0	0	203	27.4	4	0.5	DS	0.3	15	2	48	6.5	126	17.1	0	0	8	1.1	DS	0.3	"2,312"	27	2	4
Expulsions with educational services total	741	100	DS	0.3	739	99.7	16	2.2	6	0.8	31	4.2	162	21.9	501	67.8	0	0	23	3.1	DS	0.3	"2,312"	27	2	4
Expulsions without educational services on males	583	75.3	DS	0.3	581	75.1	DS	0.3	DS	0.3	17	2.2	53	6.9	503	65.3	0	0	4	0.5	0	0	"2,312"	27	2	4
Expulsions without educational services on females	191	24.7	DS	0.3	189	24.4	DS	0.3	0	0	7	0.9	30	3.9	148	19.2	0	0	DS	0.3	0	0	"2,312"	27	2	4
Expulsions without educational services total	774	100	4	0.5	770	99.5	4	0.5	DS	0.3	24	3.1	83	10.8	651	84.5	0	0	6	0.8	0	0	"2,312"	27	2	4
Expulsions with or without educational services on males	"1,119"	73.9	DS	0.1	"1,117"	73.8	15	1	4	0.3	31	2.1	169	11.2	881	58.3	0	0	17	1.1	0	0	"2,312"	27	2	4
Expulsions with or without educational services on females	395	26.1	DS	0.1	393	26	8	0.5	DS	0.1	22	1.5	78	5.2	273	18.1	0	0	10	0.7	DS	0.1	"2,312"	27	2	4
Expulsions with or without educational services total	"1,514"	100	4	0.3	"1,510"	99.7	23	1.5	6	0.4	53	3.5	247	16.4	"1,154"	76.4	0	0	27	1.8	DS	0.1	"2,312"	27	2	4
Expulsions under zero-tolerance policies on males	379	74.6	0	0	379	74.6	DS	0.4	4	0.8	8	1.6	17	3.3	334	65.7	0	0	14	2.8	0	0	"2,312"	27	2	4
Expulsions under zero-tolerance policies on females	129	25.4	0	0	129	25.4	0	0	DS	0.4	12	2.4	4	0.8	103	20.3	0	0	8	1.6	0	0	"2,312"	27	2	4
Expulsions under zero-tolerance policies total	508	100	0	0	508	100	DS	0.4	6	1.2	20	3.9	21	4.1	437	86	0	0	22	4.3	0	0	"2,312"	27	2	4
Referral to law enforcement on males	"3,495"	71.5	14	0.3	"3,481"	71.2	9	0.2	14	0.3	101	2.1	762	15.6	"2,540"	52.1	DS	0	53	1.1	17	0.3	"2,312"	27	2	4
Referral to law enforcement on females	"1,392"	28.5	DS	0	"1,390"	28.4	8	0.2	4	0.1	26	0.5	395	8.1	935	19.2	DS	0	20	0.4	DS	0	"2,312"	27	2	4
Referral to law enforcement total	"4,887"	100	16	0.3	"4,871"	99.7	17	0.3	18	0.4	127	2.6	"1,157"	23.8	"3,475"	71.3	4	0.1	73	1.5	19	0.4	"2,312"	27	2	4
School-related arrests on males	860	70.5	4	0.3	856	70.2	DS	0.2	7	0.6	25	2.1	287	23.6	521	42.8	0	0	14	1.2	4	0.3	"2,312"	27	2	4
School-related arrests on females	360	29.5	0	0	360	29.5	0	0	DS	0.2	6	0.5	165	13.6	183	15	DS	0.2	DS	0.2	4	0.3	"2,312"	27	2	4
School-related arrests total	"1,220"	100	4	0.3	"1,216"	99.7	DS	0.2	9	0.7	31	2.5	452	37.2	704	57.9	DS	0.2	16	1.3	8	0.7	"2,312"	27	2	4
