State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"6,755"	87	1.3	94	1.4	643	9.5	"1,913"	28.3	"3,798"	56.2	8	0.1	212	3.1	84	1.2	"95,635"
Alabama		1	3	6	121	0	0	0	0	0	0	55	45.5	64	52.9	0	0	DS	1.7	0	0	"1,432"
Alaska		2	4	9	6	DS	33.3	0	0	0	0	0	0	4	66.7	0	0	0	0	0	0	493
Arizona		4	4	8	91	7	7.7	DS	2.2	17	18.7	14	15.4	47	51.6	DS	2.2	DS	2.2	DS	2.2	"1,920"
Arkansas		5	3	7	22	0	0	0	0	0	0	7	31.8	13	59.1	0	0	DS	9.1	0	0	"1,097"
California		6	4	9	226	DS	0.9	17	7.5	65	28.8	40	17.7	90	39.8	DS	0.9	10	4.4	14	6.2	"9,866"
Colorado		8	4	8	38	0	0	DS	5.3	8	21.1	5	13.2	21	55.3	0	0	DS	5.3	DS	5.3	"1,811"
Connecticut		9	1	1	158	0	0	8	5.1	27	17.1	47	29.7	74	46.8	0	0	DS	1.3	DS	1.3	"1,122"
Delaware		10	3	5	14	0	0	DS	14.3	DS	14.3	6	42.9	DS	14.3	0	0	DS	14.3	0	0	232
District of Columbia		11	3	5	15	0	0	0	0	0	0	15	100	0	0	0	0	0	0	0	0	211
Florida		12	3	5	622	DS	0.3	DS	0.3	23	3.7	228	36.7	341	54.8	DS	0.3	24	3.9	0	0	"3,886"
Georgia		13	3	5	244	0	0	DS	0.8	11	4.5	118	48.4	104	42.6	0	0	9	3.7	DS	0.8	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	46	5	10.9	0	0	DS	4.3	DS	4.3	35	76.1	0	0	DS	4.3	0	0	703
Illinois		17	2	3	464	DS	0.4	8	1.7	23	5	194	41.8	214	46.1	0	0	23	5	DS	0.4	"4,221"
