,"Number and percentage of public school students with and without disabilities subjected to seclusion, by race/ethnicity, whether with disabilities served under IDEA or Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Seclusion,United States,"28,967 ",388 ,1.4 ,245 ,0.9 ,"2,700 ",9.4 ,"6,404 ",22.4 ,"17,503 ",61.1 ,27 ,0.1 ,"1,357 ",4.7 ,"16,272 ",97.9 ,343 ,2.1 ,667 ,2.3 ,"95,507 ",99.4 
Seclusion,Alabama,249 ,0 ,0.0 ,0 ,0.0 ,1 to 3,0.8 ,147 ,59.5 ,87 ,35.2 ,1 to 3,0.8 ,9 ,3.6 ,127 ,98.4 ,1 to 3,1.6 ,5 ,2.0 ,"1,397 ",97.0 
Seclusion,Alaska,54 ,12 ,22.2 ,0 ,0.0 ,1 to 3,3.7 ,4 ,7.4 ,33 ,61.1 ,0 ,0.0 ,1 to 3,5.6 ,40 ,100.0 ,0 ,0.0 ,1 to 3,3.7 ,495 ,100.0 
Seclusion,Arizona,"1,087 ",42 ,3.9 ,5 ,0.5 ,411 ,38.0 ,110 ,10.2 ,470 ,43.4 ,0 ,0.0 ,45 ,4.2 ,348 ,98.9 ,4 ,1.1 ,12 ,1.1 ,"1,913 ",99.2 
Seclusion,Arkansas,70 ,0 ,0.0 ,0 ,0.0 ,8 ,11.4 ,12 ,17.1 ,45 ,64.3 ,0 ,0.0 ,5 ,7.1 ,39 ,100.0 ,0 ,0.0 ,1 to 3,4.3 ,"1,085 ",100.0 
