County,2003 Age 0-4 Population,2003 Receiving WIC,2003 Percentage,2008 Age 0-4 Population,2008 Receiving WIC,2008 Percentage,2003-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,366,138,37.70%,401,171,42.60%,13.10%,19_001,19,2,4,,
Adams,218,71,32.60%,220,93,42.30%,29.80%,19_002,19,2,4,,
Allamakee,836,371,44.40%,991,401,40.50%,-8.80%,19_003,19,2,4,,
Appanoose,732,271,37.00%,796,266,33.40%,-9.70%,19_004,19,2,4,,
Audubon,290,77,26.60%,299,75,25.10%,-5.50%,19_005,19,2,4,,
Benton,"1,541",228,14.80%,"1,535",239,15.60%,5.20%,19_006,19,2,4,,
Black Hawk,"7,292","2,791",38.30%,"8,641","3,221",37.30%,-2.60%,19_007,19,2,4,,
Boone,"1,435",359,25.00%,"1,565",268,17.10%,-31.50%,19_008,19,2,4,,
Bremer,"1,178",197,16.70%,"1,356",221,16.30%,-2.50%,19_009,19,2,4,,
Buchanan,"1,441",281,19.50%,"1,543",283,18.30%,-5.90%,19_010,19,2,4,,
Buena Vista,"1,145",516,45.10%,"1,363",667,48.90%,8.60%,19_011,19,2,4,,
Butler,739,94,12.70%,914,107,11.70%,-8.00%,19_012,19,2,4,,
Calhoun,465,123,26.50%,515,92,17.90%,-32.50%,19_013,19,2,4,,
Carroll,"1,190",288,24.20%,"1,370",291,21.20%,-12.20%,19_014,19,2,4,,
Cass,740,270,36.50%,804,298,37.10%,1.60%,19_015,19,2,4,,
Cedar,992,155,15.60%,"1,039",147,14.10%,-9.50%,19_016,19,2,4,,
Cerro Gordo,"2,480",777,31.30%,"2,461",933,37.90%,21.00%,19_017,19,2,4,,
Cherokee,602,206,34.20%,575,229,39.80%,16.40%,19_018,19,2,4,,
Chickasaw,689,139,20.20%,778,129,16.60%,-17.80%,19_019,19,2,4,,
Clarke,576,229,39.80%,650,258,39.70%,-0.20%,19_020,19,2,4,,
Clay,952,352,37.00%,"1,034",434,42.00%,13.50%,19_021,19,2,4,,
Clayton,989,238,24.10%,"1,016",212,20.90%,-13.30%,19_022,19,2,4,,
Clinton,"2,954",920,31.10%,"3,064",843,27.50%,-11.70%,19_023,19,2,4,,
Crawford,"1,054",474,45.00%,"1,236",614,49.70%,10.50%,19_024,19,2,4,,
Dallas,"3,058",589,19.30%,"4,551",703,15.40%,-19.80%,19_025,19,2,4,,
