Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities\	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	10	83.3	0	0	0	0	0	0	0	0	10	83.3	0	0	0	0	0	0	295	50	1	1
Corporal punishment on females	DS	16.7	0	0	0	0	0	0	0	0	DS	16.7	0	0	0	0	0	0	295	50	1	1
Corporal punishment total	12	100	0	0	0	0	0	0	0	0	12	100	0	0	0	0	0	0	295	50	1	1
One or more in-school suspensions on males	"1,750"	70.6	31	1.3	12	0.5	27	1.1	75	3	"1,593"	64.3	0	0	12	0.5	40	1.6	295	50	1	1
One or more in-school suspensions on females	727	29.4	23	0.9	9	0.4	14	0.6	24	1	652	26.3	0	0	5	0.2	16	0.6	295	50	1	1
One or more in-school suspensions total	"2,477"	100	54	2.2	21	0.8	41	1.7	99	4	"2,245"	90.6	0	0	17	0.7	56	2.3	295	50	1	1
Only one out-of-school suspension on males	977	69	19	1.3	5	0.4	11	0.8	42	3	887	62.7	DS	0.1	11	0.8	19	1.3	295	50	1	1
Only one out-of-school suspension on females	438	31	5	0.4	DS	0.1	10	0.7	15	1.1	399	28.2	DS	0.1	5	0.4	9	0.6	295	50	1	1
Only one out-of-school suspension total	"1,415"	100	24	1.7	7	0.5	21	1.5	57	4	"1,286"	90.9	4	0.3	16	1.1	28	2	295	50	1	1
More than one out-of-school suspension on males	669	70.1	11	1.2	4	0.4	9	0.9	22	2.3	613	64.2	0	0	10	1	10	1	295	50	1	1
More than one out-of-school suspension on females	286	29.9	13	1.4	0	0	DS	0.2	9	0.9	260	27.2	0	0	DS	0.2	DS	0.2	295	50	1	1
More than one out-of-school suspension total	955	100	24	2.5	4	0.4	11	1.2	31	3.2	873	91.4	0	0	12	1.3	12	1.3	295	50	1	1
One or more out-of-school suspensions on males	"1,640"	69.2	30	1.3	9	0.4	20	0.8	63	2.7	"1,495"	63.1	DS	0.1	21	0.9	29	1.2	295	50	1	1
One or more out-of-school suspensions on females	729	30.8	18	0.8	DS	0.1	13	0.5	24	1	662	27.9	DS	0.1	8	0.3	12	0.5	295	50	1	1
One or more out-of-school suspensions total	"2,369"	100	48	2	11	0.5	33	1.4	87	3.7	"2,157"	91.1	4	0.2	29	1.2	41	1.7	295	50	1	1
Expulsions with educational services on males	9	100	0	0	0	0	0	0	0	0	9	100	0	0	0	0	0	0	295	50	1	1
Expulsions with educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	50	1	1
Expulsions with educational services total	9	100	0	0	0	0	0	0	0	0	9	100	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services on males	10	100	0	0	0	0	0	0	0	0	10	100	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services total	10	100	0	0	0	0	0	0	0	0	10	100	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services on males	19	100	0	0	0	0	0	0	0	0	19	100	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services total	19	100	0	0	0	0	0	0	0	0	19	100	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies on males	14	87.5	0	0	0	0	0	0	0	0	14	87.5	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies on females	DS	12.5	0	0	0	0	0	0	0	0	DS	12.5	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies total	16	100	0	0	0	0	0	0	0	0	16	100	0	0	0	0	0	0	295	50	1	1
Referral to law enforcement on males	200	70.2	DS	0.7	0	0	DS	0.7	14	4.9	180	63.2	0	0	DS	0.7	5	1.8	295	50	1	1
Referral to law enforcement on females	85	29.8	DS	0.7	0	0	DS	0.7	8	2.8	71	24.9	0	0	DS	0.7	4	1.4	295	50	1	1
Referral to law enforcement total	285	100	4	1.4	0	0	4	1.4	22	7.7	251	88.1	0	0	4	1.4	9	3.2	295	50	1	1
School-related arrests on males	23	85.2	0	0	0	0	DS	7.4	4	14.8	17	63	0	0	0	0	0	0	295	50	1	1
School-related arrests on females	4	14.8	0	0	0	0	DS	7.4	0	0	DS	7.4	0	0	0	0	DS	7.4	295	50	1	1
School-related arrests total	27	100	0	0	0	0	4	14.8	4	14.8	19	70.4	0	0	0	0	DS	7.4	295	50	1	1
