Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,75,75.8,DS,2,73,73.7,0,0,0,0,0,0,9,9.3,64,66,0,0,0,0,0,0,733,54,3,5
Corporal punishment for females,24,24.2,0,0,24,24.2,0,0,0,0,DS,2.1,0,0,22,22.7,0,0,0,0,0,0,733,54,3,5
Corporal punishment total,99,100,DS,2,97,98,0,0,0,0,DS,2.1,9,9.3,86,88.7,0,0,0,0,0,0,733,54,3,5
One or more in-school suspensions for males,"3,012",75.9,75,1.9,"2,937",74,DS,0.1,DS,0.1,30,0.8,291,7.5,"2,586",66.7,0,0,26,0.7,7,0.2,733,54,3,5
One or more in-school suspensions for females,956,24.1,14,0.4,942,23.7,DS,0.1,DS,0.1,10,0.3,101,2.6,815,21,0,0,12,0.3,5,0.1,733,54,3,5
One or more in-school suspensions total,"3,968",100,89,2.2,"3,879",97.8,4,0.1,4,0.1,40,1,392,10.1,"3,401",87.7,0,0,38,1,12,0.3,733,54,3,5
Only one out-of-school suspension for males,"1,969",76.8,35,1.4,"1,934",75.4,DS,0.1,DS,0.1,18,0.7,144,5.7,"1,745",69.2,0,0,23,0.9,DS,0.1,733,54,3,5
Only one out-of-school suspension for females,595,23.2,9,0.4,586,22.9,DS,0.1,0,0,4,0.2,54,2.1,519,20.6,0,0,7,0.3,0,0,733,54,3,5
Only one out-of-school suspension total,"2,564",100,44,1.7,"2,520",98.3,4,0.2,DS,0.1,22,0.9,198,7.9,"2,264",89.8,0,0,30,1.2,DS,0.1,733,54,3,5
More than one out-of-school suspension for males,"2,276",82.6,38,1.4,"2,238",81.2,DS,0.1,0,0,24,0.9,195,7.2,"1,987",73.3,0,0,30,1.1,DS,0.1,733,54,3,5
More than one out-of-school suspension for females,479,17.4,8,0.3,471,17.1,0,0,0,0,6,0.2,62,2.3,398,14.7,0,0,5,0.2,0,0,733,54,3,5
More than one out-of-school suspension total,"2,755",100,46,1.7,"2,709",98.3,DS,0.1,0,0,30,1.1,257,9.5,"2,385",88,0,0,35,1.3,DS,0.1,733,54,3,5
One or more out-of-school suspensions for males,"4,248",79.7,73,1.4,"4,175",78.4,DS,0,DS,0,42,0.8,337,6.4,"3,740",71.4,0,0,52,1,5,0.1,733,54,3,5
One or more out-of-school suspensions for females,"1,079",20.3,17,0.3,"1,062",19.9,DS,0,0,0,9,0.2,117,2.2,921,17.6,0,0,13,0.2,0,0,733,54,3,5
One or more out-of-school suspensions total,"5,327",100,90,1.7,"5,237",98.3,4,0.1,DS,0,51,1,454,8.7,"4,661",89,0,0,65,1.2,5,0.1,733,54,3,5
Expulsions with educational services for males,155,86.6,DS,1.1,153,85.5,0,0,0,0,0,0,13,7.3,140,79.1,0,0,0,0,0,0,733,54,3,5
Expulsions with educational services for females,24,13.4,0,0,24,13.4,0,0,0,0,0,0,DS,1.1,22,12.4,0,0,0,0,0,0,733,54,3,5
Expulsions with educational services total,179,100,DS,1.1,177,98.9,0,0,0,0,0,0,15,8.5,162,91.5,0,0,0,0,0,0,733,54,3,5
Expulsions without educational services for males,4,100,0,0,4,100,0,0,0,0,0,0,DS,50,DS,50,0,0,0,0,0,0,733,54,3,5
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,54,3,5
Expulsions without educational services total,4,100,0,0,4,100,0,0,0,0,0,0,DS,50,DS,50,0,0,0,0,0,0,733,54,3,5
Expulsions with or without educational services for males,156,86.7,DS,1.1,154,85.6,0,0,0,0,0,0,14,7.9,140,78.7,0,0,0,0,0,0,733,54,3,5
Expulsions with or without educational services for females,24,13.3,0,0,24,13.3,0,0,0,0,0,0,DS,1.1,22,12.4,0,0,0,0,0,0,733,54,3,5
Expulsions with or without educational services total,180,100,DS,1.1,178,98.9,0,0,0,0,0,0,16,9,162,91,0,0,0,0,0,0,733,54,3,5
Expulsions under zero-tolerance policies for males,36,75,DS,4.2,34,70.8,0,0,0,0,0,0,DS,4.3,32,69.6,0,0,0,0,0,0,733,54,3,5
Expulsions under zero-tolerance policies for females,12,25,0,0,12,25,0,0,0,0,0,0,DS,4.3,10,21.7,0,0,0,0,0,0,733,54,3,5
Expulsions under zero-tolerance policies total,48,100,DS,4.2,46,95.8,0,0,0,0,0,0,4,8.7,42,91.3,0,0,0,0,0,0,733,54,3,5
Referral to law enforcement for males,193,82.5,DS,0.9,191,81.6,0,0,0,0,DS,0.9,13,5.6,176,75.9,0,0,0,0,0,0,733,54,3,5
Referral to law enforcement for females,41,17.5,0,0,41,17.5,0,0,0,0,0,0,DS,0.9,39,16.8,0,0,0,0,0,0,733,54,3,5
Referral to law enforcement total,234,100,DS,0.9,232,99.1,0,0,0,0,DS,0.9,15,6.5,215,92.7,0,0,0,0,0,0,733,54,3,5
School-related arrests for males,20,74.1,DS,7.4,18,66.7,0,0,0,0,0,0,5,20,13,52,0,0,0,0,0,0,733,54,3,5
School-related arrests for females,7,25.9,0,0,7,25.9,0,0,0,0,0,0,0,0,7,28,0,0,0,0,0,0,733,54,3,5
School-related arrests total,27,100,DS,7.4,25,92.6,0,0,0,0,0,0,5,20,20,80,0,0,0,0,0,0,733,54,3,5
