State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"9,243"	95	1	216	2.3	"1,822"	19.7	"3,741"	40.5	"3,193"	34.5	23	0.2	153	1.7	"2,836"	30.7	106	1.1	350	3.8	"95,635"
Alabama		1	3	6	60	0	0	0	0	4	6.7	36	60	20	33.3	0	0	0	0	36	60	0	0	4	6.7	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	38	6	15.8	0	0	4	10.5	0	0	28	73.7	0	0	0	0	18	47.4	DS	5.3	0	0	"1,920"
Arkansas		5	3	7	193	0	0	DS	1	6	3.1	71	36.8	108	56	DS	1	4	2.1	82	42.5	4	2.1	4	2.1	"1,097"
California		6	4	9	505	4	0.8	6	1.2	359	71.1	73	14.5	55	10.9	4	0.8	4	0.8	129	25.5	DS	0.4	74	14.7	"9,866"
Colorado		8	4	8	70	0	0	DS	2.9	30	42.9	11	15.7	27	38.6	0	0	0	0	28	40	0	0	0	0	"1,811"
Connecticut		9	1	1	56	0	0	0	0	8	14.3	11	19.6	35	62.5	0	0	DS	3.6	44	78.6	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	64	0	0	4	6.3	17	26.6	17	26.6	24	37.5	0	0	DS	3.1	46	71.9	0	0	0	0	"3,886"
Georgia		13	3	5	"1,900"	DS	0.1	176	9.3	500	26.3	"1,090"	57.4	72	3.8	0	0	60	3.2	181	9.5	DS	0.1	146	7.7	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	11	0	0	0	0	DS	18.2	0	0	9	81.8	0	0	0	0	9	81.8	0	0	0	0	703
Illinois		17	2	3	311	0	0	4	1.3	38	12.2	155	49.8	112	36	0	0	DS	0.6	246	79.1	11	3.5	DS	0.6	"4,221"
Indiana		18	2	3	185	0	0	DS	1.1	10	5.4	28	15.1	139	75.1	0	0	6	3.2	83	44.9	DS	1.1	4	2.2	"1,875"
Iowa		19	2	4	23	0	0	DS	8.7	0	0	DS	8.7	17	73.9	0	0	DS	8.7	23	100	0	0	0	0	"1,458"
Kansas		20	2	4	43	0	0	0	0	4	9.3	6	14	33	76.7	0	0	0	0	25	58.1	0	0	0	0	"1,389"
Kentucky		21	3	6	11	0	0	0	0	0	0	DS	18.2	7	63.6	0	0	DS	18.2	9	81.8	0	0	0	0	"1,417"
Louisiana		22	3	7	299	DS	0.7	DS	0.7	12	4	197	65.9	84	28.1	0	0	DS	0.7	59	19.7	12	4	0	0	"1,394"
Maine		23	1	1	12	0	0	0	0	0	0	0	0	12	100	0	0	0	0	10	83.3	0	0	0	0	595
Maryland		24	3	5	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	4	100	0	0	0	0	"1,444"
Massachusetts		25	1	1	57	0	0	0	0	14	24.6	4	7	39	68.4	0	0	0	0	51	89.5	0	0	0	0	"1,834"
