Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	80	93	0	0	80	93	0	0	0	0	0	0	0	0	78	90.7	0	0	DS	2.3	0	0	478	33	1	1
Corporal punishment on females	6	7	0	0	6	7	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	478	33	1	1
Corporal punishment total	86	100	0	0	86	100	0	0	0	0	0	0	0	0	84	97.7	0	0	DS	2.3	0	0	478	33	1	1
One or more in-school suspensions on males	"6,732"	70.7	278	2.9	"6,454"	67.7	25	0.3	53	0.6	315	3.4	256	2.8	"5,761"	62.9	0	0	44	0.5	101	1.1	478	33	1	1
One or more in-school suspensions on females	"2,795"	29.3	91	1	"2,704"	28.4	20	0.2	20	0.2	139	1.5	111	1.2	"2,382"	26	0	0	32	0.3	66	0.7	478	33	1	1
One or more in-school suspensions total	"9,527"	100	369	3.9	"9,158"	96.1	45	0.5	73	0.8	454	5	367	4	"8,143"	88.9	0	0	76	0.8	167	1.8	478	33	1	1
Only one out-of-school suspension on males	"3,703"	72.3	137	2.7	"3,566"	69.6	6	0.1	40	0.8	147	3	159	3.2	"3,182"	64.5	DS	0	30	0.6	67	1.3	478	33	1	1
Only one out-of-school suspension on females	"1,420"	27.7	53	1	"1,367"	26.7	4	0.1	12	0.2	60	1.2	68	1.4	"1,211"	24.5	DS	0	10	0.2	39	0.8	478	33	1	1
Only one out-of-school suspension total	"5,123"	100	190	3.7	"4,933"	96.3	10	0.2	52	1.1	207	4.2	227	4.6	"4,393"	89.1	4	0.1	40	0.8	106	2.1	478	33	1	1
More than one out-of-school suspension on males	"3,550"	72.7	171	3.5	"3,379"	69.2	10	0.2	39	0.8	244	5.2	193	4.1	"2,873"	61.6	DS	0	18	0.4	112	2.3	478	33	1	1
