County,2000 Child Population,2000 Below Poverty ,Percentage,2005 Child Population,2005 Below Poverty,Percentage,2000-2005 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"1,836",202,11.00%,"1,541",208,13.50%,22.70%,19_001,19,2,4,,
Adams,"1,000",148,14.80%,865,147,17.00%,14.80%,19_002,19,2,4,,
Allamakee,"3,474",469,13.50%,"3,190",536,16.80%,24.50%,19_003,19,2,4,,
Appanoose,"3,071",565,18.40%,"2,891",688,23.80%,29.40%,19_004,19,2,4,,
Audubon,"1,661",211,12.70%,"1,413",202,14.30%,12.50%,19_005,19,2,4,,
Benton,"6,658",506,7.60%,"6,208",627,10.10%,32.90%,19_006,19,2,4,,
Black Hawk,"28,412","3,722",13.10%,"25,374","4,948",19.50%,48.90%,19_007,19,2,4,,
Boone,"6,124",545,8.90%,"5,615",657,11.70%,31.50%,19_008,19,2,4,,
Bremer,"5,298",302,5.70%,"4,667",350,7.50%,31.60%,19_009,19,2,4,,
Buchanan,"5,667",816,14.40%,"5,211",839,16.10%,11.80%,19_010,19,2,4,,
Buena Vista,"4,854",597,12.30%,"4,592",675,14.70%,19.50%,19_011,19,2,4,,
Butler,"3,529",360,10.20%,"3,111",392,12.60%,23.50%,19_012,19,2,4,,
Calhoun,"2,356",311,13.20%,"1,967",299,15.20%,15.20%,19_013,19,2,4,,
Carroll,"5,483",488,8.90%,"4,789",431,9.00%,1.10%,19_014,19,2,4,,
Cass,"3,290",454,13.80%,"2,872",514,17.90%,29.70%,19_015,19,2,4,,
Cedar,"4,397",299,6.80%,"3,883",299,7.70%,13.20%,19_016,19,2,4,,
Cerro Gordo,"10,420","1,042",10.00%,"9,323","1,212",13.00%,30.00%,19_017,19,2,4,,
Cherokee,"2,963",323,10.90%,"2,452",282,11.50%,5.50%,19_018,19,2,4,,
Chickasaw,"3,280",351,10.70%,"2,823",350,12.40%,15.90%,19_019,19,2,4,,
Clarke,"2,261",321,14.20%,"2,109",369,17.50%,23.20%,19_020,19,2,4,,
Clay,"4,052",389,9.60%,"3,606",476,13.20%,37.50%,19_021,19,2,4,,
Clayton,"4,408",551,12.50%,"3,917",568,14.50%,16.00%,19_022,19,2,4,,
Clinton,"12,234","1,566",12.80%,"11,017","1,939",17.60%,37.50%,19_023,19,2,4,,
Crawford,"4,201",605,14.40%,"3,878",605,15.60%,8.30%,19_024,19,2,4,,
Dallas,"11,508",702,6.10%,"12,129",752,6.20%,1.60%,19_025,19,2,4,,
Davis,"2,255",451,20.00%,"2,067",432,20.90%,4.50%,19_026,19,2,4,,
Decatur,"1,856",336,18.10%,"1,636",409,25.00%,38.10%,19_027,19,2,4,,
Delaware,"5,000",505,10.10%,"4,265",499,11.70%,15.80%,19_028,19,2,4,,
Des Moines,"9,832","1,465",14.90%,"8,971","1,848",20.60%,38.30%,19_029,19,2,4,,
Dickinson,"3,430",295,8.60%,"3,162",313,9.90%,15.10%,19_030,19,2,4,,
Dubuque,"21,886","1,926",8.80%,"20,957","2,410",11.50%,30.70%,19_031,19,2,4,,
Emmet,"2,341",316,13.50%,"2,145",311,14.50%,7.40%,19_032,19,2,4,,
Fayette,"5,150",685,13.30%,"4,478",712,15.90%,19.50%,19_033,19,2,4,,
Floyd,"3,957",546,13.80%,"3,565",574,16.10%,16.70%,19_034,19,2,4,,
Franklin,"2,455",243,9.90%,"2,313",303,13.10%,32.30%,19_035,19,2,4,,
Fremont,"1,872",234,12.50%,"1,673",246,14.70%,17.60%,19_036,19,2,4,,
Greene,"2,492",309,12.40%,"2,141",334,15.60%,25.80%,19_037,19,2,4,,
Grundy,"2,984",191,6.40%,"2,600",195,7.50%,17.20%,19_038,19,2,4,,
Guthrie,"2,533",309,12.20%,"2,414",309,12.80%,4.90%,19_039,19,2,4,,
Hamilton,"3,957",364,9.20%,"3,562",431,12.10%,31.50%,19_040,19,2,4,,
Hancock,"3,049",247,8.10%,"2,551",250,9.80%,21.00%,19_041,19,2,4,,
Hardin,"4,188",490,11.70%,"3,703",585,15.80%,35.00%,19_042,19,2,4,,
Harrison,"3,895",370,9.50%,"3,540",492,13.90%,46.30%,19_043,19,2,4,,
Henry,"4,842",489,10.10%,"4,231",605,14.30%,41.60%,19_044,19,2,4,,
Howard,"2,468",274,11.10%,"2,175",311,14.30%,28.80%,19_045,19,2,4,,
Humboldt,"2,440",283,11.60%,"2,043",288,14.10%,21.50%,19_046,19,2,4,,
Ida,"1,851",211,11.40%,"1,542",202,13.10%,14.90%,19_047,19,2,4,,
Iowa,"4,000",244,6.10%,"3,684",291,7.90%,29.50%,19_048,19,2,4,,
Jackson,"5,030",664,13.20%,"4,435",816,18.40%,39.40%,19_049,19,2,4,,
