Discipline  by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	166	81.4	DS	1	164	80.4	DS	1	DS	1	4	DS	47	23.5	105	52.5	0	0	4	DS	DS	1	"1,984"	51	3	5
Corporal punishment on females	38	18.6	DS	1	36	17.6	0	0	DS	1	0	0	15	7.5	17	8.5	0	0	DS	1	DS	1	"1,984"	51	3	5
Corporal punishment total	204	100	4	2	200	98	DS	1	4	DS	4	DS	62	31	122	61	0	0	6	3	4	2	"1,984"	51	3	5
One or more in-school suspensions on males	"53,702"	68.3	741	0.9	"52,961"	67.4	176	0.2	694	0.9	"4,316"	5.6	"20,612"	26.6	"25,468"	32.8	48	0.1	"1,647"	2.1	"2,093"	2.7	"1,984"	51	3	5
One or more in-school suspensions on females	"24,910"	31.7	238	0.3	"24,672"	31.4	70	0.1	259	0.3	"1,933"	2.5	"10,934"	14.1	"10,618"	13.7	16	0	842	1.1	768	1	"1,984"	51	3	5
One or more in-school suspensions total	"78,612"	100	979	1.2	"77,633"	98.8	246	0.3	953	1.2	"6,249"	8	"31,546"	40.6	"36,086"	46.5	64	0.1	"2,489"	3.2	"2,861"	3.6	"1,984"	51	3	5
Only one out-of-school suspension on males	"33,916"	68.4	460	0.9	"33,456"	67.4	128	0.3	459	0.9	"2,840"	5.8	"14,645"	29.9	"14,163"	28.9	32	0.1	"1,189"	2.4	"1,416"	2.9	"1,984"	51	3	5
Only one out-of-school suspension on females	"15,698"	31.6	176	0.4	"15,522"	31.3	43	0.1	114	0.2	"1,251"	2.6	"8,307"	17	"5,222"	10.7	13	0	572	1.2	489	1	"1,984"	51	3	5
Only one out-of-school suspension total	"49,614"	100	636	1.3	"48,978"	98.7	171	0.3	573	1.2	"4,091"	8.4	"22,952"	46.9	"19,385"	39.6	45	0.1	"1,761"	3.6	"1,905"	3.8	"1,984"	51	3	5
More than one out-of-school suspension on males	"26,708"	72.9	427	1.2	"26,281"	71.8	88	0.2	181	0.5	"1,801"	5	"14,077"	39	"9,227"	25.6	22	0.1	885	2.5	790	2.2	"1,984"	51	3	5
More than one out-of-school suspension on females	"9,904"	27.1	97	0.3	"9,807"	26.8	22	0.1	35	0.1	576	1.6	"5,992"	16.6	"2,864"	7.9	DS	0	316	0.9	174	0.5	"1,984"	51	3	5
More than one out-of-school suspension total	"36,612"	100	524	1.4	"36,088"	98.6	110	0.3	216	0.6	"2,377"	6.6	"20,069"	55.6	"12,091"	33.5	24	0.1	"1,201"	3.3	964	2.6	"1,984"	51	3	5
One or more out-of-school suspensions on males	"60,615"	70.3	887	1	"59,728"	69.3	216	0.3	643	0.8	"4,640"	5.5	"28,721"	33.8	"23,381"	27.5	55	0.1	"2,072"	2.4	"2,208"	2.6	"1,984"	51	3	5
One or more out-of-school suspensions on females	"25,581"	29.7	271	0.3	"25,310"	29.4	66	0.1	150	0.2	"1,827"	2.1	"14,278"	16.8	"8,084"	9.5	16	0	889	1	663	0.8	"1,984"	51	3	5
One or more out-of-school suspensions total	"86,196"	100	"1,158"	1.3	"85,038"	98.7	282	0.3	793	0.9	"6,467"	7.6	"42,999"	50.6	"31,465"	37	71	0.1	"2,961"	3.5	"2,871"	3.3	"1,984"	51	3	5
Expulsions with educational services on males	885	82.2	10	0.9	875	81.2	4	0.4	32	3	128	12	345	32.4	339	31.8	0	0	27	2.5	73	6.8	"1,984"	51	3	5
Expulsions with educational services on females	192	17.8	DS	0.2	190	17.6	0	0	5	0.5	33	3.1	67	6.3	76	7.1	DS	0.2	7	0.7	15	1.4	"1,984"	51	3	5
Expulsions with educational services total	"1,077"	100	12	1.1	"1,065"	98.9	4	0.4	37	3.5	161	15.1	412	38.7	415	39	DS	0.2	34	3.2	88	8.2	"1,984"	51	3	5
Expulsions without educational services on males	281	85.7	DS	0.6	279	85.1	0	0	DS	0.6	22	6.7	136	41.7	115	35.3	0	0	4	1.2	11	3.4	"1,984"	51	3	5
Expulsions without educational services on females	47	14.3	0	0	47	14.3	0	0	0	0	DS	0.6	20	6.1	21	6.4	0	0	4	1.2	0	0	"1,984"	51	3	5
Expulsions without educational services total	328	100	DS	0.6	326	99.4	0	0	DS	0.6	24	7.4	156	47.9	136	41.7	0	0	8	2.5	11	3.4	"1,984"	51	3	5
Expulsions with or without educational services on males	"1,166"	83.2	12	0.9	"1,154"	82.3	4	0.3	33	2.4	151	10.9	481	34.7	454	32.7	0	0	31	2.2	82	5.8	"1,984"	51	3	5
Expulsions with or without educational services on females	236	16.8	DS	0.1	234	16.7	0	0	5	0.4	35	2.5	87	6.3	97	7	DS	0.1	8	0.6	15	1.1	"1,984"	51	3	5
Expulsions with or without educational services total	"1,402"	100	14	1	"1,388"	99	4	0.3	38	2.7	186	13.4	568	40.9	551	39.7	DS	0.1	39	2.8	97	6.9	"1,984"	51	3	5
Expulsions under zero-tolerance policies on males	536	81.5	4	0.6	532	80.9	0	0	26	4	73	11.2	167	25.6	255	39.1	0	0	11	1.7	47	7.1	"1,984"	51	3	5
Expulsions under zero-tolerance policies on females	122	18.5	DS	0.3	120	18.2	0	0	5	0.8	25	3.8	13	2	71	10.9	DS	0.3	4	0.6	14	2.1	"1,984"	51	3	5
Expulsions under zero-tolerance policies total	658	100	6	0.9	652	99.1	0	0	31	4.8	98	15	180	27.6	326	50	DS	0.3	15	2.3	61	9.3	"1,984"	51	3	5
Referral to law enforcement on males	"13,180"	73.8	160	0.9	"13,020"	72.9	51	0.3	190	1.1	"1,037"	5.9	"5,015"	28.4	"6,268"	35.5	11	0.1	448	2.5	522	2.9	"1,984"	51	3	5
Referral to law enforcement on females	"4,683"	26.2	43	0.2	"4,640"	26	13	0.1	32	0.2	381	2.2	"2,037"	11.5	"2,028"	11.5	DS	0	147	0.8	141	0.8	"1,984"	51	3	5
Referral to law enforcement total	"17,863"	100	203	1.1	"17,660"	98.9	64	0.4	222	1.3	"1,418"	8	"7,052"	39.9	"8,296"	47	13	0.1	595	3.4	663	3.7	"1,984"	51	3	5
School-related arrests on males	298	75.6	5	1.3	293	74.4	0	0	4	1	13	3.4	112	28.9	158	40.8	DS	0.5	4	1	4	1	"1,984"	51	3	5
School-related arrests on females	96	24.4	DS	0.5	94	23.9	0	0	0	0	4	1	29	7.5	59	15.2	0	0	DS	0.5	DS	0.5	"1,984"	51	3	5
School-related arrests total	394	100	7	1.8	387	98.2	0	0	4	1	17	4.4	141	36.4	217	56.1	DS	0.5	6	1.6	6	1.5	"1,984"	51	3	5
