State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"89,367"	"1,244"	1.4	"1,338"	1.5	"27,810"	31.1	"30,259"	33.9	"26,648"	29.8	178	0.2	"1,890"	2.1	"11,616"	13	"1,601"	1.8	"10,956"	12.3	"24,800"
Alabama		1	3	6	"1,763"	6	0.3	9	0.5	50	2.8	"1,159"	65.7	523	29.7	0	0	16	0.9	159	9	9	0.5	26	1.5	434
Alaska		2	4	9	85	73	85.9	0	0	DS	2.4	DS	2.4	6	7.1	DS	2.4	0	0	DS	2.4	0	0	23	27.1	276
Arizona		4	4	8	"1,111"	86	7.7	10	0.9	498	44.8	42	3.8	402	36.2	DS	0.2	71	6.4	104	9.4	10	0.9	42	3.8	527
Arkansas		5	3	7	"1,534"	12	0.8	35	2.3	130	8.5	922	60.1	420	27.4	DS	0.1	13	0.8	102	6.6	18	1.2	76	5	308
California		6	4	9	"8,426"	43	0.5	162	1.9	"6,617"	78.5	638	7.6	788	9.4	42	0.5	136	1.6	784	9.3	48	0.6	"4,447"	52.8	"2,424"
Colorado		8	4	8	667	7	1	10	1.5	455	68.2	81	12.1	99	14.8	DS	0.3	13	1.9	65	9.7	6	0.9	138	20.7	462
Connecticut		9	1	1	"1,282"	5	0.4	12	0.9	496	38.7	322	25.1	425	33.2	DS	0.2	20	1.6	187	14.6	27	2.1	172	13.4	245
Delaware		10	3	5	404	0	0	DS	0.5	55	13.6	215	53.2	128	31.7	DS	0.5	DS	0.5	82	20.3	14	3.5	14	3.5	68
District of Columbia		11	3	5	490	DS	0.4	6	1.2	64	13.1	411	83.9	5	1	0	0	DS	0.4	115	23.5	DS	0.4	47	9.6	44
Florida		12	3	5	"5,048"	35	0.7	32	0.6	"1,218"	24.1	"1,633"	32.3	"1,966"	38.9	6	0.1	158	3.1	573	11.4	96	1.9	306	6.1	"1,100"
Georgia		13	3	5	"7,469"	15	0.2	108	1.4	"1,141"	15.3	"4,228"	56.6	"1,798"	24.1	4	0.1	175	2.3	774	10.4	43	0.6	375	5	578
Hawaii		15	4	9	24	DS	8.3	4	16.7	DS	8.3	DS	8.3	5	20.8	9	37.5	0	0	DS	8.3	DS	8.3	0	0	68
Idaho		16	4	8	243	9	3.7	DS	0.8	33	13.6	5	2.1	190	78.2	0	0	4	1.6	20	8.2	13	5.3	4	1.6	221
Illinois		17	2	3	"3,645"	15	0.4	52	1.4	"1,146"	31.4	"1,464"	40.2	888	24.4	0	0	80	2.2	450	12.3	49	1.3	265	7.3	886
Indiana		18	2	3	239	DS	0.8	DS	0.8	11	4.6	33	13.8	175	73.2	0	0	16	6.7	38	15.9	DS	0.8	DS	0.8	426
Iowa		19	2	4	452	16	3.5	DS	0.4	58	12.8	66	14.6	299	66.2	DS	0.4	9	2	33	7.3	DS	0.4	12	2.7	399
Kansas		20	2	4	448	6	1.3	8	1.8	157	35	79	17.6	182	40.6	0	0	16	3.6	49	10.9	DS	0.4	92	20.5	381
Kentucky		21	3	6	"1,054"	DS	0.2	11	1	52	4.9	272	25.8	687	65.2	DS	0.2	28	2.7	125	11.9	18	1.7	40	3.8	389
Louisiana		22	3	7	"1,466"	15	1	6	0.4	69	4.7	890	60.7	477	32.5	0	0	9	0.6	185	12.6	52	3.5	40	2.7	388
Maine		23	1	1	87	0	0	0	0	DS	2.3	DS	2.3	81	93.1	0	0	DS	2.3	20	23	4	4.6	DS	2.3	125
Maryland		24	3	5	"3,894"	14	0.4	76	2	777	20	"2,364"	60.7	564	14.5	29	0.7	70	1.8	578	14.8	101	2.6	291	7.5	281
Massachusetts		25	1	1	"1,645"	10	0.6	36	2.2	645	39.2	281	17.1	613	37.3	DS	0.1	58	3.5	383	23.3	43	2.6	259	15.7	379
Michigan		26	2	3	"2,903"	37	1.3	24	0.8	278	9.6	"1,207"	41.6	"1,292"	44.5	0	0	65	2.2	381	13.1	22	0.8	205	7.1	"1,061"
Minnesota		27	2	4	420	9	2.1	7	1.7	61	14.5	34	8.1	304	72.4	0	0	5	1.2	42	10	4	1	21	5	741
Mississippi		28	3	6	"1,054"	DS	0.2	DS	0.2	20	1.9	705	66.9	325	30.8	0	0	0	0	85	8.1	DS	0.2	5	0.5	301
Missouri		29	2	4	"1,020"	6	0.6	11	1.1	41	4	456	44.7	489	47.9	DS	0.2	15	1.5	128	12.5	17	1.7	22	2.2	677
Montana		30	4	8	98	55	56.1	0	0	DS	2	DS	2	37	37.8	DS	2	0	0	11	11.2	DS	2	9	9.2	169
Nebraska		31	2	4	72	17	23.6	0	0	15	20.8	DS	2.8	36	50	0	0	DS	2.8	18	25	DS	2.8	4	5.6	315
Nevada		32	4	8	59	DS	3.4	DS	3.4	19	32.2	DS	3.4	32	54.2	0	0	DS	3.4	12	20.3	DS	3.4	DS	3.4	145
New Hampshire		33	1	1	556	DS	0.4	7	1.3	77	13.8	18	3.2	443	79.7	0	0	9	1.6	113	20.3	38	6.8	20	3.6	89
New Jersey		34	1	2	"2,000"	8	0.4	34	1.7	834	41.7	777	38.9	338	16.9	0	0	9	0.5	240	12	26	1.3	134	6.7	517
New Mexico		35	4	8	"1,126"	127	11.3	7	0.6	787	69.9	20	1.8	165	14.7	DS	0.2	18	1.6	122	10.8	14	1.2	239	21.2	205
New York		36	1	2	"2,529"	14	0.6	56	2.2	535	21.2	993	39.3	913	36.1	0	0	18	0.7	490	19.4	39	1.5	246	9.7	"1,401"
North Carolina		37	3	5	"3,850"	92	2.4	62	1.6	660	17.1	"1,638"	42.5	"1,270"	33	DS	0.1	126	3.3	631	16.4	146	3.8	416	10.8	616
North Dakota		38	2	4	86	50	58.1	DS	2.3	DS	2.3	4	4.7	28	32.6	0	0	0	0	16	18.6	DS	2.3	24	27.9	167
Ohio		39	2	3	"4,051"	6	0.1	26	0.6	186	4.6	"2,025"	50	"1,631"	40.3	DS	0	175	4.3	686	16.9	33	0.8	93	2.3	948
Oklahoma		40	3	7	728	105	14.4	7	1	120	16.5	179	24.6	288	39.6	DS	0.3	27	3.7	94	12.9	4	0.5	51	7	499
Oregon		41	9	4	241	4	1.7	4	1.7	35	14.5	9	3.7	167	69.3	DS	0.8	20	8.3	30	12.4	7	2.9	10	4.1	359
Pennsylvania		42	1	2	"2,419"	6	0.2	47	1.9	416	17.2	811	33.5	"1,092"	45.1	0	0	47	1.9	462	19.1	16	0.7	109	4.5	793
Rhode Island		44	1	1	413	7	1.7	9	2.2	156	37.8	46	11.1	169	40.9	DS	0.5	24	5.8	89	21.5	13	3.1	30	7.3	58
South Carolina		45	3	5	"2,668"	11	0.4	10	0.4	143	5.4	"1,311"	49.1	"1,147"	43	0	0	46	1.7	356	13.3	33	1.2	94	3.5	274
South Dakota		46	2	4	353	139	39.4	7	2	27	7.6	17	4.8	154	43.6	0	0	9	2.5	51	14.4	DS	0.6	22	6.2	186
Tennessee		47	3	6	"1,754"	DS	0.1	25	1.4	61	3.5	872	49.7	781	44.5	DS	0.1	11	0.6	223	12.7	16	0.9	121	6.9	402
Texas		48	3	7	"13,608"	77	0.6	244	1.8	"8,540"	62.8	"2,037"	15	"2,501"	18.4	24	0.2	185	1.4	"1,524"	11.2	494	3.6	"1,805"	13.3	"2,226"
Utah		49	4	8	155	DS	1.3	DS	1.3	20	12.9	DS	1.3	125	80.6	DS	1.3	DS	1.3	23	14.8	DS	1.3	7	4.5	250
Vermont		50	1	1	71	DS	2.8	DS	2.8	DS	2.8	DS	2.8	63	88.7	0	0	0	0	14	19.7	7	9.9	DS	2.8	63
